,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,1011112,1,漢語詞彙學Chinese Lexicology,黃惠華,2  2/0/0,2,選修,"五4,5",文學院118,45
1,1,1011114,1,漢語語法Chinese Grammar,黃惠華,2  2/0/0,2,選修,"四4,5",文學院118,45
2,2,1012001,1,華人社會與文化Chinese Society and Culture,蘇全正,2  2/0/0,2,選修,"三4,5",文學院140,45
3,2,1012012,1,華語文教學實習(二)Chinese Language Teaching Practicum (II),陳欣徽 黃柏禎,2  2/0/0,2,選修,"一8,9",語言中心語言教室111,10
4,2,1012404,1,民眾劇場An introduction to Popular Theatre,郭亮廷,2  2/0/0,2,選修,"三4,5",文學院102,40
5,2,1012416,1,劇場數位管理與實務（二）Digital Management and Practice in Theatre (II),鍾欣志,3  3/0/0,3,選修,"五7,8,9",文學院101,20
6,3,1013239,1,中西繪畫與材質表現The Material and Technique of Chinese and Western Paintings,戴明德,2  2/0/0,2,選修,"三10,11",文學院117,45
7,3,1013259,1,亞洲藝術史History of Asian Art,賴國生,2  2/0/0,2,選修,"四13,14",文學院106,60
8,3,1013412,1,西方戲劇選讀（二）Selections of Western Drama (II),鍾欣志,3  3/0/0,3,選修,"四4,5,6",文學院101,40
9,4,1014404,1,劇場實作（二）Theatre Practice (Ⅱ),游富凱,1  1/0/0,1,選修,五10,文學院101,40
