department,id,subject,teacher,grade,class_num,period,credit,optional_course,domain,time,location,stu_num,limit
中文所,1105041,論文寫作指導Academic Writing Seminar,張書豪,1.0,1,1  1/0/0,1,必修,,四8,文學院201,0,碩士班課程
中文所,1105493,經學史研究Study of History of Chinese Classical Canons,張書豪,1.0,1,3  3/0/0,3,選修,,"四4,5,6",文學院202,0,碩博合開
中文所,1105756,敘事文學專題研究The Seminar of Narrative Literature,王瓊玲,1.0,1,3  3/0/0,3,選修,,"二7,8,9",文學院201,0,碩博合開
中文所,1105764,文學與圖像專題研究Topics on Literary Texts and Visual Images,毛文芳,1.0,1,3  3/0/0,3,選修,,"二4,5,6",文學院202,0,碩博合開
中文所,1105917,"地方體驗、敘事應用與數位化—地方知識與紀錄片製作Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making",江寶釵 王萬睿,1.0,1,3  3/0/0,3,選修,,"二10,11,12",文學院202,0,碩博合開
中文所,1106409,春秋學專題研究Monographic Study of Spring and Autumn Annals,陳韻,1.0,1,3  3/0/0,3,選修,,"三6,7,8",文學院202,0,碩博合開
中文所,1106913,東亞文化與越南漢學專題Study on East Asian Cultural and Vietnam Sinology,耿慧玲,1.0,1,3  3/0/0,3,選修,,"五3,4,5",文學院201,0,碩博合開
中文系,1101085,寫作指導：小說Chinese Composition: Fiction,王瓊玲,1.0,1,2  2/0/0,2,選修,,"二10,11",文學院101,30,
中文系,1101212,詩選及習作（二）Selected Readings in Chinese Poems and Writing Practice (II),蔡榮婷,1.0,1,2  2/0/0,2,必修,,"四10,11",文學院104,55,
中文系,1101412,國學導讀（二）Introduction to Sinology (II),張書豪,1.0,1,2  2/0/0,2,必修,,"二4,5",文學院104,55,
中文系,1101520,現代散文Modern Prose,蕭義玲,1.0,1,3  3/0/0,3,選修,,"二7,8,9",文學院102,40,
中文系,1101538,中國寓言選讀Selected Readings of Chinese Fable,毛文芳,1.0,1,2  2/0/0,2,選修,,"一10,11",文學院103,55,
中文系,1101812,文學概論（二）Introduction to Literature (II),黃錦珠,1.0,1,2  2/0/0,2,必修,,"一8,9",文學院104,55,
中文系,1101933,書道與日常應用Calligraphy: Theory and Practice,劉庭彰,1.0,1,3  3/0/0,3,選修,,"四4,5,6",文學院103,40,
中文系,1102012,文字學（二）The Study of Chinese Characters (II),黃靜吟,2.0,1,2  2/0/0,2,必修,,"二2,3",文學院104,55,
中文系,1102044,篆刻藝術Seal Engraving Art,馬玉紅,2.0,1,2  2/0/0,2,選修,,"二4,5",文學院103,40,
