Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
企管所,1,5205002,1,研究方法Research Methods,莊世杰 鄭祥麟 蘇宏仁,3  3/0/0,3,必修,"二3,4,5",管理學院454,0,碩士班課程
企管所,1,5205057,1,廣告管理Advertising Management,莊世杰,3  3/0/0,3,選修,"四3,4,5",管理學院441研討室,0,碩士班課程
企管所,1,5205058,1,投資分析Investment Analysis (全英語授課/English-taught),鎮明常,3  3/0/0,3,選修,"四10,11,12",管理學院441研討室,0,碩士班課程
企管所,1,5205067,1,國際企業International Enterprise,鄭祥麟,3  3/0/0,3,選修,"三10,11,12",管理學院441研討室,0,碩士班課程
企管所,1,5205097,1,服務業行銷管理Marketing Management for Services,曾光華,3  3/0/0,3,選修,"一4,5,6",管理學院441研討室,32,碩士班課程
企管所,1,5205122,1,網路行銷Internet Marketing,蘇宏仁,3  3/0/0,3,選修,"三7,8,9",管理學院441研討室,0,碩士班課程
企管所,1,5205150,1,問題分析與決策Problem Analysis and decision Making,鍾憲瑞,3  3/0/0,3,選修,"一10,11,12",管理學院441研討室,0,碩士班課程
企管所,1,5205166,1,企業資源規劃Enterprise Resource Planning,蔡國揚,3  3/0/0,3,選修,"五3,4,5",管理學院441研討室,0,碩士班課程
企管所,1,5205200,1,人力招募與甄選PersonnelRecruitment and Selection,楊文芬,3  3/0/0,3,選修,"三7,8,9",管理學院443,0,碩士班課程
企管所,1,5205204,1,通路管理Channel Management,游蓓怡,3  3/0/0,3,選修,"三3,4,5",管理學院441研討室,0,碩士班課程
企管所,1,5205206,1,商業模式創新與管理Business Model Innovation and Management,鍾憲瑞,3  3/0/0,3,選修,"二11,12,13",管理學院441研討室,0,碩士班課程
企管所,1,5205227,1,商用英文（二）Business English Training Ⅱ,陳詠卉,2  2/0/0,2,必修,"三13,14",管理學院427,0,碩博合開
企管所,1,5205229,1,商用英文（四）Business English Training IV,陳詠卉,2  2/0/0,2,必修,"四13,14",管理學院427,0,碩博合開
企管所,1,5205230,1,商用英文Business English Training,陳詠卉,3  3/0/0,3,選修,"五B,C",管理學院427,0,碩士班課程
企管所,1,5205231,1,新興市場分析Emerging Markets Analysis (全英語授課/English-taught),蔡宗霖,3  3/0/0,3,選修,"四3,4,5",管理學院427,0,碩士班課程
企管所,1,5206013,1,數量方法專題研討（一）Seminar on Quantitative Method (I),陳明德,3  3/0/0,3,選修,"四10,11,12",管理學院4561,0,博士班課程
企管所,1,5206020,1,公司理財專題研討Seminar on Corporate Finance Theory,王明昌,3  3/0/0,3,選修,"四8,9,10",管理學院4312,0,博士班課程
企管所,1,5206115,1,組織行為專題研討Seminar on Organizational Behavior,艾昌瑞,3  3/0/0,3,選修,"五3,4,5",管理學院4561,0,博士班課程
企管所,1,5206116,1,組織變革與策略改變專題Seminar on Organizational and Strategic Change,鄭祥麟,3  3/0/0,3,選修,"五7,8,9",管理學院4312,0,博士班課程
企管所,1,5206163,1,獨立研究: 綠色行銷與永續經營Green marketing and sustainabililty,盧龍泉,3  3/0/0,3,選修,"三3,4,5",管理學院4312,0,博士班課程
企管所,1,5206164,1,品牌與關係行銷管理專題Seminar on Branding and Relationship Marketing Management,游蓓怡,3  3/0/0,3,選修,"五3,4,5",管理學院4312,0,博士班課程
企管所,1,5206165,1,科技管理專題研討Seminar in Technology Management,蔡宗霖,3  3/0/0,3,選修,"四7,8,9",管理學院4561,0,博士班課程
企管所,1,5206200,1,財務與投資專題研討Seminar on Finance and Invesment (全英語授課/English-taught),鎮明常,3  3/0/0,3,選修,"三13,14,15",管理學院4312,0,博士班課程
企管所,1,5206208,1,質化研究方法專題Seminar on Qulitative Research,連雅慧 許嘉文 游蓓怡,3  3/0/0,3,必修,"六3,4,5",管理學院443,0,博士班課程
企管所,1,5206211,1,量化研究方法Quantitative Research Methods,楊文芬,3  3/0/0,3,必修,"六3,4,5",管理學院4312,0,博士班課程
企管所,1,5206213,1,大數據分析與管理專題研討Seminar on big data analysis and management,黃正魁,3  3/0/0,3,選修,"三3,4,5",管理學院427,0,碩博合開
企管所,1,5206217,1,知識發展專題研討（二）Seminar in Knowledge Development (II),曾光華,1  1/0/0,1,必修,六10,管理學院443,0,博士班課程
