Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
傳播系,1,3351888,1,學系服務學習Service Learning：Campus Service,盧鴻毅,1  1/0/0,0,必修,三3,社科院102,30
傳播系,1,3351014,1,電影概論Introduction to Movies,張時建,3  3/0/0,3,選修,"二10,11,12",社科院227-1,55
傳播系,1,3351025,1,創意短片製作Creative Short Film Production,蔡崇隆,3  3/0/0,3,選修,"二7,8,9",社科院103,55
傳播系,1,3351026,1,新聞採訪寫作News Writing,吳政龍,3  3/0/0,3,必修,"一7,8,9",社科院207,35
傳播系,1,3351026,2,新聞採訪寫作News Writing,張時建,3  3/0/0,3,必修,"一7,8,9",社科院227-1,35
傳播系,1,3351027,1,基礎資訊製作Introduction to Information Production,劉榮樺,3  3/0/0,3,必修,"二4,5,6",社科院102,35
傳播系,1,3351027,2,基礎資訊製作Introduction to Information Production,陳怡璇,3  3/0/0,3,必修,"二4,5,6",社科院103,35
傳播系,1,3351028,1,心理學與傳播Psychology & Communication,劉榮樺,3  3/0/0,3,必修,"三10,11,12",社科院227-1,55
傳播系,1,3351029,1,基礎聲音製作Introduction to Audio Production,邱嘉琪,3  3/0/0,3,必修,"四7,8,9",社科院207,50
傳播系,2,3352024,1,傳播理論Communication Theory,羅世宏,3  3/0/0,3,必修,"一4,5,6",社科院227-1,55
傳播系,2,3352025,1,當代社會問題分析Contemporary Social Problems in Taiwan,管中祥,3  3/0/0,3,選修,"二4,5,6",社科院207,50
傳播系,2,3352030,1,劇情片製作Fiction Film Production,蔡崇隆,3  3/0/0,3,選修,"三10,11,12",社科院207,50
傳播系,2,3352031,1,廣告創意與製作Advertising Creative & Production,戴皖文,3  3/0/0,3,選修,"一7,8,9",社科院102,30
傳播系,2,3352039,1,經濟學與傳播Economics & Communication,李政忠,3  3/0/0,3,必修,"三4,5,6",社科院102,30
傳播系,2,3352040,1,整合新聞製作Digital Integrated Content,吳政龍,3  3/0/0,3,選修,"二10,11,12",社科院207,50
傳播系,2,3352044,1,跨媒介故事開發Story Development Across Media,李政忠,3  3/0/0,3,選修,"二7,8,9",社科院207,50
傳播系,3,3353007,1,校內實習（二）Campus Internship (II),吳政龍,4  0/4/0,2,必修,"一13,14 三13,14",社科院207,50
傳播系,3,3353025,1,數位媒體製作實務(二)Digital Integrated Media Production Pratice(II),吳政龍,3  3/0/0,3,必修,"三4,5,6",社科院207,50
傳播系,4,3354016,1,畢業製作Graduation Project (II),吳政龍 蔡崇隆,3  3/0/0,3,選修,"二4,5,6",社科院227-1,55
