Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
光機電所,1,4415001,1,專題討論Seminar,楊智媖,2  0/0/2,1,必修,"三8,9",工學院B館116,0,碩士班課程
光機電所,1,4415015,1,光電工程實驗Optoelectronic Experiments,張國恩,3  0/3/0,1,必修,"二4,5,6",工學院B館215左,0,碩士班課程
光機電所,1,4415018,1,有機電激發光元件及顯示器Organic Electroluminescent Devices and Display,王欽戊,3  3/0/0,3,選修,"三4,5,6",創新大樓222,0,碩士班課程
光機電所,1,4415066,1,新能源技術與節能減碳應用New Energy Technologies and Their Applications on Energy Conserving and Carbon Emission Reducing,王欽戊,3  3/0/0,3,選修,"四4,5,6",創新大樓222,0,碩士班課程
光機電所,1,4415091,1,平面顯示器Principles and Applications of Flat Panel Displays,丁初稷,3  3/0/0,3,選修,"二13,14,15",創新大樓222,0,碩士班課程
光機電所,1,4415098,1,光機系統設計Optomechatronic System Design (全英語授課/English-taught) (程式設計相關/Programming related),王祥辰,3  3/0/0,3,選修,"一8,9,10",創新大樓222,0,碩士班課程
光機電所,1,4415106,1,Python 程式設計與機器學習應用Machine Learning with Python (程式設計相關/Programming related),胡中興,3  3/0/0,3,選修,"二9,10,11",電算中心215教室,70,碩士班課程
光機電所,1,4415109,1,軟性電子印刷製程 Printing-Based Fabrication of Flexible Electronics (全英語授課/English-taught),鄭榮偉,3  3/0/0,3,選修,"四3,4,5",工學院B館215右,0,博士班課程
光機電所,1,4415112,1,人工智慧技術與應用以食道癌內視鏡診斷為例Artificial intelligence technology and application as an example of endoscopic diagnosis of esophageal cancer,王祥辰,3  3/0/0,3,選修,"四4,5,6",創新大樓105,0,碩士班課程
光機電所,1,4415113,1,有機電子Organic Electronics,丁初稷,3  3/0/0,3,選修,"三10,11,12",創新大樓222,0,碩士班課程
光機電所,1,4415115,1,光機電科技與實務Science and Practice of Opto-Mechatronics Engineering (程式設計相關/Programming related),葉志庭,3  3/0/0,3,選修,"四7,8,9",創新大樓222,0,碩士班課程
