Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
勞工所,1,3205062,1,中國勞工關係專題討論Seminar on Labor Relation in China,朱柔若,3  3/0/0,3,選修,"四7,8,9",社科院328,0,碩士班課程
勞工所,1,3205064,1,策略性人力資源專題討論Seminar on Strategic Human Resource,黃良志,3  3/0/0,3,選修,"二7,8,9",社科院329,0,碩士班課程
勞工所,1,3205068,1,人力資源管理與勞工關係之競合專題討論Seminar in Co-Opetition Between Human Resource Management and Labor Relations,簡建忠,3  3/0/0,3,選修,"二3,4,5",社科院509,0,碩士班課程
勞工所,1,3205073,1,東協國家勞動關係專題研究Seminar on Labour Relations in ASEAN Countries (全英語授課/English-taught),劉黃麗娟,3  3/0/0,3,選修,"二4,5,6",社科院537,0,碩士班課程
勞工所,1,3206019,1,計量分析Quantitative Analysis,簡建忠,3  3/0/0,3,選修,"三3,4,5",社科院521,0,碩士班課程
勞工所,1,3206032,1,比較勞工政策Comparative Labor Policy Analysis,吳育仁,3  3/0/0,3,選修,"一7,8,9",社科院509,0,碩士班課程
勞工所,1,3206060,1,勞動法專題討論Seminar on Labor Law,楊通軒,3  3/0/0,3,選修,"四3,4,5",社科院509,0,碩士班課程
勞工所,1,3206075,1,書報討論（一）Seminar（Ⅰ）,吳啟新,2  0/0/2,1,必修,"五7,8",社科院509,0,碩士班課程
勞工所,1,3206084,1,勞動法令經濟分析An Economic Analysis of Labor Laws,藍科正,3  3/0/0,3,選修,"三E,F",社科院521,0,碩士班課程
勞工所,1,3206086,1,非典型勞動Non-Standard Labor Work,馬財專,3  3/0/0,3,選修,"三3,4,5",社科院509,0,碩士班課程
勞工所,1,3206097,1,組織行為專題討論Seminar on Organizational Behavior,林淑慧,3  3/0/0,3,選修,"四3,4,5",社科院312,0,碩士班課程
