Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
哲學系,1,1251012,1,哲學概論（二）Introduction of Philosophy (II),王一奇,2  2/0/0,2,必修,"四5,6",文學院139,30
哲學系,1,1251012,2,哲學概論（二）Introduction of Philosophy (II),侯維之,2  2/0/0,2,必修,"四5,6",文學院140,30
哲學系,1,1251407,1,基礎邏輯（下）Logic (II),王仁俊,2  2/0/0,2,必修,"四8,9",文學院139,60
哲學系,1,1251912,1,哲學史（二）History of Philosophy (II),金凱文,2  2/0/0,2,必修,"三2,3",共同教室大樓325,60
哲學系,2,1252010,1,哲學寫作Philosophical Writing,何宗興,2  2/0/0,2,選修,"三2,3",文學院412,15
哲學系,2,1252200,1,知識論Epistemology,李國揚,3  3/0/0,3,必修,"五7,8,9",文學院139,60
哲學系,2,1252306,1,語言哲學Philosophy of Language,金凱文,3  3/0/0,3,選修,"二7,8,9",文學院142,40
哲學系,2,1252402,1,後設邏輯Metalogic,王仁俊,3  3/0/0,3,選修,"五4,5,6",文學院140,45
哲學系,2,1252526,1,物理學的形上學Metaphysics of Physics,陳瑞麟,2  2/0/0,2,選修,"四10,11",文學院140,45
哲學系,2,1252532,1,演化論中的哲學問題：利他行為Philosophical Issues in Evolutionary Theory: Altruism,歐陽敏,2  2/0/0,2,選修,"一7,8",文學院142,40
哲學系,2,1252607,1,美學概論Introduction of Aesthetics,蔡行健,2  2/0/0,2,選修,"一4,5",文學院140,45
哲學系,2,1252613,1,生命倫理學Bioethics,戴華,2  2/0/0,2,選修,"三4,5",文學院139,60
哲學系,2,1252701,1,政治哲學Political Philosophy,謝世民,3  3/0/0,3,選修,"二4,5 四4",文學院139,60
哲學系,2,1252907,1,羅爾斯John Rawls,謝世民,2  2/0/0,2,選修,"二10,11",文學院140,45
哲學系,2,1252928,1,史賓諾沙Spinoza,侯維之,2  2/0/0,2,選修,"二8,9",文學院140,45
哲學系,2,1252939,1,梅洛龐蒂Merleau-Ponty,陳孟熙,2  2/0/0,2,選修,"五13,14",文學院140,45
哲學系,3,1253318,1,理性與非理性Rationality and Irrationality,何宗興,2  2/0/0,2,選修,"二13,14",文學院142,40
哲學系,3,1253500,1,科學哲學Philosophy of Science,歐陽敏,3  3/0/0,3,選修,"四7,8,9",文學院140,45
哲學系,3,1253605,1,行動哲學Philosophy of Action,張忠宏,3  3/0/0,3,選修,"一10,11,12",文學院140,45
哲學系,3,1253618,1,道德推理Moral Reasoning,許漢,2  2/0/0,2,選修,"二4,5",文學院142,40
哲學系,3,1253625,1,分析倫理學重要議題選讀：道德語言、知識與本體論研究Issues in Analytic Ethics,祖旭華,3  3/0/0,3,選修,"二10,11,12",文學院142,40
哲學系,4,1254107,1,自由意志與相關議題Free Will and Relevant Issues,祖旭華,3  3/0/0,3,選修,"四10,11,12",文學院139,60
哲學系,4,1254213,1,異議Disagreement,李國揚,3  3/0/0,3,選修,"一7,8,9",文學院140,45
