Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
國經所,1,5105161,1,產業組織（一）Industrial Organization (I),唐孟祺,3  3/0/0,3,選修,"一10,11,12",管理學院322,0,碩博合開
國經所,1,5105162,1,產業組織（二）Industrial Organization (II),陳和全,3  3/0/0,3,選修,"二7,8,9",管理學院336,0,碩博合開
國經所,1,5105163,1,產業組織（三）Industrial Organization (III),郭芳彰,3  3/0/0,3,選修,"四7,8,9",管理學院336,0,碩博合開
國經所,1,5105202,1,總體經濟理論（二）Macroeconomic Theory (II),許毓珊,3  3/0/0,3,必修,"一7,8,9",管理學院320,0,碩博合開
國經所,1,5105302,1,計量經濟學（二）Econometrics (II),黃柏農,3  3/0/0,3,必修,"二3,4,5",管理學院322,0,碩博合開
國經所,1,5105311,1,個體計量經濟學（一）Microeconometrics(I) (全英語授課/English-taught),曾富民,3  3/0/0,3,選修,"四10,11,12",管理學院336,0,碩博合開
國經所,1,5105320,1,總體計量經濟學Macroeconometrics,賴宏彬,3  3/0/0,3,選修,"一3,4,5",管理學院336,0,碩博合開
國經所,1,5105369,1,賽局理論（一）Game Theory (I),蔡明宏,3  3/0/0,3,選修,"一10,11,12",管理學院336,0,碩博合開
國經所,1,5105401,1,國際貿易（一）International Trade (I),陳偉智,3  3/0/0,3,必修,"三8,9,10",管理學院105,0,碩博合開
國經所,1,5105403,1,國際貿易（三）International Trade (III),劉文獻,3  3/0/0,3,選修,"二7,8,9",管理學院322,0,碩博合開
國經所,1,5105501,1,國際金融（一）International Finance (I),歐陽溥蔓,3  3/0/0,3,必修,"三3,4,5",管理學院336,0,碩博合開
國經所,1,5105804,1,國際經濟專題研討（二）Seminar on the Topics of International Economics (II),崔曉倩,2  2/0/0,2,選修,"一8,9",管理學院208,0,碩博合開
