Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
地震所,1,2155010,1,數位訊號處理Digital Signal Processing,黃蕙珠,3  3/0/0,3,必修,"四3,4,5",地震館301,0,碩博合開
地震所,1,2155018,1,斷層與斷層力學Faults and Mechanics of Faulting,王維豪,3  3/0/0,3,選修,"三3,4,5",地震館301,0,碩博合開
地震所,1,2155022,1,震測資料處理Seismic Data Processing,石瑞銓,3  3/0/0,3,選修,"二10,11,12",地震館301,0,碩博合開
地震所,1,2155026,1,電腦製圖與應用Computer charting and application (程式設計相關/Programming related),溫士忠,2  2/0/0,2,選修,"四10,11",地震館301,0,碩士班課程
地震所,1,2155031,1,工程地震學Engineering Seismology,黃蕙珠,3  3/0/0,3,選修,"五8,9,10",地震館301,0,碩博合開
地震所,1,2155051,1,地球物理數學（一）Geophysical Mathematics (I),陳映年,3  3/0/0,3,選修,"二3,4,5",地震館301,0,碩士班課程
地震所,1,2155092,1,書報討論（二）Seminar (II),黃蕙珠,2  0/0/2,1,必修,"三7,8",地震館301,0,碩士班課程
地震所,1,2155094,1,書報討論（四）Seminar (IV),黃蕙珠,2  0/0/2,1,必修,"三10,11",地震館301,0,碩士班課程
地震所,1,2155101,1,地震層析成像原理與應用seismic tomography (程式設計相關/Programming related),溫士忠,3  3/0/0,3,選修,"二7,8,9",地震館304,0,碩博合開
地震所,1,2155102,1,陣列地震學Array seismology,陳映年,3  3/0/0,3,選修,"四7,8,9",地震館301,0,碩博合開
地震所,1,2158001,1,書報討論（二）Seminar (II)：Advanced,李元希,2  0/0/2,1,必修,"三6,7",地震館304,0,博士班課程
地震所,1,2158003,1,書報討論（四）Seminar (IV)：Advanced,李元希,2  0/0/2,1,必修,"三10,11",地震館102,0,博士班課程
地震所,1,2159991,1,理論地震學（一）Theoretical Seismolgy (I),陳映年,3  3/0/0,3,必修,"五7,8,9",地震館304,0,碩博合開
