Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
師培中心,1,3545001,1,教育哲學Philosophy of Education,顧曉雲,2  2/0/0,2,必修,"三10,11",教育館502,40
師培中心,1,3545005,1,教育社會學Sociology of Education,鄭勝耀,2  2/0/0,2,必修,"四8,9",教育館501,30
師培中心,1,3545010,1,教育心理學Psychology of Education,連啟舜,2  2/0/0,2,必修,"四2,3",教育館502,40
師培中心,1,3545150,1,人際關係與溝通Interpersonal Relations and Communication,陳幸仁,2  2/0/0,2,選修,"三4,5",教育館501,30
師培中心,1,3545935,1,教學原理Instruction Principles,洪志成,2  2/0/0,2,必修,"二2,3",教育館501,30
師培中心,1,3546189,1,社會學習領域－歷史主修／歷史科教學實習Teaching Practice for History/Social,連啟舜,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546192,1,語文學習領域－國文主修／國文科教學實習Teaching Practice for Chinese/Language,連啟舜,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546194,1,語文學習領域－英文主修／英文科教學實習Teaching Practice for English/Language,陳姚真,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546196,1,數學學習領域－數學主修／數學科教學實習Teaching Practice forMathematics/Mathematics,連啟舜,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546202,1,公民與社會科教學實習Teaching Practice for High Schools Civic and Social Studies,陳姚真,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546234,1,健康與體育學習領域－體育主修／體育科教學實習Teaching Practice for Physic Education/Health and Physic,連啟舜,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546243,1,資訊科技概論教學實習Teaching Practice for information technology,陳姚真,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546246,1,青少年心理學Adolescent Psychology,陳慧女,2  2/0/0,2,選修,"一4,5",教育館501,30
師培中心,1,3546331,1,學習評量Assessment of Learning,曾玉村,2  2/0/0,2,必修,"二10,11",教育館502,40
師培中心,1,3546337,1,物理科/自然與生活科技學習領域物理主修專長教學實習Teaching Practice for Physics /Science and Technology,連啟舜,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546340,1,教育議題專題Seminar on Educational Issues,陳姚真,2  2/0/0,2,選修,"二4,5",教育館502,40
師培中心,1,3546345,1,適性教學(含分組合作學習、差異化教學)Adaptive Instruction,洪志成,2  2/0/0,2,選修,"二8,9",教育館501,30
師培中心,1,3546347,1,商業與管理群-商業經營科教學實習The Teaching Practice on Commerce Management,陳姚真,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546350,1,職業教育與訓練Vocational Education and Training,陳幸仁,1  1/0/0,1,必修,三3,教育館501,30
師培中心,1,3546351,1,生涯規劃Career Developmen,陳幸仁,1  1/0/0,1,必修,三3,教育館501,30
師培中心,1,3546352,1,輔導科/綜合活動學習領域輔導活動主修專長教學實習Teaching Practice for Instruction in Guidance/Integrative Activities,連啟舜,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546359,1,職業教育與訓練及生涯規劃Seminar on Vocational Education and Education & Career Planning,陳幸仁,1  1/0/0,1,必修,三3,教育館501,30
師培中心,1,3546360,1,電機與電子群－電機科教學實習The Teaching Practice on Electrical Engineering Electronics Group,陳姚真,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546364,1,童軍教育原理The Theory of Scout Education,吳美枝,2  2/0/0,2,選修,"三10,11",教育館501,30
師培中心,1,3546365,1,化學科/自然與生活科技學習領域化學主修專長教學實習Chemistry/Science and Technology,陳姚真,2  2/0/0,2,必修,"五2,3",教育館502,40
師培中心,1,3546366,1,學校輔導工作School Guidance & Counseling,吳美枝,2  2/0/0,2,選修,"三4,5",教育館502,40
師培中心,1,3546367,1,綜合活動學習領域課程設計與實施Design and Implementation of Integrative Activities Learning Curriculum,陳慧女,2  2/0/0,2,選修,"一2,3",教育館501,30
