Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
成教系,1,3401016,1,創造力發展Creativity to Business,陳玉樹,3  3/0/0,3,必修,"四4,5,6",教育館204,40
成教系,1,3401029,1,人力資源發展Human Resource Development,李藹慈,3  3/0/0,3,必修,"三4,5,6",教育館206,40
成教系,1,3401032,1,社區教育與發展Community Education and Community Development,蔡秀美,3  3/0/0,3,必修,"二4,5,6",教育館204,40
成教系,1,3401035,1,組織學習Organizational Learning,王維旎,3  3/0/0,3,選修,"二7,8,9",教育二館533,35
成教系,2,3402037,1,教育統計Education Statistics,施宇澤,3  3/0/0,3,必修,"四7,8,9",教育館204,40
成教系,2,3402038,1,成人教育專案管理Project Management in Adult Education,王維旎,3  3/0/0,3,必修,"三7,8,9",教育館206,40
成教系,2,3402039,1,高齡心理與教學Aging Psychology and Teaching,林麗惠,3  3/0/0,3,選修,"二7,8,9",教育館204,40
成教系,3,3403013,1,比較成人教育Comparative of Adult Education,李雅慧,3  3/0/0,3,必修,"二4,5,6",教育館206,40
成教系,3,3403033,1,成人教育行政與組織管理Adult Education Administration and Organization Management,王維旎,3  3/0/0,3,必修,"一7,8,9",教育館204,40
成教系,3,3403040,1,高齡教育學Educational Gerontology,黃錦山,3  3/0/0,3,必修,"三4,5,6",教育二館556,36
成教系,2,3403041,1,家庭生活教育概論Introduction to Family Life Education,陳怡華,3  3/0/0,3,選修,"一4,5,6",教育二館233,50
成教系,2,3403042,1,教材設計與製作Instructional Design and Development,林怡玫,3  3/0/0,3,必修,"三4,5,6",教育館204,40
成教系,3,3403043,1,成人教育測驗與評量Adult Educational Testing and Assessment,許秋田,3  3/0/0,3,選修,"三7,8,9",教育二館556,36
成教系,4,3404011,1,婚姻與家庭諮商Marriage and the Family Counseling,陳怡華,3  3/0/0,3,選修,"二4,5,6",教育二館233,50
成教系,1,3404012,1,社會老年學Social gerontology,陳毓璟,3  3/0/0,3,選修,"三7,8,9",教育館204,40
成教系,4,3404015,1,中高齡產業創新創業(二)Innovation and Entrepreneurship of Middle-aged and Older Adults (II),陳於志,3  3/0/0,3,選修,"四7,8,9",教育館206,40
