Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
政治所,1,3305004,1,抽樣調查實務(一)Survey Research in Practice I,劉從葦,3  3/0/0,3,選修,"四12,13,14",社科院二館105,0,碩士班課程
政治所,1,3305009,1,電子化政府與數位治理Electronic Government and Digital Governance,徐千偉,3  3/0/0,3,選修,"二3,4,5",社科院二館105,0,碩士班課程
政治所,1,3305014,1,抽樣調查實習Practical Training of Survey Research,劉從葦,3  3/0/0,3,選修,"五12,13,14",社科院二館105,0,碩士班課程
政治所,1,3305020,1,社會科學統計Social Statistics and Data Analysis,陳光輝,3  3/0/0,3,選修,"三7,8,9",社科院二館105,0,碩士班課程
政治所,1,3305310,1,國際關係理論Theories of International Relations,藍玉春,3  3/0/0,3,必修,"四3,4,5",社科院二館701,0,碩士班課程
政治所,1,3305320,1,比較政治理論Field Seminar on Comparative Politics,廖坤榮,3  3/0/0,3,必修,"二8,9,10",社科院二館709,0,碩士班課程
政治所,1,3305905,1,初級政治學德語(十一)German for Political Science Intermediate Level A2-6 / Mittelstufe Deutsch fuer Politische Wissensch A2-6,徐千偉,3  3/0/0,3,選修,"一3,4,5",社科院二館118,0,碩士班課程
政治所,1,3306401,1,公共政策專題研究Seminar on Public Policy,蔡允棟,3  3/0/0,3,必修,"三3,4,5",社科院二館105,0,碩士班課程
政治所,1,3306420,1,國際組織專題研究Seminar on International Organizations,郭祐輑,3  3/0/0,3,必修,"四7,8,9",社科院二館709,0,碩士班課程
政治所,1,3306640,1,亞洲區域主義Asian Regionalism,李佩珊,3  3/0/0,3,選修,"三4,5,6",社科院二館709,0,碩士班課程
政治所,1,3306710,1,政治社會化Political Socialization,陳光輝,3  3/0/0,3,選修,"二4,5,6",社科院二館701,0,碩士班課程
