Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
政治系,1,3301021,1,研究報告寫作Term Papers Writing,劉從葦,3  3/0/0,3,必修,"五7,8,9",社科院二館106,45
政治系,1,3301030,1,政治學（二）Introduction to Political Science (II),李佩珊,3  3/0/0,3,必修,"二4,5 四3",社科院二館103,40
政治系,1,3301091,1,政治學英文名著選讀（二）Political Science Classics (II),李佩珊,2  2/0/0,2,必修,"二8,9",社科院二館103,40
政治系,1,3301091,2,政治學英文名著選讀（二）Political Science Classics (II) (全英語授課/English-taught),蔡榮祥,2  2/0/0,2,必修,"二7,8",社科院二館102,40
政治系,1,3301130,1,社會學（二）Sociology (II),林平,2  2/0/0,2,必修,"三8,9",社科院二館108,65
政治系,1,3301140,1,經濟學（二）Economics (II),李翠萍,2  2/0/0,2,必修,"五2,3",社科院二館108,65
政治系,1,3301980,1,中國政治思想史History of Chinese Political Thought,魏楚陽,3  3/0/0,3,必修,"四7,8,9",社科院119,120
政治系,2,3302002,1,政治學專題討論Seminar on Political Science,陳尚志,2  2/0/0,2,選修,"四10,11",社科院二館709,20
政治系,2,3302040,1,政治學方法論（二）Introduction to Political Methodology (II),郭祐輑 李翠萍,3  3/0/0,3,必修,"五7,8,9",社科院二館108,65
政治系,2,3302050,1,比較政府與政治（二）Comparative Governments and Politics (II),廖坤榮,3  3/0/0,3,必修,"三7,8,9",社科院二館106,45
政治系,2,3302060,1,國際關係（二）International Relations (II),郭祐輑,3  3/0/0,3,必修,"三4,5,6",社科院二館108,65
政治系,2,3302070,1,行政學（二）Public Administration (II),蔡允棟,3  3/0/0,3,必修,"四7,8,9",社科院二館108,65
政治系,2,3302390,1,現代國際政治史Modern History of International Politics,藍玉春,3  3/0/0,3,選修,"二7,8,9",社科院二館108,65
政治系,2,3302401,1,政治意識型態Political Ideologies,陳尚志,2  2/0/0,2,選修,"三10,11",社科院二館802,10
政治系,2,3302411,1,國際人權與女權Rights of Men and Rights of Women,藍玉春,3  3/0/0,3,選修,"四7,8,9",社科院二館701,30
政治系,2,3302940,1,公民教育Civic Education,魏楚陽,2  2/0/0,2,選修,"四4,5",社科院二館709,20
政治系,3,3303002,1,發現東南亞Discovering Southeast Asia,林平,2  2/0/0,2,選修,"四4,5",社科院二館106,45
政治系,3,3303004,1,當代政治思想選讀Selected Studies in Contemporary Political Thought,魏楚陽,3  3/0/0,3,選修,"三10,11,12",社科院二館701,30
政治系,3,3303023,1,政策分析policy analysis,蔡允棟,2  2/0/0,2,選修,"四10,11",社科院二館106,45
政治系,3,3303024,1,公共治理與社會經典選讀The Classics of Public Governance and Society,蔡允棟,2  2/0/0,2,選修,"三10,11",社科院二館106,45
政治系,3,3303030,1,政治學統計方法（二）Statistical Methods for Political Research (II),陳光輝,3  3/0/0,3,必修,"四4,5,6",電算中心216教室,40
政治系,3,3303030,2,政治學統計方法（二）Statistical Methods for Political Research (II),陳光輝,3  3/0/0,3,必修,"四7,8,9",電算中心216教室,40
政治系,3,3303421,1,財務行政Financial Administration,李翠萍,3  3/0/0,3,選修,"四4,5,6",社科院二館105,15
政治系,3,3303503,1,危機管理Crisis Management,蔡允棟,2  2/0/0,2,選修,"三8,9",社科院二館103,40
政治系,3,3303645,1,當代社會分析Contemporary Sociological Analysis,林平,3  3/0/0,3,選修,"三10,11,12",社科院二館102,40
政治系,4,3304334,1,全球環境治理：重大環境議題分析Global Environmental Governance: The Major Environmental Issues over the Past Decade (全英語授課/English-taught),李翠萍,2  2/0/0,2,選修,"四10,11",社科院二館105,15
政治系,4,3304340,1,台灣政經發展The Political and Economic Development of Taiwan,陳尚志,3  3/0/0,3,選修,"三7,8,9",社科院二館802,10
