Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
會資所,1,5265018,1,人工智慧導論Introduction to Artificial Intelligence,吳徐哲,3  3/0/0,3,選修,"四7,8,9",創新大樓266,30,碩士班課程
會資所,1,5265049,1,系統分析與設計研討Seminar on System Analysis and Design,張碩毅,3  3/0/0,3,必修,"五7,8,9",創新大樓261,0,碩士班課程
會資所,1,5265068,1,文字探勘之商業應用Text mining in business application (程式設計相關/Programming related),許育峯,3  3/0/0,3,選修,"五3,4,5",創新大樓261,0,碩士班課程
會資所,1,5265078,1,租稅專題研討Seminar on Taxation Practice,嚴文筆,3  3/0/0,3,選修,"三7,8,9",創新大樓271,35,碩士班課程
會資所,1,5265082,1,電腦審計研討Seminar on Computer auditing,温紹羣,3  3/0/0,3,選修,"四8,9,10",創新大樓271,35,碩士班課程
會資所,1,5265100,1,風險管理與電腦稽核Risk Management and Computer Audit,黃士銘,3  3/0/0,3,必修,"四3,4,5",創新大樓261,50,碩士班課程
會資所,1,5265603,1,高等財務會計理論Advanced Financial Accounting Theory,鍾宇軒,3  3/0/0,3,必修,"二9,10,11",創新大樓271,0,碩士班課程
會資所,1,5266009,1,中級會計學Intermediate Accounting,謝佳純,3  3/0/0,3,必修,"二8,9,10",創新大樓266,0,碩士班課程
會資所,1,5266010,1,新興金融商品之創新與應用Innovation and Application of Emerging Financial Instrument (全英語授課/English-taught),林岳喬,3  3/0/0,3,選修,"四3,4,5",創新大樓271,0,碩士班課程
會資所,1,5268121,1,經濟數學Mathematical Economics (全英語授課/English-taught),林岳喬,3  3/0/0,3,必修,"五3,4,5",創新大樓383,0,博士班課程
會資所,1,5268125,1,高等研究方法Advanced Research Methods (全英語授課/English-taught),洪育忠,3  3/0/0,3,必修,"一7,8,9",創新大樓383,0,博士班課程
會資所,1,5268210,1,高等成本與管理會計研究Seminar on Advanced Cost and Mangement Accounting,卓佳慶,3  3/0/0,3,必修,"五7,8,9",創新大樓383,0,博士班課程
會資所,1,5268516,1,英文論文寫作與簡報技巧Thesis Writing and English Presentation Skills (全英語授課/English-taught),林岳喬,3  3/0/0,3,選修,"五7,8,9",創新大樓271,0,博士班課程
