Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
歷史系,1,1201888,1,學系服務學習Service Learning: Campus Service,方志強,1  1/0/0,0,必修,一3,文學院106,60
歷史系,1,1201114,1,中國通史（二）General History of China (II),張秀蓉 楊宇勛,4  4/0/0,4,必修,"三4,5 五4,5",文學院106,60
歷史系,1,1201122,1,世界通史（二）World History (II),方志強,4  4/0/0,4,必修,"三8,9 五8,9",文學院135,80
歷史系,1,1201162,1,史學入門（二）Gateway to History (II),李若文,2  2/0/0,2,必修,"二8,9",文學院106,60
歷史系,2,1202232,1,台灣史（二）History of Taiwan (II),張建俅,3  3/0/0,3,必修,"一10,11,12",文學院106,60
歷史系,2,1202312,1,"魏晉南北朝史（二）History of the Wei Chin, Northern & Southern Dynasties (II)",李昭毅,3  3/0/0,3,選修,"一7,8,9",文學院118,45
歷史系,3,1202352,1,中國上古史（二）History of Ancient China (II),郭靜云,3  3/0/0,3,選修,"四10,11,12",文學院117,45
歷史系,2,1202432,1,16-18世紀歐洲史(二)History of Europe from the 16th to 18th Century (II),杜子信 孫隆基,3  3/0/0,3,選修,"五4,5,6",文學院135,80
歷史系,2,1202522,1,戰後台灣史（二）The Postwar History of Taiwan (II),張建俅,3  3/0/0,3,選修,"三10,11,12",文學院106,60
歷史系,2,1202692,1,藏族史（二）Tibetan History (II),林冠群,2  2/0/0,2,選修,"一4,5",文學院106,60
歷史系,2,1202822,1,日文（二）Japanese(II),李若文,2  2/0/0,2,選修,"三4,5",文學院118,45
歷史系,2,1202921,1,台灣古文書導讀與應用(一)Introduction to Taiwan Old Documents (I),蘇全正,2  2/0/0,2,選修,"一4,5",文學院117,45
歷史系,3,1203162,1,史學方法（二）Historical Methods (II),張秀蓉,2  2/0/0,2,必修,"三8,9",文學院106,60
歷史系,2,1203352,1,明史(二)History of the Ming Dynasty(II),林燊祿,2  2/0/0,2,選修,"二8,9",文學院118,45
歷史系,3,1203422,1,世界近世文明史（二）Modern World Civilization and History (II),郭秀鈴,3  3/0/0,3,選修,"三7,8,9",文學院118,45
歷史系,2,1203442,1,古代希臘史(二)History of Ancient Greece(II),黃俊龍,2  2/0/0,2,選修,"三4,5",文學院117,45
歷史系,3,1203449,1,古代羅馬史History of Ancient Rome,黃俊龍,3  3/0/0,3,選修,"一7,8,9",文學院117,45
歷史系,3,1203509,1,古代地中海史History of the Ancient Mediterranean World,黃俊龍,3  3/0/0,3,選修,"二7,8,9",文學院117,45
歷史系,3,1203524,1,奧地利史(二)History of Austria(II),杜子信,3  3/0/0,3,選修,"四7,8,9",文學院106,60
歷史系,3,1203564,1,德國文化史（二）Cultural History of Germany (II),郭秀鈴,3  3/0/0,3,選修,"二7,8,9",文學院135,80
歷史系,3,1203629,1,北亞草原民族歷史與文化The Culture & Histories of Nomadic People in North Asia,朱振宏,3  3/0/0,3,選修,"一7,8,9",文學院106,60
歷史系,3,1203712,1,中國史學史（二）Chinese Historiography (II),朱振宏,2  2/0/0,2,選修,"二2,3",文學院106,60
歷史系,3,1203722,1,西洋史學史（二）Western Historiography (II),方志強,2  2/0/0,2,選修,"二4,5",文學院118,45
歷史系,2,1203829,1,鄉土史研究法Field Study Methods,蘇全正,2  2/0/0,2,選修,"一7,8",文學院135,80
歷史系,3,1203962,1,中國近代軍事史（二）History of Modern Chinese Military(II),楊維真,2  2/0/0,2,選修,"三2,3",文學院118,45
歷史系,4,1204529,1,世界史專題:城市與鄉村關係史World History Special Subject: History of Urban and Rural Relationships (全英語授課/English-taught),郭秀鈴,3  3/0/0,3,選修,"四7,8,9",文學院118,45
歷史系,4,1204532,1,中東歐各國史(二)History of Eastern Central European Countries(II),杜子信,3  3/0/0,3,選修,"三10,11,12",文學院118,45
歷史系,4,1204629,1,修昔底德與伯羅奔尼撒戰爭史Thucydides'History of the Peloponnesian War,黃俊龍,2  2/0/0,2,選修,"五4,5",文學院117,45
歷史系,4,1204639,1,德意志民族運動及格林童話專題Seminar on German National Movement and Grimms’ Fairy Tales,杜子信,3  3/0/0,3,選修,"一4 三4,5",文學院135,80
