Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
物理所,1,2205020,1,統計力學Statistical Mechanics,蔡炎熾,3  3/0/0,3,選修,二G 四G,物理館303,0,碩博合開
物理所,1,2205041,1,電動力學（一）Electrodynamics (I),林財鈺,3  3/0/0,3,選修,二C 四C,物理館307,0,碩博合開
物理所,1,2205052,1,量子力學（二）Quantum Mechanics (II),吳欣澤,3  3/0/0,3,選修,二B 四B,物理館307,0,碩博合開
物理所,1,2205061,1,計算物理Computational Physics (程式設計相關/Programming related),魏台輝,3  3/0/0,3,選修,三G 五G,物理館105,0,碩博合開
物理所,1,2205120,1,雷射物理Laser Physics,林俊元 段必輝,3  3/0/0,3,選修,"二7,8,9",物理館303,0,碩博合開
物理所,1,2205182,1,固態物理（二）Solid State Physics (II),秦伊瑩,3  3/0/0,3,選修,一C 三C,物理館303,0,碩博合開
物理所,1,2205274,1,書報討論（二）Seminar (II),段必輝 林俊元,2  0/0/2,1,必修,"三8,9",物理館307,0,碩博合開
物理所,1,2205386,1,磁性材料分析技術Analysis techniques on magnetic materials,張文成,3  3/0/0,3,選修,"一8,9,10",物理館307,0,碩博合開
物理所,1,2205945,1,高等物理數學Advanced Mathematical Physics,余文卿,3  3/0/0,3,選修,一B 三B,物理館303,0,碩博合開
物理所,1,2205953,1,專題：磁性氧化物Special Topics：Magnetic Oxides,秦伊瑩,3  3/0/0,3,選修,"一F,G",物理館419研討室,0,碩博合開
物理所,1,2205958,1,專題：奈米光電Special Topics：Nanophotonics (全英語授課/English-taught),許佳振,3  3/0/0,3,選修,"一8,9,10",物理館303,0,碩博合開
物理所,1,2205959,1,估算物理Order-of-magnitude physics,門福國,1  1/0/0,1,選修,三5,物理館304,0,碩博合開
物理所,1,2205960,1,專題：雷射冷卻與捕獲Special Topics: Laser Cooling and Trapping,韓殿君,3  3/0/0,3,選修,"五3,4,5",物理館304,0,碩博合開
物理所,1,2206272,1,專題：書報討論（二）Special Topics ：Colloquium (II),張文成,2  0/0/2,1,必修,"三8,9",物理館303,0,博士班課程
