Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
犯防系,1,3451005,1,心理衛生Mental Health,林明傑,2  2/0/0,2,選修,"四4,5",教育二館632,36
犯防系,1,3451018,1,社會學（二）Sociology (II),許華孚,2  2/0/0,2,必修,"三4,5",教育館603,49
犯防系,1,3451019,1,心理學（二）Psychology (II),戴伸峰,2  2/0/0,2,必修,"一4,5",教育二館232,50
犯防系,1,3451033,1,社會工作短期處遇Short-Term Treatment and Social Work Practice,簡美華,3  3/0/0,3,選修,"二4,5,6",教育館604,14
犯防系,2,3452018,1,人格心理學Personality Psychology,戴伸峰,2  2/0/0,2,選修,"二4,5",教育二館632,36
犯防系,2,3452025,1,刑法總則（二）Criminal Law in General Part (II),馬躍中,3  3/0/0,3,必修,"二7,8,9",教育館603,49
犯防系,2,3452027,1,暴力犯罪Violent Crime,陳巧雲 楊士隆,2  2/0/0,2,選修,"三10,11",教育館603,49
犯防系,2,3452066,1,行為統計與電腦（二）Behavioral Statistics and Computer Appliance（II）,許秋田,2  2/0/0,2,必修,"三4,5",教育二館232,50
犯防系,2,3452073,1,社會團體工作Social Group Work,簡美華,3  3/0/0,3,選修,"一4,5,6",教育館604,14
犯防系,2,3452074,1,少年犯罪Juvenile Delinquency,曾淑萍,3  3/0/0,3,必修,"三7,8,9",教育館603,49
犯防系,2,3452076,1,警察學Police Science,張博文,2  2/0/0,2,選修,"五4,5",教育館603,49
犯防系,2,3452077,1,諮商歷程與技術Counseling Process and Techniques,邱獻輝,3  3/0/0,3,選修,"三10,11,12",教育二館653,18
犯防系,3,3453014,1,少年事件處理法Juvenile Case Procedure Law,陳慈幸,2  2/0/0,2,選修,"二8,9",教育館601,32
犯防系,3,3453031,1,犯罪心理學Criminal Psychology,林明傑,2  2/0/0,2,必修,"三2,3",教育館603,49
犯防系,3,3453032,1,團體輔導實務Group Guidance Practice,劉如蓉,2  2/0/0,2,選修,"四11,12",教育二館237,36
犯防系,3,3453043,1,社會與行為科學研究方法（二）Research Methods for Social and Behavioral Sciences (II),陳巧雲,2  2/0/0,2,必修,"三4,5",教育二館631,36
犯防系,3,3453068,1,刑事政策 Criminal Policy,陳慈幸,3  3/0/0,3,必修,"三7,8,9",教育館601,32
犯防系,3,3453069,1,刑事訴訟法（二）Law of Criminal Procedure (II),馬躍中,3  3/0/0,3,選修,"一10,11,12",教育二館631,36
犯防系,4,3453074,1,性創傷處遇Sexual Trauma and Intervention,簡美華,3  3/0/0,3,選修,"四4,5,6",教育館604,14
犯防系,1,3453081,1,心理學在犯罪領域之運用The Psychological view toward Criminology,戴伸峰,2  2/0/0,2,選修,"二8,9",教育二館632,36
犯防系,3,3453088,1,體驗教育與冒險治療Experiential Education and Adventure Therapy,李宗憲,3  3/0/0,3,選修,"五7,8,9",教育館604,14
犯防系,4,3454023,1,跨國犯罪transnational crime,馬躍中,2  2/0/0,2,選修,"三4,5",教育二館336,58
犯防系,4,3454030,1,刑事制裁Criminal Sanction,馬躍中,2  2/0/0,2,選修,"一8,9",教育二館631,36
犯防系,4,3454031,1,性別暴力Gender Violence,林明傑,2  2/0/0,2,選修,"五4,5",教育館601,32
