Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
語言所,1,1305002,1,音韻學Phonology (全英語授課/English-taught),麥傑,3  3/0/0,3,必修,"三8,9,10",文學院413,0,碩博合開
語言所,1,1305568,1,構詞學Morphology (全英語授課/English-taught),張寧,3  3/0/0,3,選修,"三3,4,5",文學院413,0,碩博合開
語言所,1,1306574,1,南島語結構與語言教學Austronesian Linguistics and Language Teaching (全英語授課/English-taught),何德華,3  3/0/0,3,選修,"一3,4,5",文學院413,0,碩博合開
語言所,1,1306582,1,給語言學家的Python程式設計Python for Linguists (程式設計相關/Programming related),吳俊雄,3  3/0/0,3,選修,"五3,4,5",文學院413,0,碩博合開
語言所,1,1307011,1,台灣手語之語意與句法Semantics and Syntax of Taiwan Sign Language,張榮興,3  3/0/0,3,選修,"二3,4,5",文學院413,0,碩博合開
語言所,1,1307585,1,口語與手語的擬象性Iconicity in Spoken and Signed Languages,戴浩一,3  3/0/0,3,選修,"二8,9,10",文學院413,0,碩博合開
語言所,1,1307586,1,中文識字與閱讀議題討論Issues on Chinese character recognition and reading,蔡素娟,3  3/0/0,3,選修,"四8,9,10",文學院413,0,碩博合開
語言所,1,1307651,1,語法學專題討論Seminar on Syntax (全英語授課/English-taught),張寧,3  3/0/0,3,選修,"四8,9,10",文學院306,0,碩博合開
語言所,1,1307667,1,漢語結構Linguistic Structure of Chinese,張榮興,3  3/0/0,3,必修,"四3,4,5",文學院413,0,碩博合開
語言所,1,1309005,1,語言學的理論與實證基礎The Theoretical and Empirical Basis of Linguistics (全英語授課/English-taught),麥傑,3  3/0/0,3,必修,"二3,4,5",文學院306,0,碩博合開
