Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
課研所,1,3915011,1,教育社會學研究Research on Sociology of Education,王雅玄,2  2/0/0,2,選修,"四4,5",教育館405,0,碩士班課程
課研所,1,3915026,1,教育研究法：質的取向Qualitative Research Methods of Education,林麗菊,2  2/0/0,2,選修,"三10,11",教育館405,0,碩士班課程
課研所,1,3915032,1,教育心理學研究Research on Psychology of Education,連啟舜,2  2/0/0,2,選修,"四8,9",教育館507,0,碩士班課程
課研所,1,3915038,1,閱讀發展與教學研究Research on Reading Development and Instruction,連啟舜,2  2/0/0,2,選修,"四10,11",教育館507,0,碩士班課程
課研所,1,3915039,1,課程評鑑研究Research on Curriculum Evaluation,林永豐,2  2/0/0,2,選修,"三4,5",教育館507,0,碩士班課程
課研所,1,3915064,1,美國課程史研究Research on American Curriculum History,顧曉雲,2  2/0/0,2,選修,"二8,9",教育二館436,0,碩士班課程
課研所,1,3915066,1,教育與文化脈絡研究Seminar on Education and Cultural Contexts,鄭勝耀,2  2/0/0,2,選修,"四2,3",教育館405,0,碩士班課程
課研所,1,3915103,1,獨立研究：教師與教學（一）Independent Studies: Teachers and Instruction (I),洪志成,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
課研所,1,3915105,1,獨立研究：教學與學習（一）Independent Studies: Teaching and Learning(I),陳姚真,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
課研所,1,3915109,1,獨立研究：課程與社會變遷（一）Independent Studies: Curriculum and Social Change (I),林永豐,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
課研所,1,3915136,1,獨立研究：閱讀歷程與教學(一)Independent Studies: Reading Processes and Instruction,連啟舜,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
課研所,1,3915144,1,合作學習研究Research on Cooperative Learning,洪志成,2  2/0/0,2,選修,"二4,5",教育館507,0,碩士班課程
課研所,1,3915150,1,數位學習研究Research on e-Learning,陳姚真,2  2/0/0,2,選修,"三8,9",教育館507,0,碩士班課程
課研所,1,3917037,1,教科書研究專題Seminar on Study of School Textbook,林永豐,2  2/0/0,2,選修,"二4,5",教育二館436,0,博士班課程
課研所,1,3917061,1,比較教育方法論專題研究Seminar on Methodology of Comparative and International Education,楊深坑,2  2/0/0,2,選修,"二8,9",教育館405,0,博士班課程
課研所,1,3917119,1,獨立研究：教師專業與情感（一）Independent Studies: Teacher Profession and Teacher Emotions(Ⅰ),洪志成,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
課研所,1,3917152,1,獨立研究：數位學習(一)Independent Studies: e-Learning(I),陳姚真,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
課研所,1,3917238,1,教育學方法論專題研究Seminar on Methodology in Education,李奉儒,2  2/0/0,2,選修,"二2,3",教育館405,0,博士班課程
課研所,1,3917241,1,數位學習研究專題Seminar on e-Learning,陳姚真,2  2/0/0,2,選修,"二10,11",教育館507,0,博士班課程
課研所,1,3917251,1,閱讀教學專題研究Seminar on Reading Instruction,曾玉村,2  2/0/0,2,選修,"二4,5",教育二館437,0,博士班課程
