Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
財法所,1,6305002,1,納稅者權利保護專題研究Seminar on The Protection of Taxpayer’s Rights,黃俊杰,2  2/0/0,2,必修,"三2,3",法學院508,40,碩博合開
財法所,1,6305003,1,法學英文(二)-契約法Legal English(II)-Contract (全英語授課/English-taught),葉錦鴻,2  2/0/0,2,必修,"二10,11",法學院508,40,碩博合開
財法所,1,6305016,1,東亞民法專題研究(二)Seminar on East Asian Civil Laws(II) (全英語授課/English-taught),曾品傑,2  2/0/0,2,選修,"一4,5",法學院406,0,碩博合開
財法所,1,6305018,1,臺灣法專題研究(二)eminars on Taiwanese Law(II) (全英語授課/English-taught),曾品傑 林韋仲,2  2/0/0,2,選修,"一10,11",法學院508,0,碩博合開
財法所,1,6305080,1,智慧財產權授權契約專題研究Seminar of Intellectual Property Licensing Agreement,姚信安,2  2/0/0,2,選修,"三4,5",法學院406,40,碩博合開
財法所,1,6306018,1,法律實務(二)Legal Practice(II),盛子龍,2  2/0/0,2,選修,"四8,9",法學院407,10,碩士班課程
財法所,1,6306025,1,商事法實務研習與專題研究Practice and Seminar of Commercial Law,王志誠,2  2/0/0,2,選修,"二2,3",法學院509,20,碩士班課程
財法所,1,6306106,1,國際貿易法專題研究（二）Seminar on International Trade Law (II),葉錦鴻,2  2/0/0,2,選修,"三10,11",法學院508,40,碩博合開
財法所,1,6306209,1,專利制度專題研究Seminar on Patent Law,陳文吟,2  2/0/0,2,選修,"一8,9",法學院407,20,碩博合開
財法所,1,6306213,1,智慧財產權法總論專題研究（二）General Introduction on Intellectual Property Law (II),陳文吟,2  2/0/0,2,必修,"一2,3",法學院406,40,碩博合開
財法所,1,6306303,1,金融法專題研究Special Study of Financial Law,王志誠,2  2/0/0,2,必修,"一4,5",法學院507,40,碩博合開
財法所,1,6306316,1,美國法總論專題研究（二）Seminar on the Introduction to U.S. Law (II),陳文吟,2  2/0/0,2,選修,一6 三6,法學院407,20,碩博合開
財法所,1,6306402,1,公司法專題研究Seminar on Corporation Law,王志誠,2  2/0/0,2,必修,"一10,11",法學院507,40,碩博合開
財法所,1,6306513,1,稅捐救濟專題研究（二）Tax Remedy (II),盛子龍,2  2/0/0,2,選修,"三7,8",法學院508,40,碩博合開
財法所,1,6306514,1,國際經濟法專題研究（二）Seminar on International Economic Law (II),林韋仲,2  2/0/0,2,必修,"四10,11",法學院508,40,碩博合開
財法所,1,6306515,1,稅法基礎理論專題研究（二）Principles of Tax Law (II),黃俊杰,2  2/0/0,2,選修,"三4,5",法學院508,40,碩博合開
