Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
資工所,1,4105004,1,密碼學與安全協定Cryptography and Security Protocols,林柏青,3  3/0/0,3,選修,"二E,F",工學院A館104,0,碩博合開
資工所,1,4105016,1,深度學習概論Introduction to Deep Learning,熊博安,3  3/0/0,3,選修,"五E,F",創新大樓341,0,碩博合開
資工所,1,4105018,1,抗變異計算系統Variation-Resilient Computing,林泰吉,3  3/0/0,3,選修,"三E,F",工學院A館206,10,碩博合開
資工所,1,4105113,1,視訊處理Video Processing,柳金章,3  3/0/0,3,選修,"二3,4,5",工學院A館104,0,碩博合開
資工所,1,4105205,1,模糊系統Fuzzy Systems(遠距教學/Distant learning),游寶達,3  3/0/0,3,選修,二B 四B,工學院A館204,0,碩博合開
資工所,1,4105206,1,拍賣與機制設計理論Auction Theory and Mechanism Designs,連紹宇,3  3/0/0,3,選修,"五E,F",工學院A館104,0,碩博合開
資工所,1,4105251,1,增強式學習Reinforcement Learning,連紹宇,3  3/0/0,3,選修,"四E,F",工學院A館104,0,碩博合開
資工所,1,4105310,1,計算方法Computer Algorithms (程式設計相關/Programming related),李新林,3  3/0/0,3,必修,二C 四C,工學院A館204,40,碩博合開
資工所,1,4105399,1,物聯網概論Introduction to Internet of Things(遠距教學/Distant learning),黃啟富,3  3/0/0,3,選修,"五E,F",創新大樓322,50,碩博合開
資工所,1,4105408,1,無線感測網路Wireless Sensor Networks,黃啟富,3  3/0/0,3,選修,"三E,F",創新大樓324,30,碩博合開
資工所,1,4105448,1,多媒體學習系統設計Multimedia Learning System Design,游寶達,3  3/0/0,3,選修,二C 四C,創新大樓341,80,碩博合開
資工所,1,4105460,1,網際網路資訊檢索Internet Information Retreival,吳昇,3  3/0/0,3,選修,二E 四E,工學院A館205,0,碩博合開
資工所,1,4105477,1,WWW 技術與應用Web Technologies and Applications (全英語授課/English-taught),薛幼苓,3  3/0/0,3,選修,"二E,F",創新大樓313,25,碩博合開
資工所,1,4105501,1,進階網路技術Advanced Networking Technologies,郭建志,3  3/0/0,3,選修,"三E,F",工學院A館204,0,碩博合開
資工所,1,4105506,1,進階資料庫系統Advanced Database Systems,薛幼苓,3  3/0/0,3,選修,"三B,C",創新大樓313,24,碩博合開
資工所,1,4105508,1,雲端計算Cloud Computing(遠距教學/Distant learning),江為國,3  3/0/0,3,選修,"四E,F",工學院A館204,0,碩博合開
資工所,1,4105559,1,超大型積體電路系統設計概論Introduction to VLSI System Design (全英語授課/English-taught),鍾菁哲,3  3/0/0,3,選修,"五3,4,5",創新大樓341,40,碩博合開
資工所,1,4105566,1,數位積體電路設計Design of Digital Integrated Circuits and Systems,鍾菁哲,3  3/0/0,3,選修,"三3,4,5",創新大樓341A,40,碩博合開
資工所,1,4105571,1,低功耗應用處理器設計Low-Power Application Processor Design,林泰吉,3  3/0/0,3,選修,"二I,J",工學院A館206,10,碩博合開
資工所,1,4105597,1,醫療電子臨床導入Clinical Applications of Medical Electronic Devices,劉偉名,3  3/0/0,3,選修,"三E,F",工學院A館104,0,碩博合開
資工所,1,4105601,1,醫學影像專題Individual Studies in Medical Image Analysis,林維暘,3  3/0/0,3,選修,"二E,F",工學院A館103,0,碩博合開
資工所,1,4105700,1,計算機結構Computer Architecture (程式設計相關/Programming related),張榮貴,3  3/0/0,3,必修,"一B,C",工學院A館001,0,碩博合開
資工所,1,4105729,1,高等作業系統Advanced Operating Systems,何建忠,3  3/0/0,3,選修,"三E,F",工學院A館103,0,碩博合開
資工所,1,4105752,1,即時作業系統理論與實務Real-Time Operating Systems: Theory and Practice,羅習五,3  3/0/0,3,選修,一G 三G,創新大樓313,0,碩博合開
資工所,1,4105755,1,分散式系統Distributed Systems,柯仁松,3  3/0/0,3,選修,"二B,C",工學院A館103,0,碩博合開
資工所,1,4105797,1,嵌入式計算系統Embedded Computing System,張榮貴,3  3/0/0,3,選修,"三E,F",創新大樓322,0,碩博合開
資工所,1,4105912,1,幾何演算法Geometric Computing and Visualization,高孟駿,3  3/0/0,3,選修,"二E,F",工學院A館204,0,碩博合開
資工所,1,4105926,1,高通量定序資料之生物資訊分析技術Bioinformatics Analysis of High-Throughput Sequencing Data(遠距教學/Distant learning),黃耀廷,3  3/0/0,3,選修,"三E,F",工學院A館205,0,碩博合開
資工所,1,4105931,1,機器學習Machine Learning,江振國,3  3/0/0,3,選修,"三E,F",創新大樓326,0,碩博合開
資工所,1,4105942,1,基於學習演算法之自動車專題Automatic Car Based on Learning Algorithm,江振國,3  3/0/0,3,選修,二G 四G,創新大樓322,0,碩博合開
資工所,1,4106002,1,計算機專題（二）Special Topics on Computer Science (II),劉偉名,2  0/0/2,1,必修,"一8,9",創新大樓110大型會議室(銘珠講堂),0,碩博合開
資工所,1,4106004,1,計算機專題（四）Special Topics on Computer Science (IV),劉偉名,2  0/0/2,1,必修,"一8,9",創新大樓110大型會議室(銘珠講堂),0,碩博合開
