Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
電傳所,1,3355018,1,跨媒介傳播：理論與實務Transmedia (Cross-media) Communication:Theories & Practices,李政忠,3  3/0/0,3,選修,"四4,5,6",社科院225,0,碩士班課程
電傳所,1,3355019,1,行銷傳播策略Strategic Marketing Communications,戴皖文,3  3/0/0,3,選修,"二7,8,9",社科院227,0,碩士班課程
電傳所,1,3355020,1,消費者行為調查Research in Consumer Behavior,林怡玫,3  3/0/0,3,選修,"四7,8,9",社科院225,0,碩士班課程
電傳所,1,3355021,1,策略規劃與執行Strategic Planning and Implementation,李政忠 戴皖文 胡元輝,3  3/0/0,3,選修,"一10,11,12",社科院225,0,碩士班課程
電傳所,1,3355022,1,調查報導Investigative Reporting,胡元輝,3  3/0/0,3,選修,"二10,11,12",社科院225,0,碩士班課程
電傳所,1,3355023,1,紀錄片與專題製作Documentary Production and In-depth Reporting,蔡崇隆,3  3/0/0,3,選修,"一7,8,9",社科院227,0,碩士班課程
電傳所,1,3355137,1,傳播政治經濟學Political Economy of Communication,管中祥,3  3/0/0,3,選修,"三10,11,12",社科院225,0,碩士班課程
電傳所,1,3355140,1,中國傳媒研究Proseminar on Chinese Media,羅世宏,3  3/0/0,3,選修,"二4,5,6",社科院225,0,碩士班課程
電傳所,1,3355142,1,公共媒體與公民媒體Public Media & Citizen Media,胡元輝,3  3/0/0,3,選修,"三4,5,6",社科院225,0,碩士班課程
電傳所,1,3356023,1,傳播研究專題討論（二）Research Seminar on Communication Studies(II),簡妙如,2  0/0/2,1,必修,"三8,9",社科院227,0,碩士班課程
電傳所,1,3356030,1,社群媒體行銷Social Media Marketing,陳怡璇,3  3/0/0,3,選修,"一7,8,9",社科院225,0,碩士班課程
電傳所,1,3359005,1,文化研究與批判理論Cultural Studies and Critical Theory,簡妙如,3  3/0/0,3,選修,"二7,8,9",社科院225,0,碩士班課程
