Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
體育中心,1,9021002,1,體育（二）Physical Education (II),林玉瓊,2  2/0/0,0,必修,"一4,5",體育館1,55
體育中心,1,9021002,2,體育（二）Physical Education (II),葉長樟,2  2/0/0,0,必修,"一4,5",體育館2,55
體育中心,1,9021002,3,體育（二）Physical Education (II),沈緯鈞,2  2/0/0,0,必修,"一4,5",體育館3,55
體育中心,1,9021002,4,體育（二）Physical Education (II),吳君毅,2  2/0/0,0,必修,"一4,5",體育館4,55
體育中心,1,9021002,5,體育（二）Physical Education (II),吳燕妮,2  2/0/0,0,必修,"三4,5",體育館4,55
體育中心,1,9021002,6,體育（二）Physical Education (II),陳依靈,2  2/0/0,0,必修,"一4,5",體育館5,55
體育中心,1,9021002,7,體育（二）Physical Education (II),林玉瓊,2  2/0/0,0,必修,"一8,9",體育館1,55
體育中心,1,9021002,8,體育（二）Physical Education (II),陳進祥,2  2/0/0,0,必修,"一8,9",體育館2,55
體育中心,1,9021002,9,體育（二）Physical Education (II),楊亮梅,2  2/0/0,0,必修,"一8,9",體育館3,55
體育中心,1,9021002,10,體育（二）Physical Education (II),葉長樟,2  2/0/0,0,必修,"一10,11",體育館1,55
體育中心,1,9021002,11,體育（二）Physical Education (II),洪庭煒,2  2/0/0,0,必修,"一10,11",體育館2,55
體育中心,1,9021002,12,體育（二）Physical Education (II),陳進祥,2  2/0/0,0,必修,"一10,11",體育館3,55
體育中心,1,9021002,13,體育（二）Physical Education (II),楊亮梅,2  2/0/0,0,必修,"一10,11",體育館4,55
體育中心,1,9021002,14,體育（二）Physical Education (II),王瑞任,2  2/0/0,0,必修,"三2,3",體育館1,55
體育中心,1,9021002,15,體育（二）Physical Education (II),吳君毅,2  2/0/0,0,必修,"三2,3",體育館2,55
體育中心,1,9021002,16,體育（二）Physical Education (II),陳進祥,2  2/0/0,0,必修,"三2,3",體育館3,55
體育中心,1,9021002,17,體育（二）Physical Education (II),陳進祥,2  2/0/0,0,必修,"三4,5",體育館1,55
體育中心,1,9021002,18,體育（二）Physical Education (II),吳君毅,2  2/0/0,0,必修,"三4,5",體育館2,55
體育中心,1,9021002,19,體育（二）Physical Education (II),王瑞任,2  2/0/0,0,必修,"三4,5",體育館3,55
體育中心,1,9021002,20,體育（二）Physical Education (II),吳君毅,2  2/0/0,0,必修,"三8,9",體育館1,55
體育中心,1,9021002,21,體育（二）Physical Education (II),林玉瓊,2  2/0/0,0,必修,"三8,9",體育館2,55
體育中心,1,9021002,22,體育（二）Physical Education (II),陳嘉元,2  2/0/0,0,必修,"三8,9",體育館3,55
體育中心,1,9021002,23,體育（二）Physical Education (II),劉淑燕,2  2/0/0,0,必修,"三8,9",體育館4,55
體育中心,1,9021002,24,體育（二）Physical Education (II),王瑞任,2  2/0/0,0,必修,"三8,9",體育館5,55
體育中心,1,9021002,25,體育（二）Physical Education (II),劉淑燕,2  2/0/0,0,必修,"三10,11",體育館1,55
體育中心,1,9021002,26,體育（二）Physical Education (II),呂祐玫,2  2/0/0,0,必修,"三10,11",體育館2,55
體育中心,1,9021002,27,體育（二）Physical Education (II),陳嘉元,2  2/0/0,0,必修,"三10,11",體育館3,55
體育中心,1,9021002,28,體育（二）Physical Education (II),林玉瓊,2  2/0/0,0,必修,"三10,11",體育館4,55
體育中心,1,9021002,29,體育（二）Physical Education (II),吳君毅,2  2/0/0,0,必修,"三10,11",體育館5,55
體育中心,1,9021002,30,體育（二）Physical Education (II),葉長樟,2  2/0/0,0,必修,"五8,9",體育館1,55
體育中心,1,9021002,31,體育（二）Physical Education (II),沈緯鈞,2  2/0/0,0,必修,"五8,9",體育館2,55
體育中心,1,9021002,32,體育（二）Physical Education (II),王文郁,2  2/0/0,0,必修,"五8,9",體育館3,55
體育中心,1,9021002,33,體育（二）Physical Education (II),陳奇鈺,2  2/0/0,0,必修,"五8,9",體育館4,55
體育中心,1,9021002,34,體育（二）Physical Education (II),林育群,2  2/0/0,0,必修,"五8,9",體育館5,55
體育中心,1,9021002,35,體育（二）Physical Education (II),邱耀志,2  2/0/0,0,必修,"五8,9",體育館6,55
體育中心,1,9021092,1,體育（特別班二）Physical Education (II),林晉榮,2  2/0/0,0,必修,"二13,14",體育館9,20
體育中心,2,9022202,1,體育：羽球（二）Physical Education: Badminton（Ⅱ）,謝豐澤,2  2/0/0,0,必修,"二4,5",羽球館1,50
體育中心,2,9022202,2,體育：羽球（二）Physical Education: Badminton（Ⅱ）,陳永洲,2  2/0/0,0,必修,"二8,9",羽球館1,50
體育中心,2,9022202,3,體育：羽球（二）Physical Education: Badminton（Ⅱ）,王文郁,2  2/0/0,0,必修,"四8,9",羽球館1,50
體育中心,2,9022202,4,體育：羽球（二）Physical Education: Badminton（Ⅱ）,沈緯鈞,2  2/0/0,0,必修,"五4,5",羽球館1,50
體育中心,2,9022202,5,體育：羽球（二）Physical Education: Badminton（Ⅱ）,沈緯鈞,2  2/0/0,0,必修,"五10,11",羽球館1,50
體育中心,2,9022202,6,體育：羽球（二）Physical Education: Badminton（Ⅱ）,陳永洲,2  2/0/0,0,必修,"二10,11",羽球館1,50
體育中心,2,9022204,1,體育：網球（二）Physical Education: Tennis（Ⅱ）,林晉榮,2  2/0/0,0,必修,"二10,11",網球場1,45
體育中心,2,9022204,2,體育：網球（二）Physical Education: Tennis（Ⅱ）,李元宏,2  2/0/0,0,必修,"四8,9",網球場1,45
體育中心,2,9022206,1,體育：籃球（二）Physical Education: Basketball（Ⅱ）,余文章,2  2/0/0,0,必修,"二4,5",室內籃球場,50
體育中心,2,9022206,2,體育：籃球（二）Physical Education: Basketball（Ⅱ）,余文章,2  2/0/0,0,必修,"二2,3",室內籃球場,50
體育中心,2,9022206,3,體育：籃球（二）Physical Education: Basketball（Ⅱ）,余文章,2  2/0/0,0,必修,"四8,9",室內籃球場,50
體育中心,2,9022206,4,體育：籃球（二）Physical Education: Basketball（Ⅱ）,何承訓,2  2/0/0,0,必修,"五4,5",室內籃球場,50
體育中心,2,9022208,1,體育：排球（二）Physical Education: Volleyball（Ⅱ）,林育群,2  2/0/0,0,必修,"五4,5",室內排球場,50
體育中心,2,9022208,2,體育：排球（二）Physical Education: Volleyball（Ⅱ）,林育群,2  2/0/0,0,必修,"五10,11",室內排球場,50
體育中心,2,9022208,3,體育：排球（二）Physical Education: Volleyball（Ⅱ）,何承訓,2  2/0/0,0,必修,"四4,5",室內排球場,50
體育中心,2,9022208,4,體育：排球（二）Physical Education: Volleyball（Ⅱ）,林明輝,2  2/0/0,0,必修,"二2,3",室內排球場,50
體育中心,2,9022208,5,體育：排球（二）Physical Education: Volleyball（Ⅱ）,呂祐玫,2  2/0/0,0,必修,"二4,5",室內排球場,50
體育中心,2,9022210,1,體育：桌球（二）Physical Education: Table Tennis（Ⅱ）,陳俊民,2  2/0/0,0,必修,"二4,5",桌球教室,40
體育中心,2,9022210,2,體育：桌球（二）Physical Education: Table Tennis（Ⅱ）,王文郁,2  2/0/0,0,必修,"四4,5",桌球教室,40
體育中心,2,9022210,3,體育：桌球（二）Physical Education: Table Tennis（Ⅱ）,王文郁,2  2/0/0,0,必修,"五4,5",桌球教室,40
體育中心,2,9022212,1,體育：撞球（二）Physical Education: Snooker（Ⅱ）,廖俊儒,2  2/0/0,0,必修,"四4,5",中正撞球部,50
體育中心,2,9022216,1,體育：壘球（二）Physical Education: Softball（Ⅱ）,邱耀志,2  2/0/0,0,必修,"五10,11",壘球場1,50
體育中心,2,9022218,1,體育：足球（二）Physical Education: Soccer（Ⅱ）,王文郁,2  2/0/0,0,必修,"五10,11",足球場,50
體育中心,2,9022222,1,體育：高爾夫（二）Physical Education:Golf（Ⅱ）,王順正,2  2/0/0,0,必修,"二8,9",高爾夫球場1,50
體育中心,2,9022222,2,體育：高爾夫（二）Physical Education:Golf（Ⅱ）,王順正,2  2/0/0,0,必修,"五4,5",高爾夫球場1,50
體育中心,2,9022222,3,體育：高爾夫（二）Physical Education:Golf（Ⅱ）,葉長樟,2  2/0/0,0,必修,"五10,11",高爾夫球場1,50
體育中心,2,9022226,1,體育：游泳（二）Physical Education：Swimming（Ⅱ）,陳奇鈺,2  2/0/0,0,必修,"五10,11",游泳池1,40
體育中心,2,9022228,2,體育：射箭（二）Physical Education: Archery（Ⅱ）,廖健男,2  2/0/0,0,必修,"五4,5",射箭場,40
體育中心,2,9022230,1,體育：休閒運動（二）Physical Education：Recreation（Ⅱ）,葉長樟,2  2/0/0,0,必修,"五4,5",體育館10,40
體育中心,2,9022230,2,體育：休閒運動（二）Physical Education：Recreation（Ⅱ）,黃鈴雯,2  2/0/0,0,必修,"四8,9",體育館10,40
體育中心,2,9022234,1,體育：瑜珈(二)Physical Education：Yoga（Ⅱ）,劉淑燕,2  2/0/0,0,必修,"二2,3",技擊室2,45
體育中心,2,9022234,2,體育：瑜珈(二)Physical Education：Yoga（Ⅱ）,劉淑燕,2  2/0/0,0,必修,"二4,5",技擊室2,45
體育中心,2,9022234,3,體育：瑜珈(二)Physical Education：Yoga（Ⅱ）,陳依靈,2  2/0/0,0,必修,"五10,11",技擊室2,45
體育中心,2,9022234,4,體育：瑜珈(二)Physical Education：Yoga（Ⅱ）,陳依靈,2  2/0/0,0,必修,"四4,5",技擊室2,45
體育中心,2,9022236,1,體育：活力有氧(二)Physical Education: Aerobic Dance（Ⅱ）,王秀華,2  2/0/0,0,必修,"二4,5",韻律教室1,50
體育中心,2,9022236,2,體育：活力有氧(二)Physical Education: Aerobic Dance（Ⅱ）,王秀華,2  2/0/0,0,必修,"四2,3",韻律教室1,50
體育中心,2,9022236,3,體育：活力有氧(二)Physical Education: Aerobic Dance（Ⅱ）,王秀華,2  2/0/0,0,必修,"五4,5",韻律教室1,50
體育中心,2,9022240,1,體育：身材雕塑(二)Physical Education: Body Sculpture（Ⅱ）,陳依靈,2  2/0/0,0,必修,"四8,9",韻律教室1,50
體育中心,2,9022242,1,體育：跆拳道（二）Physical Education: Tae Kwon Do,吳燕妮,2  2/0/0,0,必修,"二8,9",技擊室1,50
體育中心,2,9022244,1,體育：輕艇（二）Physcial Education: Canoe II,邱耀志,2  2/0/0,0,必修,"五4,5",游泳池1,30
體育中心,2,9022244,2,體育：輕艇（二）Physcial Education: Canoe (II),邱耀志,2  2/0/0,0,必修,"五2,3",游泳池1,30
體育中心,3,9023076,1,體育：壁球(二)Physical Education: Squash (II),廖俊儒,2  2/0/0,1,選修,"四2,3",壁球教室,24
體育中心,3,9023088,1,體育：進階高爾夫球(二)Physical Education:Golf-Advance (II),王順正,2  2/0/0,1,選修,"四10,11",高爾夫球場1,40
體育中心,3,9023099,1,體育：休閒運動(二)Physical Education: Recreation (II),黃鈴雯,2  2/0/0,1,選修,"四10,11",體育館10,40
體育中心,3,9023099,2,體育：休閒運動(二)Physical Education: Recreation (II),林晉榮,2  2/0/0,1,選修,"二8,9",體育館10,40
體育中心,3,9023099,3,體育：休閒運動(二)Physical Education: Recreation (II),林晉榮,2  2/0/0,1,選修,"四4,5",體育館10,40
體育中心,3,9023118,1,體育：肌力訓練Physcial Education: Strength and Conditioning,洪庭煒,2  2/0/0,1,選修,"二10,11",韻律教室1,40
體育中心,3,9023119,1,體育：進階網球 (二)Physical Education: Tennis-Advance (II),李元宏,2  2/0/0,1,選修,"四10,11",網球場1,40
