,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,1101085,1,寫作指導：小說Chinese Composition: Fiction,王瓊玲,2  2/0/0,2,選修,"二10,11",文學院101,30
1,1,1101212,1,詩選及習作（二）Selected Readings in Chinese Poems and Writing Practice (II),蔡榮婷,2  2/0/0,2,必修,"四10,11",文學院104,55
2,1,1101412,1,國學導讀（二）Introduction to Sinology (II),張書豪,2  2/0/0,2,必修,"二4,5",文學院104,55
3,1,1101520,1,現代散文Modern Prose,蕭義玲,3  3/0/0,3,選修,"二7,8,9",文學院102,40
4,1,1101538,1,中國寓言選讀Selected Readings of Chinese Fable,毛文芳,2  2/0/0,2,選修,"一10,11",文學院103,55
5,1,1101812,1,文學概論（二）Introduction to Literature (II),黃錦珠,2  2/0/0,2,必修,"一8,9",文學院104,55
6,1,1101933,1,書道與日常應用Calligraphy: Theory and Practice,劉庭彰,3  3/0/0,3,選修,"四4,5,6",文學院103,40
7,2,1102012,1,文字學（二）The Study of Chinese Characters (II),黃靜吟,2  2/0/0,2,必修,"二2,3",文學院104,55
8,2,1102044,1,篆刻藝術Seal Engraving Art,馬玉紅,2  2/0/0,2,選修,"二4,5",文學院103,40
9,2,1102146,1,荀子：性非本惡Xun Zi: Human Nature Is Not Radical Evil,賴柯助,2  2/0/0,2,選修,"四10,11",文學院102,40
10,2,1102412,1,詞彙學The Lexicology of Chinese,曾若涵,2  2/0/0,2,選修,"二10,11",文學院104,55
11,2,1102510,1,曲選及習作Selected Readings and Writing Practice in Chinese Ch'u,游富凱,3  3/0/0,3,必修,"一10,11,12",文學院104,55
12,2,1102633,1,現代詩Modern Poetry,張日郡,3  3/0/0,3,選修,"四7,8,9",文學院104,55
13,2,1102653,1,歐美漢學史History of Western Sinology,陳俊啟,3  3/0/0,3,選修,"三10,11,12",文學院102,40
14,2,1102712,1,歷代文選及習作（二）Selected Readings in Chinese Literature and Writing Practice (II),王瓊玲,3  3/0/0,3,必修,"三4,5,6",文學院104,55
15,3,1103022,1,中國文學史（二）A History of Chinese Literature (II),陳俊啟,3  3/0/0,3,必修,"二7,8,9",文學院104,55
16,3,1103112,1,中國思想史（二）A History of Chinese Thoughts (II),賴柯助,3  3/0/0,3,必修,"四4,5,6",文學院104,55
17,3,1103206,1,金瓶梅Jin Ping Mei,黃錦珠,3  3/0/0,3,選修,"二10,11,12",文學院102,40
18,3,1103249,1,當代文學思潮The Contemporary Literary Trend of Thoughts,蕭義玲,2  2/0/0,2,選修,"三4,5",文學院101,40
19,3,1103271,1,日本漢學史History of Chinese Studies in Japan,曾若涵,3  3/0/0,3,選修,"四7,8,9",文學院102,40
20,3,1103312,1,聲韻學（二）Phonology (II),曾若涵,2  2/0/0,2,必修,"五2,3",文學院104,55
21,3,1103628,1,華文戲劇選讀Selective Readings of Sinophone Theatre,鍾欣志,3  3/0/0,3,選修,"三10,11,12",文學院101,40
22,3,1103913,1,"書寫、影像與編輯Writing, Image and Layout",莊家瑋,3  3/0/0,3,選修,"三7,8,9",文學院101,30
23,3,1103914,1,專題製作與寫作Special Project and Thesis Writing,游富凱,3  3/0/0,3,選修,"四10,11,12",文學院101,30
24,3,1103959,1,劇本創作實務（二）Playwriting in Practice (II),周力德,3  3/0/0,3,選修,"五4,5,6",文學院102,20
25,4,1104154,1,中國話劇選讀Selective Reading of Chinese Huaju,游富凱,3  3/0/0,3,選修,"二4,5,6",文學院102,40
26,4,1104171,1,文藝理論與批評寫作Art Theory and Critique Writing,郭亮廷,3  3/0/0,3,選修,"三7,8,9",文學院102,30
27,4,1104224,1,楚辭Ch'u-tz'u,陳逸根,3  3/0/0,3,選修,"一7,8,9",文學院101,40
28,4,1104751,1,應用文書寫作Writes using the copy clerk,黃靜吟,3  3/0/0,3,選修,"一4,5,6",文學院102,40
