,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,5201002,1,管理學Management,蔡宗霖,3  3/0/0,3,必修,"二4,5,6",管理學院116,65
1,1,5201002,2,管理學Management,鄭祥麟,3  3/0/0,3,必修,"一4,5,6",管理學院349,40
2,1,5201007,1,線性代數Linear Algebra,陳世彬,3  3/0/0,3,必修,"三4,5 五4",管理學院115,75
3,1,5201007,2,線性代數Linear Algebra,陳世彬,3  3/0/0,3,必修,"三6 五5,6",管理學院115,75
4,1,5201011,1,初級會計學(二)AccountingⅡ,王明昌,4  3/1/0,3,選修,"二4,5,6 四6",管理學院114,125
5,1,5201017,1,企業概論Introduction to Business,洪清德,3  3/0/0,3,選修,"三7,8,9",管理學院214,125
6,1,5201018,1,管理學Management,許嘉文,3  3/0/0,3,選修,"三4,5,6",管理學院116,65
7,2,5202004,1,統計學（二）Statistics (II),陳明德,4  3/1/0,3,選修,"二7 四7,8,9",管理學院214,125
8,2,5202008,1,商事法Commercial Law,王永富,3  3/0/0,3,必修,"一7,8,9",管理學院214,125
9,2,5202012,1,運籌管理Logistics Management,葉丁鴻,3  3/0/0,3,必修,"一4,5,6",管理學院114,125
10,2,5202012,2,運籌管理Logistics Management,葉丁鴻,3  3/0/0,3,必修,"三4,5,6",管理學院114,125
11,3,5202013,1,管理資訊系統概論Introduction to Management Information Systems (程式設計相關/Programming related),黃正魁,3  3/0/0,3,必修,"二10,11,12",管理學院454,90
12,2,5202039,1,組織行為Organizational Behavior,艾昌瑞 楊文芬,3  3/0/0,3,必修,"四4,5,6",管理學院214,125
13,3,5203006,1,人文與企業倫理專題Seminar on Humanistic and Business Ethics,艾昌瑞 曾光華,3  3/0/0,3,必修,"三4,5,6",管理學院214,125
14,3,5203045,1,系統模擬Simulation,葉丁鴻,3  3/0/0,3,選修,"五4,5,6",管理學院114,125
15,3,5203056,1,管理時事英文選讀（二）Reading in Business News (II),洪清德,2  2/0/0,2,選修,"二10,11",管理學院214,125
16,3,5203066,1,人力資源發展Human Resource Development (全英語授課/English-taught),連雅慧,3  3/0/0,3,選修,"一4,5,6",管理學院116,65
17,3,5203082,1,期貨與選擇權實務Practice of Future and Options,鎮明常,3  3/0/0,3,選修,三B 五B,管理學院454,90
18,3,5203083,1,領導學Leadership,艾昌瑞,3  3/0/0,3,選修,"一7,8,9",管理學院454,90
19,3,5203084,1,企業倫理Business Ethics,盧龍泉,2  2/0/0,2,必修,"一4,5",管理學院115,75
20,3,5203088,1,商用英文溝通與會話Business English Communication,陳詠卉,3  3/0/0,3,選修,"四7,8,9",管理學院427,32
21,3,5203090,1,商用英文（二）Business English Training II,陳詠卉,2  2/0/0,2,選修,"三10,11",管理學院427,32
22,3,5203092,1,網路行銷-Google AnalyticsThe Internet Marketing – Google Analytics,蘇宏仁,3  3/0/0,3,選修,"四7,8,9",管理學院441研討室,62
23,3,5203093,1,企業管理實務Business management practices,連雅慧 簡麗環 吳容輝 陳志昕,3  3/0/0,3,選修,"三7,8,9",管理學院454,90
