,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,4456015,1,電腦輔助機械製造Computer-Aided Manufacturing (全英語授課/English-taught),林榮信,3  3/0/0,3,選修,一G 三G,工學院B館214右,0,碩士班課程
1,1,4456201,1,專題研討(二)Seminar II (全英語授課/English-taught),林派臣,2  0/0/2,1,必修,"五8,9",工學院B館115,0,碩博合開
2,1,4456203,1,工具機PC NC架構之CNC人機介面設計與應用CNC Machine Tool Human Machine Interface Design and Application for PC NC Structure (全英語授課/English-taught),高永洲,3  3/0/0,3,選修,"一10,11,12",創新大樓201,0,碩士班課程
3,1,4456206,1,光機系統設計Optomechatronic System Design (全英語授課/English-taught) (程式設計相關/Programming related),王祥辰,3  3/0/0,3,選修,"一8,9,10",創新大樓222,0,碩士班課程
4,1,4456207,1,現代控制系統Modern Control Systems (全英語授課/English-taught),余國瑞,3  3/0/0,3,選修,"二G,H",工學院A館125,0,碩博合開
5,1,4456222,1,工程分析(二)Engineering Analysis (II) (全英語授課/English-taught),郭春寶,3  3/0/0,3,選修,"三4,5,6",工學院B館213,0,博士班課程
6,1,4456223,1,高等電腦輔助幾何設計Advanced Computer-Aided Geometric Design (全英語授課/English-taught),姚宏宗,3  3/0/0,3,選修,二F 四F,工學院B館214右,0,博士班課程
7,1,4456227,1,圖形識別Pattern Recognition (全英語授課/English-taught),賴文能,3  3/0/0,3,選修,"四3,4,5",工學院A館225,0,碩博合開
8,1,4456232,1,軟性電子印刷製程Printing-Based Fabrication of Flexible Electronics (全英語授課/English-taught),鄭榮偉,3  3/0/0,3,選修,"四3,4,5",工學院B館215右,0,博士班課程
9,1,4456234,1,工程塑性力學Engineering Plasticity (全英語授課/English-taught),敖仲寧,3  3/0/0,3,選修,"二3,4,5",工學院B館214左,0,碩士班課程
10,1,4456235,1,軟體架構Software Architecture (全英語授課/English-taught) (程式設計相關/Programming related),劉立頌,3  3/0/0,3,選修,"三3,4,5",工學院A館126,0,碩博合開
11,1,4456236,1,中等熱傳學(一)Intermediate Heat Transfer (I) (全英語授課/English-taught),楊翰勳,3  3/0/0,3,選修,"二3,4,5",工學院B館213,0,碩士班課程
12,1,4456237,1,微奈米磨潤學Micro/Nano Tribology (全英語授課/English-taught),鄭友仁,3  3/0/0,3,選修,"一10,11,12",工學院B館115,0,博士班課程
