,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,3201888,1,學系服務學習Service Learning：Campus Service,吳啟新,1  1/0/0,0,必修,五2,社科院258,70
1,1,3201007,1,民法概論Introduction to Civil Law,李玉春,3  3/0/0,3,必修,"五4,5,6",社科院326,60
2,1,3201023,1,人力資源管理Human Resource Management,簡建忠,3  3/0/0,3,必修,"一7,8,9",社科院119,120
3,1,3201024,1,個體經濟學Microeconomics,吳啟新,3  3/0/0,3,選修,"四7,8,9",社科院258,70
4,1,3201025,1,勞動市場與就業專題討論Seminar on Labor Markets and Employments,林淑慧,3  3/0/0,3,選修,"三7,8,9",社科院258,70
5,1,3201027,1,勞工關係實用英語Practical English in Labor Relations (全英語授課/English-taught),劉黃麗娟,3  3/0/0,3,選修,"一4,5,6",社科院329,30
6,2,3202004,1,勞動基準法Basic Labor Standards Law,楊通軒,3  3/0/0,3,必修,"五4,5,6",社科院258,70
7,2,3202030,1,勞工保險理論與實務Workers' Insurance Theory and Practices,藍科正,3  3/0/0,3,選修,"一E,F",社科院326,60
8,2,3202034,1,組織理論Organization Theory,黃文柔,3  3/0/0,3,選修,"二4,5,6",社科院258,70
9,2,3202037,1,統計學Statistics,王安祥,3  3/0/0,3,必修,"二7,8,9",社科院109,70
10,2,3202041,1,企業倫理Business Ethics,陳勁初,3  3/0/0,3,選修,"五7,8,9",社科院326,60
11,2,3202045,1,人力資源招聘與甄選Human Resource Recruitment and Selection,簡建忠,3  3/0/0,3,選修,"二7,8,9",社科院509,41
12,2,3202046,1,工業與組織心理學Industrial and Organizational Psychology,黃文柔,3  3/0/0,3,選修,"三4,5,6",社科院258,70
13,3,3203029,1,薪資福利管理Managing Compensation and Benefits Systems,黃良志,3  3/0/0,3,選修,"三4,5,6",社科院326,60
14,3,3203031,1,勞資爭議處理Labor Dispute Resolution,李玉春,3  3/0/0,3,必修,"四4,5,6",社科院258,70
15,3,3203033,1,勞工政策Labor Policy,吳育仁,3  3/0/0,3,必修,"一4,5,6",社科院119,120
16,3,3203040,1,工會法Trade Union Law,楊通軒,3  3/0/0,3,選修,"三10,11,12",社科院258,70
17,3,3203043,1,國際勞工運動International Labour Movement,吳育仁,3  3/0/0,3,選修,"二4,5,6",社科院115,120
18,3,3203044,1,研究方法Research Methods,馬財專,3  3/0/0,3,必修,"二4,5,6",社科院326,60
19,3,3203052,1,中國大陸勞工關係Labor Relations in China,朱柔若,3  3/0/0,3,選修,"三7,8,9",社科院328,32
20,3,3203059,1,國際遷移與勞動人權International Migration and Workers' Rights,劉黃麗娟,3  3/0/0,3,選修,"二7,8,9",社科院328,32
