,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,4255022,1,專題討論（二）Graduate Seminar (II),郭勇志,2  0/0/2,1,必修,"三8,9",工學院B館119,0,碩士班課程
1,1,4255041,1,專題討論（四）Graduate Seminar (VI),陳蓉瑤,2  0/0/2,1,必修,"三8,9",工學院B館219,0,碩士班課程
2,1,4255050,1,碩士論文（一）Master Thesis (I),陳靜誼,2  2/0/0,2,必修,二1 四1,工學院B館318,0,碩士班課程
3,1,4255070,1,碩士論文（三）Master Thesis (III),陳靜誼,2  2/0/0,2,必修,"三13,14",工學院B館220,0,碩士班課程
4,1,4255210,1,高等輸送現象Advanced Transport Phenomena,郭勇志,3  3/0/0,3,選修,"三B,C",工學院B館201,0,碩博合開
5,1,4255250,1,粉粒體技術Powder Technology,林昭任,3  3/0/0,3,選修,"四E,F",工學院B館201,0,碩博合開
6,1,4255330,1,非線性動態學Nonlinear Dynamics,陳建忠,3  3/0/0,3,選修,"四F,G",工學院B館203,0,碩博合開
7,1,4255542,1,高分子動態學Polymer Dynamics,華繼中,3  3/0/0,3,選修,"五B,C",工學院B館203,0,碩博合開
8,1,4255572,1,精密材料合成Precision Polymers and Preparations,蔡敬誠,3  3/0/0,3,選修,"一G,H",工學院B館318,0,碩博合開
9,1,4255723,1,電腦在生化系統之應用Computer Application in Biochemical Systems (程式設計相關/Programming related),王逢盛,3  3/0/0,3,選修,"二E,F",工學院B館303,0,碩博合開
10,1,4255745,1,生物醫學特論Topics in Biomedical Science,黃光策,3  3/0/0,3,選修,"四B,C",工學院B館201,0,碩博合開
11,1,4255800,1,無機材料光譜分析Spectrometric Analysis of Inorganic Materials,張仁瑞,3  3/0/0,3,選修,"二E,F",工學院B館203,0,碩博合開
12,1,4255803,1,材料相平衡Phase Equilibria of Materials,王朝弘,3  3/0/0,3,選修,"二C,D",工學院B館203,0,碩博合開
13,1,4255804,1,材料鑑識特論Advanced Forensic Material Identification,李承龍,3  3/0/0,3,選修,"五I,J",工學院B館201,0,碩博合開
14,1,4255931,1,表面分析Surface Analysis,陳蓉瑤,3  3/0/0,3,選修,"一E,F",工學院B館318,0,碩博合開
15,1,4255932,1,分子螢光學之原理與應用Molecular Fluorescence-Principles and Applications,陳靜誼,3  3/0/0,3,選修,"一C,D",工學院B館201,0,碩博合開
16,1,4256022,1,博士專討（二）Graduate Seminar ( II ),陳靜誼,2  0/0/2,1,必修,"五13,14",工學院B館203,0,博士班課程
17,1,4256042,1,博士專討（四）Graduate Seminar ( IV ),蔡敬誠,2  0/0/2,1,必修,"四13,14",工學院B館203,0,博士班課程
18,1,4256061,1,博士論文（二）Doctoral Thesis (II),陳靜誼,2  0/0/2,1,必修,"二13,14",工學院B館203,0,博士班課程
19,1,4256062,1,博士專討（六）Graduate Seminar ( VI ),王朝弘,2  0/0/2,1,必修,"一13,14",工學院B館203,0,博士班課程
20,1,4256071,1,博士論文（四）Doctoral Thesis ( IV ),蔡敬誠,2  0/0/2,1,必修,"二13,14",工學院B館201,0,博士班課程
21,1,4256081,1,博士論文（六）Doctoral Thesis ( VI ),王朝弘,2  0/0/2,1,必修,"三13,14",工學院B館203,0,博士班課程
22,1,4256092,1,博士專討（八）Graduate Seminar ( VIII ),陳靜誼,2  0/0/2,1,必修,"四13,14",工學院B館201,0,博士班課程
