,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,4251020,1,化工質能均衡Energy and Mass Balances,李元堯,3  3/0/0,3,必修,一G 三G,工學院B館218,80
1,2,4252200,1,工程數學（二）Engineering Mathematics (II),陳建忠,3  3/0/0,3,必修,二B 四B,工學院B館218,80
2,2,4252400,1,單元操作與輸送現象（一）Unit Operations and Transport Phenomena (I),華繼中,3  3/0/0,3,必修,三E 五E,工學院B館218,80
3,2,4252920,1,應用統計學Applied Statistics,黃光策,3  3/0/0,3,選修,"一E,F",工學院B館201,50
4,3,4253001,1,化工專題研究（一）Special Topics (I),陳靜誼,2  0/0/2,1,選修,一1 三1,工學院B館203,25
5,3,4253100,1,程序控制Process Control,王逢盛,3  3/0/0,3,必修,三B 五B,工學院B館318,60
6,3,4253402,1,化學工程實驗（一）Chemical Engineering Laboratory (I),洪嘉璟,6  0/6/0,2,必修,"四E,F,G,H",工學院B館435,40
7,3,4253402,2,化學工程實驗（一）Chemical Engineering Laboratory (I),洪嘉璟,6  0/6/0,2,必修,"五E,F,G,H",工學院B館435,40
8,3,4253403,1,單元操作與輸送現象（三）Unit Operations and Transport Phenomenon (III),林昭任,3  3/0/0,3,必修,一C 三C,工學院B館318,60
9,3,4253501,1,儀器分析實驗Instrumental Analysis Laboratory,郭勇志,3  0/3/0,1,必修,"四E,F",工學院B館307,40
10,3,4253501,2,儀器分析實驗Instrumental Analysis Laboratory,蔡敬誠,3  0/3/0,1,必修,"五E,F",工學院B館307,40
11,3,4253700,1,生物技術概論Introduction to Biotechnology,廖宗文,3  3/0/0,3,選修,"二G,H",工學院B館318,60
12,3,4253720,1,生醫材料Biomedical Materials,郭勇志,3  3/0/0,3,選修,"二C,D",工學院B館318,60
13,2,4253910,1,高分子概論Introduction to Polymer Science,蔡敬誠,3  3/0/0,3,選修,"二G,H",工學院B館201,50
14,3,4253911,1,高分子加工概論Introduction to Polymer Processing,陳靜誼,3  3/0/0,3,選修,"二E,F",工學院B館318,60
15,3,4253940,1,觸媒化學概論Introduction to Catalyst Chemistry,張仁瑞,3  3/0/0,3,選修,"三E,F",工學院B館318,60
16,2,4253970,1,特用化學品Fine chemicals,洪嘉璟,3  3/0/0,3,選修,一D 三D,工學院B館203,25
17,3,4253990,1,光電材料optical and electronic materials,陳蓉瑤,3  3/0/0,3,選修,"三G,H",工學院B館318,60
18,4,4254200,1,化工學士畢業專題Undergraduate Seminar,郭勇志,2  0/0/2,1,必修,"五10,11",工學院B館201,50
19,3,4254410,1,化工反應工程Chemical Reaction Engineering,王朝弘,3  3/0/0,3,必修,二B 四B,工學院B館318,60
20,4,4254970,1,專題討論與文獻選讀Undergraduate Seminar and Selected Literature Reading,華繼中,2  0/0/2,1,選修,"一10,11",工學院B館201,50
