,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,2605211,1,高等有機化學（一）Advanced Organic Chemistry (I),許岱欣,3  3/0/0,3,選修,"五C,D",化生系502,0,碩博合開
1,1,2605269,1,藥物生化Medical Biochemistry,程中玉,3  3/0/0,3,選修,"一B,C",化生系319,0,碩博合開
2,1,2605307,1,高等無機化學Advanced Inorganic Chemistry,曾炳墝,3  3/0/0,3,選修,"四B,C",化生系502,0,碩博合開
3,1,2605317,1,固態化學Solid State Chemistry,廖儒修,3  3/0/0,3,選修,"二B,C",化生系116,0,碩博合開
4,1,2605441,1,光譜應用（一）Applied Spectroscopy (I),楊子萱,3  3/0/0,3,選修,"一B,C",化生系402,0,碩博合開
5,1,2605457,1,計算化學Computational Chemistry (全英語授課/English-taught) (程式設計相關/Programming related),胡維平,3  3/0/0,3,選修,"二B,C",化生系313,0,碩博合開
6,1,2605519,1,電分析與感測器Electrochemical Analysis and Sensors (全英語授課/English-taught),周禮君,3  3/0/0,3,選修,"五C,D",化生系317,0,碩博合開
7,1,2605921,1,有機化學書報討論（二）Organic Chemistry Seminar (II),洪伯誠,2  0/0/2,1,必修,"四8,9",化生系317,0,碩博合開
8,1,2605922,1,有機化學書報討論（四）Organic Chemistry Seminar (IV),洪伯誠,2  0/0/2,1,必修,"四8,9",化生系317,0,碩博合開
9,1,2605925,1,無機化學書報討論（二）Inorganic Chemistry Seminar (II),于淑君,2  0/0/2,1,必修,"一8,9",化生系317,0,碩博合開
10,1,2605926,1,無機化學書報討論（四）Inorganic Chemistry Seminar (IV),于淑君,2  0/0/2,1,必修,"一8,9",化生系317,0,碩博合開
11,1,2605929,1,物理化學書報討論（二）Physical Chemistry Seminar (II),李錫隆,2  0/0/2,1,必修,"一8,9",化生系116,0,碩博合開
12,1,2605930,1,物理化學書報討論（四）Physical Chemistry Seminar (IV),李錫隆,2  0/0/2,1,必修,"一8,9",化生系116,0,碩博合開
13,1,2605933,1,分析化學書報討論（二）Analytical Chemistry Seminar (II),周禮君,2  0/0/2,1,必修,"一8,9",化生系319,0,碩博合開
14,1,2605934,1,分析化學書報討論（四）Analytical Chemistry Seminar (IV),周禮君,2  0/0/2,1,必修,"一8,9",化生系319,0,碩博合開
