,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,2601102,1,普通化學（二）General Chemistry (II ),于淑君,3  3/0/0,3,必修,"二7 四7,8",化生系315,75
1,1,2601102,2,普通化學（二）General Chemistry (II ),游景晴,3  3/0/0,3,必修,一B 三B,化生系317,60
2,1,2601102,3,普通化學（二）General Chemistry (II ),王崇人,3  3/0/0,3,必修,一B 三B,生醫系335,82
3,1,2601102,4,普通化學（二）General Chemistry (II ),林群欽,3  3/0/0,3,必修,三B 五B,化生系319,60
4,1,2601108,1,普通化學實驗（二）General Chemistry Laboratory (II),于淑君,3  0/3/0,1,必修,"三E,F",化生系201,55
5,1,2601108,2,普通化學實驗（二）General Chemistry Laboratory (II),吉凱明,3  0/3/0,1,必修,"五2,3,4",化生系201,55
6,1,2601108,3,普通化學實驗（二）General Chemistry Laboratory (II),于淑君,3  0/3/0,1,必修,"五E,F",化生系201,55
7,1,2601108,4,普通化學實驗（二）General Chemistry Laboratory (II),吉凱明,3  0/3/0,1,必修,"四E,F",化生系201,55
8,1,2601601,1,生物學Biology,程中玉,3  3/0/0,3,選修,二G 四G,化生系317,60
9,2,2602202,1,有機化學（二）Organic Chemistry (II),許岱欣,4  4/0/0,4,必修,"二2,3 四2,3",化生系315,75
10,2,2602206,1,有機化學實驗（二）Organic Chemistry Laboratory (II),游景晴,3  0/3/0,1,必修,"一7,8,9",化生系209,55
11,2,2602212,1,有機化學（二）Organic Chemistry (II),洪伯誠,3  3/0/0,3,必修,一C 三C,理學院215演講廳,200
12,2,2602218,1,有機化學實驗（二）Organic Chemistry Laboratory (II),洪伯誠 游景晴,3  0/3/0,1,必修,"二C,D",化生系209,55
13,2,2602401,1,物理化學（一）Physical Chemistry (I),李錫隆,3  3/0/0,3,必修,"三2 五2,3",化生系315,75
14,2,2602421,1,物理化學（一）Physical Chemistry (I),楊子萱,3  3/0/0,3,必修,三F 五F,化生系319,60
15,2,2602431,1,物理化學實驗（一）Physical Chemistry Laboratory (I),林群欽,3  0/3/0,1,必修,"四C,D",化生系223,55
16,2,2602502,1,分析化學（二）Analytical Chemistry (II),魏國佐,3  3/0/0,3,必修,"一2,3 三3",化生系315,75
17,2,2602509,1,分析化學實驗（二）Analytical Chemistry Laboratory (II),魏國佐 陳皓君,3  0/3/0,1,必修,"三E,F",化生系223,28
18,2,2602509,2,分析化學實驗（二）Analytical Chemistry Laboratory (II),陳皓君 魏國佐,3  0/3/0,1,必修,"三G,H",化生系223,28
19,3,2603302,1,無機化學（二）Inorganic Chemistry (II),曾炳墝,3  3/0/0,3,必修,"一4,5 三4",化生系315,75
20,3,2603403,1,物理化學（三）Physical Chemistry (III),王崇人,3  3/0/0,3,必修,"二4,5 四4",化生系315,75
21,3,2603408,1,物理化學實驗（二）Physical Chemistry Laboratory (II),林群欽,4  0/4/0,2,必修,"五7,8,9,10",化生系223,55
22,3,2603512,1,化學儀器Chemistry Instrumentation,周禮君,3  3/0/0,3,選修,"三E,F",化生系317,60
23,3,2603602,1,生物化學（二）Biochemistry (II),陳皓君,3  3/0/0,3,選修,"三5 五4,5",化生系315,75
24,3,2603711,1,材料化學導論Introduction of Material Chemistry,吉凱明,3  3/0/0,3,選修,"一E,F",化生系102,70
25,3,2603902,1,專題研究(二)Special Topics in Research (II),廖儒修,4  0/4/0,2,選修,"四12,13,14,15",化生系317,60
26,4,2604702,1,專題研究（四）Special Topics in Research(IV),廖儒修,4  0/4/0,2,選修,"四12,13,14,15",化生系317,60
27,4,2604905,1,有機化學書報討論（二）Organic Chemistry Seminar (II),游景晴,2  0/0/2,1,必修,"四8,9",化生系319,10
28,4,2604906,1,無機化學書報討論（二）Inorganic Chemistry Seminar (II),曾炳墝,2  0/0/2,1,必修,"四8,9",化生系502,10
29,4,2604907,1,物理化學書報討論（二）Physical Chemistry Seminar (II),胡維平,2  0/0/2,1,必修,"四8,9",化生系402,10
30,4,2604908,1,分析化學書報討論（二）Analytical Chemistry Seminar (II),陳皓君,2  0/0/2,1,必修,"四8,9",化生系116,10
