,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,1405119,1,殖民地旅行文學專題研究Special Topics on The Colonial Traveling Literature,楊智景,3  3/0/0,3,選修,"五4,5,6",文學院004-1室,0,碩士班課程
1,1,1405169,1,"女性、文化與消費Female, Culture and Consumption",方慧臻,3  3/0/0,3,選修,"二3,4,5",文學院004-1室,0,碩士班課程
2,1,1405224,1,台語詩的創意與應用Creativity and Application for Taiwanese Poetry,李勤岸,3  3/0/0,3,選修,"四7,8,9",文學院004-1室,0,碩士班課程
3,1,1405226,1,"創意實務／In-design, PS, AI與地方文史資料編撰（二）Creation and Practice/ In-design, PS, AI, Edition of local history and documentaion II",李知灝,2  1/0/1,1,選修,"二8,9",文學院131,6,碩士班課程
4,1,1405228,1,"地方體驗、敘事應用與數位化—地方知識與紀錄片製作Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making",江寶釵 王萬睿,3  3/0/0,3,選修,"二10,11,12",文學院202,0,碩士班課程
5,1,1406117,1,論文寫作（二）Thesis writing (II),李知灝 王萬睿,2  0/0/2,0,必修,"三10,11",文學院004-2室,0,碩士班課程
6,1,1406122,1,語言研習（英文二）English Language Studies (II),王萬睿,2  0/0/2,1,必修,"三8,9",文學院004-2室,0,碩士班課程
7,1,1406126,1,語言研習（英文四）English Language Studies (IV),王萬睿,2  0/0/2,0,必修,"四10,11",文學院004-2室,0,碩士班課程
8,1,1406132,1,語言研習（日文二）Japanese Language Studies (II),楊智景,2  0/0/2,1,必修,"三8,9",文學院004-1室,0,碩士班課程
9,1,1406136,1,語言研習（日文四）Japanese Language Studies (IV),楊智景,2  0/0/2,0,必修,"四10,11",文學院004-1室,0,碩士班課程
10,1,1406152,1,"田野調查、文獻整理與資訊化（二） Field Work, Documentation Management and Computerize (II)",楊智景 方慧臻,3  0/0/3,1,必修,"三10,11,12",文學院004-1室,0,碩士班課程
11,1,1406170,1,"文字、影像與策展專題Topics on Words, Images and Curatorial",王萬睿,3  3/0/0,3,選修,"四4,5,6",文學院004-1室,0,碩士班課程
