,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,5355010,1,新興金融商品之創新與運用Innovation and Application of Emerging Financial Instrument (全英語授課/English-taught),林岳喬,3  3/0/0,3,必修,"四3,4,5",創新大樓271,0,碩士班課程
1,1,5355102,1,國際金融International Finance (全英語授課/English-taught),何月芳,3  3/0/0,3,必修,"三7,8,9",管理學院401之3,0,碩士班課程
2,1,5355106,1,個體計量經濟學Microeconometrics (全英語授課/English-taught),曾富民,3  3/0/0,3,選修,"四10,11,12",管理學院336,0,碩士班課程
3,1,5355213,1,選擇權市場Option Markets (全英語授課/English-taught),陳安行,3  3/0/0,3,選修,"一7,8,9",管理學院359,0,碩士班課程
4,1,5355216,1,資本市場與基金組合管理Capital Market and Fund Portfolio Management (全英語授課/English-taught),黃介良,3  3/0/0,3,選修,"三8,9,10",管理學院103,0,碩士班課程
5,1,5355301,1,投資分析Investment Analysis (全英語授課/English-taught),鎮明常,3  3/0/0,3,選修,"四10,11,12",管理學院441研討室,0,碩士班課程
6,1,5355502,1,網路消費者行為Online Consumer Behavior (全英語授課/English-taught),羅美玲,3  3/0/0,3,選修,"二7,8,9",管理學院616B,0,碩士班課程
7,1,5355505,1,資訊安全管理Information Security Management (全英語授課/English-taught),李珮如,3  3/0/0,3,選修,"二8,9,10",管理學院616A,0,碩士班課程
8,1,5355506,1,電子商務與應用Electronic Commerce and Applications (全英語授課/English-taught),林勝為,3  3/0/0,3,選修,"五3,4,5",管理學院616A,0,碩士班課程
9,1,5355511,1,醫療行銷管理Medical Marketing Research (全英語授課/English-taught),林育秀,3  3/0/0,3,選修,"一8,9,10",管理學院616B,0,碩士班課程
10,1,5355512,1,醫療資料探勘實作Data Mining Application in Healthcare (全英語授課/English-taught),林育秀,3  3/0/0,3,選修,"三3,4,5",管理學院349,0,碩士班課程
