,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,1151018,1,英文作文（二）English Composition (II),紀鳳鳴,3  3/0/0,3,必修,"二4,5 四4",文學院150,20
1,1,1151018,2,英文作文（二）English Composition (II),林欣瑩,3  3/0/0,3,必修,"二5 四4,5",文學院137,20
2,1,1151018,3,英文作文（二）English Composition (II),劉德烜,3  3/0/0,3,必修,二C 四C,文學院281,20
3,1,1151022,1,西洋文學概論（二）Introduction to Western Literature (II),陳國榮,3  3/0/0,3,必修,"一9 三8,9",文學院148,35
4,1,1151022,2,西洋文學概論（二）Introduction to Western Literature (II) (全英語授課/English-taught),賀小本,3  3/0/0,3,必修,"三7,8,9",文學院149,35
5,1,1151024,1,法文（二）French (II),紀惠瓊,3  3/0/0,3,必修,"三4,5,6",文學院136,60
6,1,1151026,1,德文（二）German (II),楊美娟,3  3/0/0,3,必修,"一6,7,12",文學院136,60
7,1,1151028,1,日文（二）Japanese (II),丁碧玉,3  3/0/0,3,必修,"一10,11,12",文學院148,35
8,1,1151030,1,西班牙文（二）Spanish (II),李優俐,3  3/0/0,3,必修,"五4,5,6",文學院148,35
9,1,1151032,1,英語聽講（二）English Speaking and Listening (II),陳月妙,3  3/0/0,3,必修,"二8 四8,9",文學院150,20
10,1,1151032,2,英語聽講（二）English Speaking and Listening (II) (全英語授課/English-taught),陳玟君,3  3/0/0,3,必修,二F 四F,文學院151,20
11,1,1151032,3,英語聽講（二）English Speaking and Listening (II) (全英語授課/English-taught),游文嘉,3  3/0/0,3,必修,二F 四F,文學院152,20
12,2,1152002,1,語言學概論（二）Introduction to Linguistics (II),劉德烜,3  3/0/0,3,必修,二F 四F,文學院136,60
13,2,1152064,1,英文作文（四）English Composition (IV),鄭英雪,3  3/0/0,3,必修,"一8 三8,9",文學院151,20
14,2,1152064,2,英文作文（四）English Composition (IV),龔紹明,3  3/0/0,3,必修,一F 三F,文學院281,20
15,2,1152064,3,英文作文（四）English Composition (IV) (全英語授課/English-taught),羅林,3  3/0/0,3,必修,"一8,9 三9",文學院137,20
16,2,1152078,1,英語聽講（四）English Speaking and Listening IV,張美芳,3  3/0/0,3,必修,"二5 四4,5",文學院152,20
17,2,1152078,2,英語聽講（四）English Speaking and Listening IV,林惠玲,3  3/0/0,3,必修,二C 四C,文學院113,20
18,2,1152078,3,英語聽講（四）English Speaking and Listening IV,楊意鈴,3  3/0/0,3,必修,"二4,5 四5",文學院151,20
19,2,1152102,1,德文(四)German IV,楊美娟,3  3/0/0,3,選修,"一9,10,11",文學院136,60
20,2,1152104,1,西班牙文(四)Spanish IV,李優俐,3  3/0/0,3,選修,"五7,8,9",文學院148,35
21,2,1152106,1,法文(四)French IV,紀惠瓊,3  3/0/0,3,選修,"一2,3 三3",文學院136,60
22,2,1152108,1,日文 (四)Japanese IV,丁碧玉,3  3/0/0,3,選修,"二10,11,12",文學院148,35
23,3,1153002,1,美國文學（二）American Lit. (II),王明月,3  3/0/0,3,必修,"四4,5,6",文學院143,35
24,3,1153012,1,英國文學：十八世紀English Literature: 18th,龔紹明,3  3/0/0,3,必修,一C 三C,文學院148,35
25,3,1153014,1,英國文學：維多利亞English Literature: Victorian,張美芳,3  3/0/0,3,必修,"三4,5,6",文學院149,35
26,3,1153016,1,英國文學：二十世紀English Literature: 20th (全英語授課/English-taught),蔡美玉,3  3/0/0,3,必修,"三4,5,6",文學院143,35
27,4,1154172,1,閱讀與討論Reading and Discussion,紀鳳鳴,3  3/0/0,3,選修,"一4,5,6",文學院281,20
28,4,1154187,1,高階閱讀Advanced Reading,楊意鈴,3  3/0/0,3,選修,"四7,8,9",文學院113,20
29,4,1154243,1,愛爾蘭戲劇Irish Drama,楊意鈴,3  3/0/0,3,選修,"三7,8,9",文學院150,20
30,4,1154259,1,進階英語聽講Advanced English Listening and Speaking,張美芳,3  3/0/0,3,選修,二B 四B,文學院150,20
31,4,1154260,1,英語的故事:英語演化成今日英語的故事The Story of English,陳月妙,3  3/0/0,3,選修,"三7,8,9",文學院113,20
32,4,1154265,1,懸疑小說：驚悚Mystery Fiction:Horror (全英語授課/English-taught),游文嘉,3  3/0/0,3,選修,"二10,11,12",文學院152,20
33,4,1154269,1,"文學與電影Literature as Film, Film as Literature (全英語授課/English-taught)",羅林,3  3/0/0,3,選修,"三4,5,6",文學院137,20
34,4,1154289,1,短篇小說選讀（二）：二十世紀至現代Selected Readings of Novels-II (20th century-the present),龔紹明,3  3/0/0,3,選修,一B 三B,文學院281,20
35,4,1154301,1,時事英語與國際觀News English and International Perspectives (全英語授課/English-taught),陳玟君,3  3/0/0,3,選修,"三10,11,12",文學院288,20
36,4,1154302,1,"科幻小說：反烏托邦、性別與電影 Science Fiction: Dystopia, Gender and Film (全英語授課/English-taught)",賀小本,3  3/0/0,3,選修,"四7,8,9",文學院149,35
37,4,1154303,1,旅行與文學（二）Travel and Literature II,林欣瑩,3  3/0/0,3,選修,"四7,8,9",文學院137,20
38,4,1154304,1,中世紀圖像與文學賞析Understanding Medieval Images and Literature,王明月,3  3/0/0,3,選修,"一7,8,9",文學院355,20
39,4,1154306,1,現代美國戲劇和小說Modern American Dramas and Fiction (全英語授課/English-taught),游文嘉,3  3/0/0,3,選修,"四4,5,6",文學院148,35
