,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3155135,1,視覺認知深論Seminar on Visual Cognition,襲充文,3  3/0/0,3,選修,"三10,11,12",社科院459,0,碩士班課程
1,1,3155161,1,失讀症Dyslexia,陳欣進,3  3/0/0,3,選修,"二E,F",社科院126,0,碩博合開
2,1,3155202,1,E-Prime 實驗設計與資料分析E-Prime：Experiment Design and Data Analysis,陳欣進,3  3/0/0,3,選修,"三E,F",社科院407,0,碩博合開
3,1,3155531,1,注意力不足過動症動物模式Animal Model of Attention Deficits Hyperactivity Disorder,李季湜,3  3/0/0,3,選修,"五4,5,6",社科院430,0,碩士班課程
4,1,3155706,1,高等組織行為學Advanced Orgnizational Behavior,姜定宇,3  3/0/0,3,選修,"三8,9,10",社科院463,0,碩博合開
5,1,3156105,1,獨立研究：遺忘與記憶Independent Research: Forgetting and Remembering,李玉琇,3  3/0/0,3,選修,"一10,11,12",社科院455,0,碩博合開
6,1,3156203,1,獨立研究：語言心理學Independent Research: Topics in Psycholinguistics,陳欣進,3  3/0/0,3,選修,"二13,14,15",社科院126,0,碩博合開
7,1,3156922,1,專題獨立研究：心理測量專題研究Independent Research：Topics in Psychological Measurement,蘇雅蕙,3  3/0/0,3,選修,"一7,8,9",社科院459,0,碩博合開
8,1,3157307,1,諮商與心理治療專業倫理Ethics in Counseling and Psychotherapy,黃世琤,3  3/0/0,3,選修,"二3,4,5",社科院472,0,碩博合開
9,1,3157311,1,學習與發展專題：數學學習與障礙Topics in Learning and Development: Math Learning and Disabilities,蔣文祁,3  3/0/0,3,選修,"四E,F",社科院459,0,碩博合開
10,1,3157312,1,嬰幼兒心理學Infant and Child Psychology,蔣文祁,3  3/0/0,3,選修,"二G,H",社科院463,0,碩博合開
11,1,3157504,1,演化心理學Evolutionary Psychology,王豐彬,3  3/0/0,3,選修,"三B,C",社科院430,0,碩博合開
12,1,3157703,1,工商心理學專題研究（二）Special Issue of Industrial & Organizational Psychology (II),姜定宇,3  3/0/0,3,選修,"二8,9,10",社科院455,0,碩博合開
13,1,3157713,1,性格理論Theories of Personality,許功餘,3  3/0/0,3,選修,"四3,4,5",社科院432,0,碩博合開
14,1,3157803,1,差異試題功能Differential Item Functioning,蘇雅蕙,3  3/0/0,3,選修,"二3,4,5",教授研究室,0,碩博合開
15,1,3158704,1,專題獨立研究: 工商心理學Independent Research: Industrial and Organizational Psychology,姜定宇,3  3/0/0,3,選修,"四8,9,10",教授研究室,0,博士班課程
16,1,3158706,1,專題獨立研究：性格判斷專題研究Indepentent Study: The Processes of Personality Judgment,許功餘,3  3/0/0,3,選修,"一3,4,5",社科院432,0,博士班課程
17,1,3159902,1,專題獨立研究：健康心理學Independent Research: Health Psychology,翁嘉英,3  3/0/0,3,選修,"三A,B",社科院463,0,博士班課程
