,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,3151002,1,普通心理學（二）　General Psychology (II),襲充文,3  3/0/0,3,必修,二C 四C,社科院119,120
1,1,3151004,1,心理及教育統計學（二）Statistics for Psychology and Education (II) (程式設計相關/Programming related),蘇雅蕙,3  3/0/0,3,必修,"二7,8,9",社科院127,120
2,1,3151004,2,心理及教育統計學（二）Statistics for Psychology and Education (II) (程式設計相關/Programming related),蔡玲玲,3  3/0/0,3,必修,"二7,8,9",社科院423,80
3,1,3151910,1,心理學閱讀技巧Reading Skill in Psychology,王豐彬,2  2/0/0,2,選修,"一7,8",社科院127,120
4,2,3152013,1,資料分析Data Analysis (程式設計相關/Programming related),陳淑英,3  3/0/0,3,選修,"三7,8,9",電算中心214教室,38
5,2,3152101,1,人類學習與認知Human Learning and Cognition,襲充文,3  3/0/0,3,必修,二D 四D,社科院423,80
6,2,3152103,1,人類學習與認知實驗Experiments in Human Learning and Cognition,襲充文,2  0/2/0,1,必修,"二10,11",社科院423,80
7,2,3152506,1,生理心理學（二）Physiological Psychology (II),李季湜,2  2/0/0,2,必修,"三4,5",社科院423,80
8,2,3152702,1,性格心理學Psychology of Personality,許功餘,3  3/0/0,3,必修,"二E,F",社科院115,120
9,3,3153302,1,青少年發展Development of Adolescents (全英語授課/English-taught),沈玉玲,3  3/0/0,3,選修,二F 四F,社科院430,40
10,3,3153312,1,兒童發展：推理與決策專題Child Development: Topics in Reasoning and Decision-Making,蔣文祁,2  2/0/0,2,選修,"一10,11",社科院459,10
11,3,3153313,1,利社會行為發展Prosocial Development,沈玉玲,3  3/0/0,3,選修,"三E,F",社科院430,40
12,3,3153753,1,消費者心理學Consumer Psychology,姜定宇,3  3/0/0,3,選修,"二4,5,6",社科院127,120
13,3,3153921,1,心理學專題研究(二)Topical Research in Psychology(II),李季湜 許功餘 陳欣進,3  3/0/0,3,選修,"三13,14,15",社科院430,40
14,3,3153966,1,諮商技術Techniques of Counseling,張玉鈴,3  3/0/0,3,選修,"四3,4,5",社科院455,20
15,3,3153969,1,心理衡鑑Psychological Assessment,張閔翔,3  3/0/0,3,選修,"三3,4,5",社科院126,35
16,4,3154502,1,睡眠管理Sleep management,蔡玲玲,2  2/0/0,2,選修,"四4,5",社科院430,40
17,4,3154524,1,行動通訊裝置APP寫作入門：在社會科學之應用 Introduction to APP Programming: Applications in Social Sciences,李季湜,3  3/0/0,3,選修,"一7,8,9",社科院407,25
