,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3405007,1,教育研究法Research Methods of Education,蔡秀美,3  3/0/0,3,必修,"三4,5,6",教育二館531,0,碩士班課程
1,1,3405013,1,成人與高齡心理學研究The Study of Psychology of Adult and Elder,林麗惠,3  3/0/0,3,選修,"一8,9,10",教育二館531,0,碩士班課程
2,1,3405014,1,社區教育與社區營造研究Study on Community Education and Community Empowerment,蔡秀美,3  3/0/0,3,選修,"三9,10,11",教育二館531,0,碩士班課程
3,1,3406204,1,組織學習研究Seminar on Organization Learning,吳明烈,3  3/0/0,3,選修,"五3,4,5",教育二館531,0,碩士班課程
4,1,3407006,1,成人教育學量化方法論Quantitative Methodology for Andragogy,陳玉樹,2  2/0/0,2,必修,"二3,4",教育二館557,0,博士班課程
5,1,3407023,1,成人與高齡教學研究Study of adult and active aging teaching,胡夢鯨,2  2/0/0,2,選修,"三7,8",教育二館532,0,碩博合開
6,1,3407025,1,成人與高齡教育專案管理與行銷Seminar on Project Management and Marketing of Adult & Older Adult Education,魏惠娟 李藹慈,2  2/0/0,2,選修,"二9,10",教育二館531,0,碩博合開
7,1,3407027,1,成人與高齡教育方案規劃Seminar on Adult and Old Adult Education Program Planning,魏惠娟 李藹慈,2  2/0/0,2,選修,"二7,8",教育二館531,0,碩士班課程
8,1,3407028,1,成人與高齡教育方案評鑑Seminar on Program Evaluation of Adult & Elder Education,魏惠娟 李藹慈,2  2/0/0,2,選修,"二11,12",教育二館531,0,碩博合開
9,1,3407030,1,成人與高齡教育哲學專題研究Seminar on Philosophy of Adult and Elderly Education,胡夢鯨,2  2/0/0,2,選修,"二5,6",教育二館558,0,博士班課程
10,1,3407031,1,成人與高齡教育方案規劃專題研究Seminar on Adult and Old Adult Education Program Planning,魏惠娟,2  2/0/0,2,選修,"一8,9",教育二館557,0,博士班課程
