,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3505046,1,獨立研究：學校組織行為(一)Independent Studies: Organization Behavior in School(I),陳幸仁,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
1,1,3505092,1,美國課程史研究Research on American Curriculum History,顧曉雲,2  2/0/0,2,選修,"二8,9",教育二館436,0,碩士班課程
2,1,3505100,1,獨立研究：教育管理（一）Independent Studies: Educational Management (I),詹盛如,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
3,1,3505101,1,獨立研究：學校行政（一）Independent Studies: School Administration (I),林明地,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
4,1,3505105,1,教育社會學研究Sociology of Education,王雅玄,2  2/0/0,2,選修,"四4,5",教育館405,0,碩士班課程
5,1,3505123,1,教育心理學研究Psychology of Education,連啟舜,2  2/0/0,2,選修,"四8,9",教育館507,0,碩士班課程
6,1,3505149,1,學校與社區關係研究School and Community Relations,林明地,2  2/0/0,2,選修,"三4,5",教育館405,0,碩士班課程
7,1,3505154,1,批判教學論研究Research on Critical Pedagogy,李奉儒,2  2/0/0,2,選修,"三8,9",教育館404,0,碩士班課程
8,1,3505157,1,教育與文化脈絡研究Seminar on Education and Cultural Contexts,鄭勝耀,2  2/0/0,2,選修,"四2,3",教育館405,0,碩士班課程
9,1,3505158,1,獨立研究：教育哲史（一）Independent Studies: Philosophy and History of Education (I),李奉儒,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
10,1,3505166,1,教育研究法：質的取向Qualitative Research Methods of Education,林麗菊,2  2/0/0,2,選修,"三10,11",教育館405,0,碩士班課程
11,1,3505180,1,獨立研究：教育社會學(一)Independent Studies: Sociology of Education (I),王雅玄,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
12,1,3505199,1,獨立研究：改革教育學（一）Independent Studies: Reformative Pedagogy (I),朱啟華,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
13,1,3505251,1,獨立研究：弱勢學生與教育（一）Independent Studies: Disadvantaged Students and Education(I),鄭勝耀,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
14,1,3505257,1,獨立研究：教育史(一)Independent Studies:History of Education(I),顧曉雲,1  1/0/0,1,選修,三7,教授研究室,0,碩士班課程
15,1,3505272,1,系統理論與教育研究Research on Systemtheory and Education,朱啟華,2  2/0/0,2,選修,"二2,3",教育館404,0,碩士班課程
16,1,3505290,1,大數據與教育研究Research on Big Data and Education,詹盛如 楊家瑜,2  2/0/0,2,選修,"三10,11",教育館404,0,碩士班課程
17,1,3507002,1,教育學方法論專題研究Seminar on Methodology in Education,李奉儒,2  2/0/0,2,選修,"二2,3",教育館405,0,博士班課程
18,1,3507022,1,獨立研究：學校組織行為（二）Independent Studies:Organizational Behaviour in School(Ⅱ),陳幸仁,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
19,1,3507058,1,獨立研究：教育哲學（二）Independent Studies: Educational Philosophy (II),李奉儒,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
20,1,3507059,1,獨立研究：教育社會學（一）Independent Studies: Sociology of Education (I),王雅玄,1  1/0/0,1,選修,二8,教授研究室,0,博士班課程
21,1,3507060,1,獨立研究：教育社會學（二）Independent Studies: Sociology of Education (II),王雅玄,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
22,1,3507063,1,獨立研究：學校行政(一)Independent Studies: School Administration (I),林明地,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
23,1,3507072,1,學校與社區關係專題研究Seminar on School and Community Relations,林明地,2  2/0/0,2,選修,"二8,9",教育館404,0,博士班課程
24,1,3507121,1,比較教育方法論專題研究Seminar on Methodology of Comparative and International Education,楊深坑,2  2/0/0,2,選修,"二8,9",教育館405,0,博士班課程
25,1,3507122,1,教育行政專題研究Seminar on Educational Administration,陳幸仁,2  2/0/0,2,選修,"二4,5",教育館405,0,博士班課程
26,1,3507131,1,教育學德文（一）Pedagogy in German(Ⅰ),朱啟華,2  2/0/0,2,選修,"四4,5",教育館404,0,碩博合開
27,1,3507144,1,系統理論與教育專題研究Seminar on Systemtheory and Education,朱啟華,2  2/0/0,2,選修,"二4,5",教育館404,0,博士班課程
28,1,3507163,1,獨立研究：教育改革（一）Independent Studies:Educational Reform(I),鄭勝耀,1  1/0/0,1,選修,二7,教授研究室,0,博士班課程
29,1,3507165,1,獨立研究：國際教育(二) Independent studies: International Education(II),詹盛如,1  1/0/0,1,選修,五9,教授研究室,0,博士班課程
30,1,3507166,1,獨立研究：教育改革（二）Independent Studies:Educational Reform(II),鄭勝耀,1  1/0/0,1,選修,二6,教授研究室,0,博士班課程
