,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,2101002,1,微積分（二）Calculus (II),張守德,5  4/1/0,4,必修,"二4,5 三6 四4,5",數學館205,60
1,1,2101002,2,微積分（二）Calculus (II),徐淑裕,5  4/1/0,4,必修,"一6 二4,5 四4,5",共同教室大樓202,60
2,1,2101002,3,微積分（二）Calculus (II),江謝宏任,5  4/1/0,4,必修,"一6 二4,5 四4,5",共同教室大樓201,60
3,1,2101002,4,微積分（二）Calculus (II),賴振耀,5  4/1/0,4,必修,"一4,5,6 三4,5",共同教室大樓212,90
4,1,2101002,5,微積分（二）Calculus (II),尤玲凰,5  4/1/0,4,必修,"一4,5 三4,5 四6",共同教室大樓211,120
5,1,2101004,1,微積分（二）Calculus (II),潘志祥,4  3/1/0,3,必修,二C 三6 四C,共同教室大樓212,90
6,1,2101004,2,微積分（二）Calculus (II),王琪仁,4  3/1/0,3,必修,二C 三6 四C,共同教室大樓422,90
7,1,2101005,1,基礎數學（一）Elementary Math (I),黃博峙,3  3/0/0,3,選修,二B 四B,數學館203,70
8,1,2101010,1,微積分Calculus,黃子偉,5  4/1/0,4,必修,"一4,5 三4,5 四6",共同教室大樓213,62
9,1,2101012,1,線性代數（二）Linear Algebra (II),江謝宏任,4  3/1/0,3,必修,一E 二6 三E,數學館203,70
10,1,2101013,1,線性代數Linear Algebra,紀美秀,4  3/1/0,3,必修,"二B,6 四B",共同教室大樓201,60
11,1,2101018,1,微積分Calculus,卓建宏,4  3/1/0,3,必修,二C 三6 四C,共同教室大樓215,90
12,1,2101020,1,微積分(二)Calculus (II),廖文欽,4  3/1/0,3,必修,一C 三C 四6,共同教室大樓215,90
13,1,2101020,2,微積分(二)Calculus (II),樊貴文,4  3/1/0,3,必修,一C 三C 四6,共同教室大樓401,70
14,1,2101020,3,微積分(二)Calculus (II),褚孫錦,4  3/1/0,3,必修,一C 三C 四6,共同教室大樓205,62
15,1,2101020,4,微積分(二)Calculus (II),陳孟豁,4  3/1/0,3,必修,一C 三C 四6,共同教室大樓422,90
16,2,2102002,1,高等微積分（二）Advanced Calculus (II),黃博峙,5  4/1/0,4,必修,"二4,5 三6 四4,5",數學館203,70
17,2,2102201,1,微分方程（一）Introduction to Ordinary Differential Equation (I),潘志祥,3  3/0/0,3,必修,一C 三C,數學館203,70
18,2,2102402,1,代數（二）Algebra (II),張守德,3  3/0/0,3,必修,二F 四F,數學館203,70
19,2,2102404,1,代數研習（二）Algebra Study (II),張守德,1  1/0/0,1,選修,一9,數學館203,70
20,2,2102501,1,MATLAB數學軟體實作Practice of Mathematical Software: MATLAB,賴振耀,2  2/0/0,2,選修,"一2,3",數學館312,36
21,3,2103101,1,複變函數論（一）Complex Analysis (I),褚孫錦,3  3/0/0,3,必修,二E 四E,數學館204,40
22,3,2103525,1,初等數論（二）Elementary Number Theory (II),廖文欽,3  3/0/0,3,選修,一G 三G,數學館205,60
23,3,2103701,1,統計科學Statistical Science,謝進見,3  3/0/0,3,選修,一C 三C,數學館204,40
24,3,2103711,1,統計方法Statistical Methods,王義富,3  3/0/0,3,選修,二C 四C,數學館527,50
25,4,2104401,1,近代數學專題（一）Topic in Modern Mathematics I,紀美秀,3  3/0/0,3,選修,三B 五B,數學館527,50
