,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,5261102,1,初級會計學(二)Accounting (Ⅱ),邱献良,4  3/1/0,3,必修,"一9 三7,8,9",創新大樓164,60
1,1,5261105,1,初級會計學（二）Accounting (II),謝佩君,4  3/1/0,3,必修,"二10,11 四10,11",管理學院107,125
2,1,5261105,2,初級會計學（二）Accounting (II),曹嘉玲,4  3/1/0,3,必修,"一7,8,9 五7",管理學院106,80
3,1,5261105,3,初級會計學（二）Accounting (II),謝佩君,4  3/1/0,3,選修,"二7,8 四7,8",管理學院114,125
4,1,5261105,4,初級會計學（二）Accounting (II),黃劭彥,4  3/1/0,3,必修,"二7,8,9 四7",創新大樓164,60
5,1,5261610,1,民法概要Civil Law,曾錦源,3  3/0/0,3,必修,"一12,13,14",創新大樓164,60
6,1,5261611,1,商用軟體應用與設計 Business Software Applications and Design,吳徐哲,3  3/0/0,3,選修,"三4,5,6",創新大樓261,50
7,1,5261612,1,程式設計Introduction to Programming in Python (程式設計相關/Programming related),邱献良,3  3/0/0,3,選修,"二7,8,9",創新大樓261,50
8,2,5262101,1,中級會計學（二）Intermediate Accounting (II),卓佳慶,6  4/2/0,4,必修,"二7,8,9 四7,8,9",創新大樓163,60
9,2,5262104,1,中級會計學（二）Intermediate Accounting (II),曹嘉玲,4  3/1/0,3,選修,"一4,5,6 五4",管理學院201,60
10,2,5262106,1,成本及管理會計學（一）Cost and Management Accounting (I),吳貞慧,4  3/1/0,3,必修,"一5 五4,5,6",創新大樓162,60
11,2,5262212,1,商業智慧與大數據分析Big Data Analysis and Business Intelligent (程式設計相關/Programming related),黃柏森,3  3/0/0,3,選修,"四10,11,12",電算中心217教室,47
12,2,5262300,1,系統分析與設計System Analysis and Design,張麗敏,3  3/0/0,3,必修,"一7,8,9",創新大樓261,50
13,3,5263106,1,成本及管理會計學（二）Cost and Management Accounting (II),吳貞慧,4  3/1/0,3,選修,"一10 三10,11,12",管理學院201,60
14,3,5263108,1,高級會計學（二）Advanced Accounting（II）,鍾宇軒,4  3/1/0,3,必修,"一10,11,12 三10",創新大樓162,60
15,3,5263109,1,審計學（一）Auditing (I),李宗霖,4  3/1/0,3,必修,"五10,11,12,13",創新大樓162,60
16,2,5263204,1,會計審計法規The Law of Accounting and Auditing,陳玲娜,3  3/0/0,3,選修,"五7,8,9",創新大樓163,60
17,3,5263612,1,大數據與資料分析Big data and data analysis (程式設計相關/Programming related),許育峯,3  3/0/0,3,選修,"三7,8,9",創新大樓261,50
18,4,5264004,1,會計資訊系統Accounting Information Systems,阮金聲,3  3/0/0,3,必修,"一7,8 三7",創新大樓162,60
