,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,4205051,1,工程分析（二）Engineering Analysis (II) (全英語授課/English-taught),郭春寶,3  3/0/0,3,選修,"三4,5,6",工學院B館213,0,博士班課程
1,1,4205054,1,高等電腦輔助工程分析方法Advance Computer Aided Engineering Methods,劉德騏,3  3/0/0,3,選修,"一10,11,12",工學院B館215右,0,博士班課程
2,1,4205109,1,高等電腦輔助幾何設計Advanced Computer-Aided Geometric Design (全英語授課/English-taught),姚宏宗,3  3/0/0,3,選修,二F 四F,工學院B館214右,0,博士班課程
3,1,4205151,1,高等機構設計Advanced Mechanism Design,黃以文,3  3/0/0,3,選修,"一4,5,6",工學院B館213,0,博士班課程
4,1,4205154,1,高等齒輪原理Advanced Theory of Gearing,馮展華,3  3/0/0,3,選修,"四8,9,10",工學院B館215右,0,博士班課程
5,1,4205161,1,高等機器人學Advanced Robotics,楊智媖,3  3/0/0,3,選修,"五4,5,6",工學院B館215右,0,博士班課程
6,1,4205162,1,工具機PC NC架構之CNC人機介面設計與應用CNC Machine Tool Human Machine Interface Design and Application for PC NC Structure (全英語授課/English-taught),高永洲,3  3/0/0,3,選修,"一10,11,12",創新大樓201,0,碩士班課程
7,1,4205201,1,電腦輔助機械製造Computer-Aided Manufacturing (CAM) (全英語授課/English-taught),林榮信,3  3/0/0,3,選修,一G 三G,工學院B館214右,0,碩士班課程
8,1,4205363,1,工程塑性力學Engineering Plasticity (全英語授課/English-taught),敖仲寧,3  3/0/0,3,選修,"二3,4,5",工學院B館214左,0,碩士班課程
9,1,4205364,1,波動力學導論Introduction of Wave Propagation in Elastic Solids,吳亦莊,3  3/0/0,3,選修,"二7,8,9",工學院B館215右,0,博士班課程
10,1,4205401,1,銲接工程概論Introduction to Welding Engineering,敖仲寧,3  3/0/0,3,選修,"四3,4,5",工學院B館115,20,碩士班課程
11,1,4205505,1,內燃機設計The Design of Internal Conbustion,郭春寶,3  3/0/0,3,選修,"二10,11,12",工學院B館213,0,碩士班課程
12,1,4205507,1,生物熱流學Biological Fluid Mechanics and Heat Transfer,任春平,3  3/0/0,3,選修,"四3,4,5",工學院B館214左,0,碩士班課程
13,1,4205566,1,核種遷移Radionuclide migration,任春平,3  3/0/0,3,選修,"一3,4,5",工學院B館215右,0,碩士班課程
14,1,4205567,1,微奈米磨潤學Micro/Nano Tribology (全英語授課/English-taught),鄭友仁,3  3/0/0,3,選修,"一10,11,12",工學院B館115,0,博士班課程
15,1,4205765,1,軟性電子印刷製程Printing-Based Fabrication of Flexible Electronics (全英語授課/English-taught),鄭榮偉,3  3/0/0,3,選修,"四3,4,5",工學院B館215右,0,博士班課程
16,1,4205774,1,直流馬達DC Motors,洪博雄,3  3/0/0,3,選修,"三10,11,12",工學院B館215右,0,碩士班課程
17,1,4205776,1,數位控制Digital Control,洪博雄,3  3/0/0,3,選修,"二10,11,12",工學院B館214左,0,碩士班課程
18,1,4205958,1,專題研討Seminar,楊智媖,2  0/0/2,1,必修,"三8,9",工學院B館116,0,碩博合開
19,1,4205960,1,微機電系統Microelectromechanical System (MEMS),馮國華,3  3/0/0,3,選修,"一7,8,9",工學院B館214左,0,碩士班課程
20,1,4206356,1,疲勞分析與設計Fatigue Analysis and Design,林派臣,3  3/0/0,3,選修,二G 四G,工學院B館214右,0,博士班課程
21,1,4206502,1,中等熱傳學（一）Intermediate Heat Transfer (I) (全英語授課/English-taught),楊翰勳,3  3/0/0,3,選修,"二3,4,5",工學院B館213,0,碩士班課程
22,1,4208151,1,最佳設計Optimum design,蔡忠佑,3  3/0/0,3,選修,"四3,4,5",工學院B館213,0,博士班課程
