,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,1205162,1,宋代社會專題討論（二）Seminar on the Society of Song Dynasty(II),楊宇勛,3  3/0/0,3,選修,"一7,8,9",文學院211,0,碩博合開
1,1,1205192,1,台灣宗教史料導讀（二）Selected Readings on the History of Religion in Taiwan(II),蘇全正,3  3/0/0,3,選修,"三7,8,9",文學院211,0,碩博合開
2,1,1205201,1,先秦出土文獻專題研究（一）Seminar on Excavated Texts in the Pre-ch'in Period,郭靜云,3  3/0/0,3,選修,"五3,4,5",文學院339,0,碩博合開
3,1,1205239,1,歷史研究導論Introduction to Historical Research,張秀蓉,3  3/0/0,3,必修,"四7,8,9",文學院212,0,碩博合開
4,1,1205349,1,漢晉地方制度與社會史專題研究(一)Seminar on Local Authorities and Society of Late Antiquity and Early Medieval China(I),李昭毅,3  3/0/0,3,選修,"三10,11,12",文學院211,0,碩博合開
5,1,1207069,1,"科技與現代都會發展史Science, Technology and Modern Urban History",郭秀鈴,3  3/0/0,3,選修,"二3,4,5",文學院339,0,碩博合開
6,1,1208139,1,中國中古政治史專題Seminar on the Political History of Medieval China,毛漢光,3  3/0/0,3,選修,"一8,9,10",文學院212,0,碩博合開
7,1,1208213,1,中國經濟史論著選讀Selected Readings in Chinese Economic History,林燊祿,3  3/0/0,3,選修,"二3,4,5",文學院211,0,碩博合開
8,1,1209149,1,國共內戰史專題研究Seminar on the Chinese Civil War,楊維真,3  3/0/0,3,選修,"二13,14,15",文學院211,0,碩博合開
9,1,1209169,1,中國史學名著研究（史記）Seminar on a Classic Chinese Historical Work (Shih Chi),雷家驥,3  3/0/0,3,選修,"三3,4,5",文學院211,0,碩博合開
10,1,1209434,1,東洋史學專題研究－台灣篇（二）Seminar on Taiwan History in Japanese Historigraphy (II),李若文,3  3/0/0,3,選修,"二11,12,13",文學院212,0,碩博合開
11,1,1209979,1,戰後台灣史專題研究Seminar on the Postwar History of Taiwan,張建俅,3  3/0/0,3,選修,"二10,11,12",文學院211,0,碩博合開
