,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,6201022,1,民法總則（二）Civil Law : General Principles (II),廖蕙玟,2  2/0/0,2,必修,"二2,3",法學院206,90
1,1,6201032,1,刑法總則（二）Criminal Law : Kinds of General Principles (II),謝國欣,3  3/0/0,3,必修,"一7,8,9",法學院204,70
2,1,6201042,1,憲法（二）Constitutional Law (II),吳信華,2  2/0/0,2,必修,"四4,5",法學院209,70
3,2,6202019,1,民法債編總論（二）Civil Law:General Provisions of Obligations (II),楊宏暉,2  2/0/0,2,必修,"二8,9",法學院203,60
4,2,6202024,1,民法物權（二）Civil Law:Property (II),謝哲勝,2  2/0/0,2,必修,"二4,5",法學院204,70
5,2,6202026,1,民法繼承Civil Law:Succession,梁弘孟,2  2/0/0,2,必修,"三4,5",法學院209,50
6,2,6202032,1,刑法分則（二）Criminal Law:Kinds of Offenses (II),王正嘉,2  2/0/0,2,必修,"一8,9",法學院101階梯教室,120
7,2,6202041,1,國際公法Public International Law,葉錦鴻,2  2/0/0,2,選修,"三8,9",法學院205,70
8,2,6202044,1,行政法總論（二）Administrative Law:General Principles (II),李仁淼,2  2/0/0,2,必修,"四4,5",法學院205,70
9,3,6203023,1,保險法Insurance Law,羅俊瑋,2  2/0/0,2,必修,"一4,5",法學院205,70
10,3,6203024,1,海商法Maritime Law,羅俊瑋,2  2/0/0,2,選修,"一8,9",法學院205,70
11,3,6203026,1,民法債編各論（二）Civil Law：Kinds of Obligations (II),周兆昱,2  2/0/0,2,必修,"二2,3",法學院205,70
12,3,6203034,1,刑事訴訟法（二）Law of Criminal Procedure (II),謝國欣,2  2/0/0,2,必修,"二8,9",法學院202,50
13,3,6203036,1,民事訴訟法（二）Law of Civil Procedure (II),廖蕙玟,2  2/0/0,2,必修,"四2,3",法學院101階梯教室,120
14,3,6203044,1,經濟行政法Economic Administration Law,江嘉琪,2  2/0/0,2,選修,"四8,9",法學院204,70
15,3,6203049,1,憲法實例演習（二）Case Studies Coccnstitution Law (II),吳信華,2  2/0/0,2,選修,"四10,11",法學院201,50
16,3,6203053,1,公法實例演習Case Study of Public Law,李仁淼,2  2/0/0,2,選修,"三10,11",法學院205,70
17,3,6203062,1,社會法各論Separate Field of Social Law,王韻茹,2  2/0/0,2,選修,"四4,5",法學院202,50
18,3,6203064,1,勞動法各論Separate Fields of Labor Law,周兆昱,2  2/0/0,2,選修,"一10,11",法學院201,50
19,3,6203075,1,證券交易法Securities Exchange Law,洪令家,2  2/0/0,2,必修,"二4,5",法學院205,70
20,4,6204002,1,訴願及行政訴訟法（二）Admistrative Appeal and Administrative Adjudication Law (II),劉建宏,2  2/0/0,2,必修,"二10,11",法學院204,70
21,4,6204052,1,法律服務（二）Legal Aid(Ⅱ),王正嘉,2  2/0/0,2,選修,"三8,9",法學院307,20
