,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,6101001,1,法學緒論Introduction to Jurisprudence,高文琦,2  2/0/0,2,選修,"三8,9",法學院209,90
1,1,6101022,1,民法總則（二）Civil Law : General Principles (II),蔡華凱,2  2/0/0,2,必修,"二8,9",法學院209,90
2,1,6101032,1,刑法總則（二）Criminal Law : Kinds of General Principles (II),黃士軒,3  3/0/0,3,必修,"四7,8,9",法學院209,90
3,1,6101042,1,憲法（二）Constitutional Law (II),王韻茹,2  2/0/0,2,必修,"三4,5",法學院203,60
4,1,6101097,1,法學緒論Introduction to Jurisprudence,梁弘孟,3  3/0/0,3,必修,"三10,11,12",法學院209,90
5,2,6102020,1,民法債編總論（二）Civil Law: General Provisions of Obligations (II),謝哲勝,2  2/0/0,2,必修,"一10,11",法學院204,70
6,2,6102024,1,民法物權（二）Civil Law:Property (II),楊宏暉,2  2/0/0,2,必修,"一8,9",法學院203,60
7,2,6102026,1,民法繼承Civil Law:Succession,梁弘孟,2  2/0/0,2,必修,"三4,5",法學院209,50
8,2,6102032,1,刑法分則（二）Criminal Law:Kinds of Offenses,黃士軒,2  2/0/0,2,必修,"四4,5",法學院206,90
9,2,6102044,1,行政法總論（二）Administrative Law:General Principles (II),蕭文生,2  2/0/0,2,必修,"三8,9",法學院206,90
10,2,6102063,1,德文（二）German (II),楊美娟,2  2/0/0,2,選修,"二2,3",共同教室大樓213,50
11,2,6102065,1,法學英文 (二)Legal English (II),謝國欣,2  2/0/0,2,選修,"一2,3",法學院202,50
12,2,6102082,1,日文（二）Japanese (II),周兆昱,2  2/0/0,2,選修,"三2,3",法學院209,90
13,2,6102089,1,羅馬法史導論Introduction to history of Roman Law,高文琦,2  2/0/0,2,選修,"四8,9",法學院203,60
14,2,6102106,1,長者人權門診（四）Human Rights of Elders Legal Clinic (IV),施慧玲,2  2/0/0,2,選修,"二4,5",共同教室大樓302TEAL教室,99
15,2,6102107,1,長者人權門診社區學習Elderly Rights Clinic: Innovative Community Service for Career Training,施慧玲,2  2/0/0,2,選修,"三8,9",共同教室大樓302TEAL教室,99
16,3,6103023,1,保險法Insurance Law,羅俊瑋,2  2/0/0,2,必修,"二4,5",法學院201,50
17,3,6103026,1,民法債編各論（二）Civil Law：Kinds of Obligations (II),楊宏暉,2  2/0/0,2,必修,"三4,5",法學院202,50
18,3,6103034,1,刑事訴訟法（二）Law of Criminal Procedure (II),盧映潔,2  2/0/0,2,必修,"二8,9",法學院206,90
19,3,6103042,1,民事訴訟法（二）Law of Civil Procedure (II),蔡華凱,2  2/0/0,2,必修,"四4,5",法學院203,60
20,3,6103068,1,日文法學名著選讀 (四)Readings on Selected Topics of Japanese Law (IV),周兆昱,2  2/0/0,2,選修,"三10,11",法學院202,50
21,3,6103078,1,刑法分則理論演習Studies on Criminal Law: Specific Offenses,黃士軒,1  1/0/0,1,選修,四10,法學院204,70
22,3,6103079,1,公司法實例演習Case Study on Corporation Law,洪令家,2  2/0/0,2,選修,"二10,11",法學院203,60
23,3,6103083,1,公平交易法Fair Trade Law,楊宏暉,2  2/0/0,2,選修,"二10,11",法學院206,90
24,4,6104008,1,訴願及行政訴訟法（二）Admistrative Appeal and Administrative Adjudication Law (II),江嘉琪,2  2/0/0,2,必修,"三10,11",法學院204,70
25,4,6104056,1,刑事法實例演習（二）Case Studies on Criminal Law (II),盧映潔,2  2/0/0,2,選修,"一10,11",法學院202,50
26,4,6104075,1,法律倫理學Legal Ethics,鄭津津,2  2/0/0,2,選修,"二10,11",法學院101階梯教室,120
27,4,6104093,1,法律實習Law Practice,王正嘉,1  1/0/0,1,選修,三7,法學院307,10
