,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,6055008,1,德文法學名著選讀（二）Readings on Selected Topics of German Law (II),江嘉琪,2  2/0/0,2,選修,"三4,5",法學院509,20,碩博合開
1,1,6055013,1,日文法學名著選讀（一）Readings on Selected Topics of Japan Law (I),黃士軒,2  2/0/0,2,選修,"三8,9",法學院406,40,碩博合開
2,1,6055054,1,商事法專題研究（資本市場法制）（一）Seminar on Commercial Law: Capital Market Regulations (I),洪令家,2  2/0/0,2,選修,"一8,9",法學院306,40,碩博合開
3,1,6055072,1,商事法專題研究（保險法）(三)Seminar on Commercial Law (Insurance Law)(III),羅俊瑋,2  2/0/0,2,選修,"二8,9",法學院507,40,碩博合開
4,1,6055100,1,社會法專題研究（三）Seminar on Social Law (III),郝鳳鳴,2  2/0/0,2,選修,"四8,9",法學院406,40,碩博合開
5,1,6055101,1,社會法專題研究（一）Seminar on Social Law (I),郝鳳鳴,3  3/0/0,3,選修,"二7,8,9",法學院407,20,碩博合開
6,1,6055104,1,憲法專題研究－基本人權（二）Seminar on Constitution Law - Basic Human Rights (II),蕭文生,2  2/0/0,2,選修,"二4,5",法學院306,40,碩博合開
7,1,6055149,1,刑事政策專題研究 (三)Seminar on Criminal Policy (III),盧映潔,2  2/0/0,2,選修,"二4,5",法學院507,40,碩博合開
8,1,6055156,1,刑事訴訟法專題研究（二）Seminar on Law of Criminal Procedure (II),謝國欣,2  2/0/0,2,選修,"一4,5",法學院307,20,碩博合開
9,1,6055167,1,刑法基礎理論專題研究（十二）Seminar on Criminal Law - Basic Theory (XII),黃士軒,2  2/0/0,2,選修,"五4,5",法學院407,20,碩博合開
10,1,6055176,1,勞動法專題研究（二）Seminar on Labor Law (II),鄭津津,2  2/0/0,2,選修,"二4,5",法學院406,40,碩博合開
11,1,6055200,1,日本勞動法專題研究（二）Seminar on Labor Law in Japan (II),周兆昱,2  2/0/0,2,選修,"二10,11",法學院307,20,碩博合開
12,1,6055212,1,行政法專題研究－行政救濟法（二）Seminar on Administrative Law－Administrative Remedy Law (II),江義雄,2  2/0/0,2,選修,"二11,12",法學院507,40,碩博合開
13,1,6055213,1,行政法專題研究－行政作用法（二）Seminar on Administrative Law－Administrative Action Law (II),劉建宏,2  2/0/0,2,選修,"二8,9",法學院307,20,碩博合開
14,1,6055319,1,民法專題研究（財產法）（三）Seminar on Civil Law (Property Law)(III),謝哲勝,2  2/0/0,2,選修,"二10,11",法學院306,40,碩博合開
15,1,6055321,1,民法專題研究（財產法）（五）Seminar on Civil Law (Property Law)(V),廖蕙玟,2  2/0/0,2,選修,"三4,5",法學院307,20,碩博合開
16,1,6055344,1,法學德文（二）Legal German (II),吳信華,2  2/0/0,2,選修,"二8,9",法學院508,40,碩博合開
17,1,6055346,1,法學日文（二）Legal Japanese (II),王正嘉,2  2/0/0,2,選修,"二10,11",法學院406,40,碩博合開
18,1,6055353,1,法學英文（四）Legal English (IV) (全英語授課/English-taught),鄭津津,2  2/0/0,2,選修,"一4,5",法學院306,40,碩博合開
19,1,6055396,1,民事特別法專題研究（十五）－消費者保護法與公平交易法（一）Seminar on Study of the Relevant Civil Codes (XV)－Consumer Protection Law and Fair Trade Law (I),楊宏暉,2  2/0/0,2,選修,"三8,9",法學院407,20,碩博合開
20,1,6055415,1,行政法基礎理論與行政組織法專題研究（四）Seminar on Fundamental Theories of Organization in Administrative Law (IV),江嘉琪,2  2/0/0,2,選修,"四4,5",法學院509,20,碩博合開
21,1,6055418,1,比較公法專題研究（三）A Research on Comparative Public Law (III),王韻茹,2  2/0/0,2,選修,"二10,11",法學院509,20,碩博合開
22,1,6055422,1,國際私法專題研究 － 涉外財產訴訟之理論與實務（一）Seminar on Private International Law - International Civil Procedure Law (I),蔡華凱,2  2/0/0,2,選修,"一10,11",法學院509,20,碩博合開
23,1,6055426,1,國際私法專題研究－涉外民事法律關係（二）Seminar on Private International Law - The foreign-related civil legal relationship (II),廖蕙玟,2  2/0/0,2,選修,"三10,11",法學院307,20,碩博合開
24,1,6055441,1,國際環境法專題研究（二）Seminar on International Environmental Law (II),王韻茹,2  2/0/0,2,選修,"二8,9",法學院509,20,碩博合開
25,1,6055468,1,法理學及法學方法專題研究（二）Seminar on Jurisprudence and Legal Methodology(II),高文琦,2  2/0/0,2,選修,"三10,11",法學院509,20,碩博合開
26,1,6055495,1,科際法律專題研究（二）Seminar on Interdisciplinary Legal Studies(II),施慧玲,2  2/0/0,2,選修,"四8,9",法學院608,20,碩博合開
27,1,6055498,1,法律史專題研究（二）Seminar on Legal History (II),梁弘孟,2  2/0/0,2,選修,"四4,5",法學院407,20,碩博合開
28,1,6055507,1,刑事法學專題研究（一）Seminar on Crimial Law Theory (I),王正嘉,2  2/0/0,2,選修,"二8,9",法學院406,40,碩博合開
29,1,6055514,1,少年法專題研究（一）Seminar on Juvenile Law (I),黃士軒,2  2/0/0,2,選修,"五8,9",法學院407,20,碩博合開
30,1,6055550,1,公法理論與實務專題研究（八）－ 憲法與行政法之整合Seminar on the Public Law of Theories and Practices(VIII),李仁淼,2  2/0/0,2,選修,"四8,9",法學院509,20,碩博合開
31,1,6055564,1,法院實習（二）District Court Clinic（II）,李文輝,4  0/4/0,2,選修,"三13,14 五13,14",法學院307,6,碩博合開
