,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,2201002,1,普通物理實驗（二）Experiments on General Physics (II),謝立宜,3  0/3/0,1,必修,"一10,11 三5",物理館502TEAL教室,56
1,1,2201002,2,普通物理實驗（二）Experiments on General Physics (II),杜明憲,3  0/3/0,1,必修,"一10,11 三5",物理館101,47
2,1,2201002,3,普通物理實驗（二）Experiments on General Physics (II),段必輝,3  0/3/0,1,必修,"一8,9 四5",物理館502TEAL教室,33
3,1,2201002,4,普通物理實驗（二）Experiments on General Physics (II),魏台輝,3  0/3/0,1,必修,"一8,9 四5",物理館101,33
4,1,2201002,5,普通物理實驗（二）Experiments on General Physics (II),謝立宜,3  0/3/0,1,必修,"四9 五4,5",物理館101,45
5,1,2201002,6,普通物理實驗（二）Experiments on General Physics (II),甘宏志,3  0/3/0,1,必修,"四9 五4,5",物理館502TEAL教室,55
6,1,2201002,7,普通物理實驗（二）Experiments on General Physics (II),謝立宜,3  0/3/0,1,必修,"五1,2,3",物理館502TEAL教室,48
7,1,2201002,8,普通物理實驗（二）Experiments on General Physics (II),蔡炎熾,3  0/3/0,1,必修,"五1,2,3",物理館101,53
8,1,2201002,9,普通物理實驗（二）Experiments on General Physics (II),謝立宜,3  0/3/0,1,必修,"一7,8,9",物理館211,30
9,1,2201004,1,基礎物理（二）Fundamental of Physics (II),杜明憲,4  4/0/0,4,必修,"二4,5 四4,5",物理館212,23
10,1,2201010,1,基礎物理實驗學（二）A組Experiments on Fundamental Physics (II)A (程式設計相關/Programming related),林俊元,4  4/0/0,4,必修,"四3,4,5,6",物理館506光學實驗室,24
11,1,2201012,1,普通物理（二）General Physics (II),謝立宜,3  3/0/0,3,必修,"一4,5 三4",物理館206,104
12,1,2201012,2,普通物理（二）General Physics (II),張晃暐,3  3/0/0,3,必修,"二4,5 四4",理學院215演講廳,101
13,1,2201012,3,普通物理（二）General Physics (II),甘宏志,3  3/0/0,3,必修,"二8,9 四8",物理館206,101
14,1,2201012,4,普通物理（二）General Physics (II),謝立宜,3  3/0/0,3,必修,"二4,5 四4",物理館206,200
15,1,2201013,1,基礎物理實驗學（二）B組Experiments on Fundamental Physics (II)B (程式設計相關/Programming related),姚松偉,4  4/0/0,4,必修,"四7,8,9,10",物理館525,25
16,1,2201014,1,基礎物理演習（二）Recitation on Fundamental of Physics (II),杜明憲,1  1/0/0,1,選修,二6,物理館211,55
17,1,2201022,1,普通物理（二）General Physics (II),包健華,4  4/0/0,4,必修,"二8,9 四8,9",物理館307,26
18,1,2201024,1,觀念物理（二）Conceptual Physics (II),李進榮,2  2/0/0,2,必修,"五4,5",物理館107,80
19,1,2201027,1,普通物理演習(二)Recitation on General Physics (二),包健華,1  1/0/0,1,選修,三13,物理館502TEAL教室,117
20,1,2201031,1,基礎物理數學Fundamental of Mathematical Physics,吳欣澤,3  3/0/0,3,選修,一F 二C,物理館105,50
21,2,2202006,1,基礎物理（四）Fundamental of Physics (IV) (程式設計相關/Programming related),梁贊全,4  4/0/0,4,必修,"三4,5 五4,5",物理館211,55
22,2,2202008,1,基礎物理演習（四）Recitation on Fundamental of Physics (Ⅳ),梁贊全,1  1/0/0,1,選修,五6,物理館211,55
23,2,2202012,1,應用數學（二）Applied Mathematics (II),蔡炎熾,3  3/0/0,3,必修,一B 三B,物理館106,80
24,2,2202015,1,基礎物理實驗學（四）B組Experiments on Fundamental Physics (Ⅳ)B (程式設計相關/Programming related),曲宏宇,4  4/0/0,4,必修,"二7,8,9,10",物理館525,22
25,2,2202020,1,理論力學Theoretical Mechanics,蘇旺昌,4  4/0/0,4,必修,"三4,5 五4,5",物理館106,80
26,2,2202060,1,近代物理Modern Physics,韓殿君 魏台輝,3  3/0/0,3,必修,二B 四B,物理館105,50
27,3,2203006,1,近代物理實驗學Experiments in Modern Physics,門福國,4  4/0/0,4,選修,"一7,8,9,10",物理館522,20
28,3,2203008,1,進階實驗技術Advanced Techniques in Modern Experiments (程式設計相關/Programming related),曲宏宇 姚松偉,3  3/0/0,3,選修,"一7,8,9",物理館525,30
29,3,2203021,1,量子物理（一）Quantum Physics (I),包健華,4  4/0/0,4,必修,"二4,5 四4,5",物理館106,80
30,3,2203022,1,量子物理（二）Quantum Physics (II),李進榮,4  4/0/0,4,必修,"二4,5 四4,5",物理館107,80
31,3,2203041,1,熱統計物理學Thermal and Statistical Physics,門福國,4  4/0/0,4,必修,"二8,9 四8,9",物理館106,80
32,3,2203071,1,應用電子學（一）Microelectronics (I),林財鈺,3  3/0/0,3,選修,二G 四G,物理館106,80
33,4,2204021,1,進階光學Advanced Optics,許佳振,3  3/0/0,3,選修,三G 五G,物理館303,30
34,4,2204040,1,原子分子物理導論Introduction to Atomic and Molecular Phyics,韓殿君,3  3/0/0,3,選修,"一4,5,6",物理館105,50
35,4,2204091,1,物理專題（二）Special Topic in Physics (II),魏台輝,1  1/0/0,1,選修,二6,物理館303,30
36,4,2204092,1,物理專題（三）Special Topic in Physics (III),魏台輝,1  1/0/0,1,選修,二6,物理館303,30
37,4,2204093,1,物理專題（四）Special Topic in Physics(Ⅳ),魏台輝,1  1/0/0,1,選修,二6,物理館303,30
