,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3455003,1,犯罪學專題研究（二）Seminar on Criminology (II),楊士隆 曾淑萍,3  3/0/0,3,必修,"三3,4,5",教育館601,0,碩士班課程
1,1,3455029,1,刑事司法專題研究Seminar on Criminal Justice,楊士隆 曾淑萍,3  3/0/0,3,必修,"四3,4,5",教育二館653,0,博士班課程
2,1,3455035,1,心理衡鑑專題研究Seminar on Psychological Assessment,許秋田,3  3/0/0,3,選修,"一7,8,9",教育館604,0,碩士班課程
3,1,3455051,1,家庭暴力與性侵害專題研究Seminar on Family Violence & Sexual Assault,鄭瑞隆,3  3/0/0,3,選修,"二3,4,5",教育館605,0,碩博合開
4,1,3455056,1,質的研究法Qualitative Research Method,邱獻輝,3  3/0/0,3,選修,"四7,8,9",教育二館653,0,碩博合開
5,1,3455081,1,警察組織與管理Police Organization on Management,廖福村,3  3/0/0,3,選修,"四7,8,9",教育館605,0,碩士班課程
6,1,3456009,1,當代社會心理學與犯罪專題研究Contemporary Social Psychology and Crime,戴伸峰,3  3/0/0,3,選修,"一7,8,9",教育館605,0,碩士班課程
7,1,3456028,1,獨立研究：刑事法學實證研究Independent Study: Criminal Law Emprircal Study,陳慈幸,2  2/0/0,2,選修,"一4,5",教育館605,0,碩博合開
8,1,3456045,1,刑事制裁專題研究Seminar on Criminal Sanction,馬躍中,3  3/0/0,3,選修,"二10,11,12",教育二館653,0,碩士班課程
9,1,3456052,1,性別與刑事司法Gender and Criminal Justice,朱群芳,3  3/0/0,3,選修,"三8,9,10",教育館605,0,碩博合開
10,1,3456058,1,獨立研究:犯罪問題研討Independent Study on Crime Problems,曾淑萍,2  2/0/0,2,選修,"三11,12",教育館604,0,碩博合開
11,1,3456063,1,藥物成癮的神經機制專題研究Seminar on neural mechanism of drug addiction,陳巧雲,3  3/0/0,3,選修,"二8,9,10",教育館605,0,碩士班課程
12,1,3456067,1,矯正諮商與成癮治療專題研究Seminar on correctional counseling and addiction therapy,林明傑,3  3/0/0,3,選修,"五7,8,9",教育館605,0,碩博合開
13,1,3457002,1,犯罪學研究方法Research Methods for Criminology,楊士隆 鄭瑞隆 許華孚,3  3/0/0,3,必修,"四8,9,10",教育館604,0,博士班課程
14,1,3457011,1,刑事訴訟法專題研究Seminar on Law of Criminal Procedure,陳慈幸,3  3/0/0,3,選修,"二3,4,5",教育館601,0,碩士班課程
15,1,3457029,1,統計學 Statistics,朱群芳,3  3/0/0,3,必修,"四3,4,5",教育館605,0,博士班課程
16,1,3457030,1,監獄與刑罰專題研究Seminar on the study of prison and penology,許華孚,3  3/0/0,3,選修,"四11,12,13",教育二館653,0,碩博合開
