,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,2555002,1,生物醫學書報討論（二）Seminar on Biomedical Science (II),戴建國,2  0/0/2,1,必修,"五2,3",生醫系228,0,碩士班課程
1,1,2555004,1,生物醫學書報討論（四）Seminar on Biomedical Science(IV),吳淑芬,2  0/0/2,1,必修,"五4,5",生醫系236,0,碩士班課程
2,1,2555010,1,高等細胞生物學Advanced Cell Biology,李沁,3  3/0/0,3,必修,"四3,4,5",生醫系236,0,碩士班課程
3,1,2555114,1,分子病毒學專題研究（二）Special topics on Molecular Virology(II),張德卿,2  0/0/2,1,選修,"三13,14",生醫系460,0,碩博合開
4,1,2555116,1,基因治療與免疫專題研究（二）Special topics on Gene Therapy and Immunology (II),戴建國 吳淑芬,4  0/0/4,2,選修,"二13,14 四13,14",生醫系228,0,碩博合開
5,1,2555125,1,奈米生物科技專題研究（二）Special topics on Nano-biotechnology(II),周正中,2  0/0/2,1,選修,"一13,14",生醫系546,0,碩博合開
6,1,2555127,1,分子病毒學專題研究（四）Special topics on Molecular Virology(IV),張德卿,2  0/0/2,1,選修,"四13,14",生醫系460,0,碩博合開
7,1,2555139,1,癌症基因治療學Cancer Gene Therapy,戴建國,2  2/0/0,2,選修,"二8,9",生醫系460,20,碩博合開
8,1,2555140,1,表觀基因體學Epigenomics,呂昱瑋 蕭淑惠 陳永恩,3  3/0/0,3,選修,"四G,H",生醫系236,0,碩博合開
9,1,2555142,1,表觀基因體學專題研究(二)Special topics on Epigenomics (II),蕭淑惠 陳永恩,4  0/0/4,2,選修,"二13,14 四13,14",生醫系236,0,碩博合開
10,1,2555143,1,Python在生醫數據統計分析的應用Python for biomedical data statistical analysis (程式設計相關/Programming related),周正中,3  3/0/0,3,選修,"一7,8,9",生醫系546,8,碩博合開
11,1,2555144,1,高等腫瘤生物學Advanced Tumor Biology (全英語授課/English-taught),陳永恩,3  3/0/0,3,選修,"二8,9,10",生醫系230,0,碩博合開
