,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,2501004,1,普通生物學（二）Biology (II),蕭淑惠 黃敏郎,3  3/0/0,3,必修,一F 三F,生醫系331,60
1,1,2501005,1,普通生物學實驗（二）Experiments on Biology (II),蕭淑惠 黃敏郎,3  0/3/0,1,必修,"三G,H",生醫系343,40
2,1,2501006,1,有機化學（一）Organic Chemistry (I),李政怡,3  3/0/0,3,必修,二F 四F,生醫系331,60
3,1,2501008,1,生物統計導論Introduction to Biostatistics,周正中,3  3/0/0,3,必修,"四C,D",電算中心215教室,70
4,1,2501103,1,生物醫學導讀(二)Introduction for biomedical Sciences Reading(II),黃敏郎,1  1/0/0,1,選修,四10,生醫系228,36
5,1,2501104,1,生物醫學研究導論 Introduction to Biomedical research,李沁,1  1/0/0,1,選修,三4,生醫系335,82
6,2,2502007,1,分子生物學Molecular Biology,江明格 陳浩仁,4  4/0/0,4,必修,"二8,9 四8,9",生醫系333,55
7,2,2502012,1,生物化學（二）Biochemistry(II),黃憲斌,3  3/0/0,3,必修,一G 三G,生醫系333,55
8,2,2502016,1,生命科學實驗（二）Experiments on Life Science(II),江明格,3  0/3/0,1,必修,"三7,8,9",生醫系347,40
9,2,2502017,1,生化分析Biochemistry Analysis,曾銘仁,3  3/0/0,3,必修,"五C,D",生醫系335,82
10,3,2503005,1,細胞生物學Cell Biology,蕭淑惠 陳永恩,4  4/0/0,4,必修,"一4,5 三4,5",生醫系333,55
11,3,2503006,1,免疫學Immunology,吳淑芬,3  3/0/0,3,必修,"二C,D",生醫系335,82
12,3,2503101,1,幹細胞學Stem Cell Biology,余俊頴,3  3/0/0,3,選修,一F 三F,生醫系335,82
13,3,2503107,1,專題研究實驗（二）Experiments on Special Research Topics(II),陳浩仁,3  0/3/0,1,選修,"二I,J",生醫系335,82
14,3,2503113,1,基礎藥理學Introductory Pharmacology,曾銘仁,2  2/0/0,2,選修,"四4,5",生醫系335,82
15,3,2503124,1,生物形態發生學Biology Morphogenesis,黃敏郎,2  2/0/0,2,選修,"二8,9",生醫系228,36
16,4,2504003,1,專題討論（二）Seminar (II),江明格,2  0/0/2,1,必修,"一4,5",生醫系228,36
17,4,2504003,2,專題討論（二）Seminar (II),黃憲斌,2  0/0/2,1,必修,"三13,14",生醫系335,82
18,4,2504109,1,專題研究實驗（四）Experiments on Special Research Topics(IV),陳浩仁,3  0/3/0,1,選修,"二I,J",生醫系335,82
