,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,3101022,1,社會學（二）Sociology (II),葉秀珍,3  3/0/0,3,必修,"一8,9,10",社科院125,55
1,1,3101024,1,經濟學（二）Economics (II),鄭清霞,3  3/0/0,3,必修,"四E,F",社科院115,120
2,1,3101034,1,社會福利概論（二）Social Welfare (II),鄭讚源,3  3/0/0,3,必修,"三E,F",社科院115,120
3,1,3101035,1,社會工作概論Introduction to Social Work,陳芳珮,3  3/0/0,3,選修,"一C,D",社科院125,55
4,1,3101051,1,社會心理學Social Psychology,姚淑芬,3  3/0/0,3,選修,"三10,11,12",社科院360,60
5,1,3101058,1,"公益創投:共享經濟與社會企業Venture Philanthropy, Sharing Economy, and Social Enterprise",鄭讚源,3  3/0/0,3,選修,"四C,D",社科院115,120
6,2,3102016,1,社會問題Social Problems,王舒芸,3  3/0/0,3,必修,"三E,F",社科院229,72
7,2,3102018,1,社會統計（二）Social Statistics (II) (程式設計相關/Programming related),李妙純,3  3/0/0,3,必修,"一7,8,9",社科院327,50
8,2,3102024,1,政治學（二）Politics in the Welfare state (II),呂建德,3  3/0/0,3,必修,"二C,D",社科院360,60
9,2,3102053,1,社會個案工作Social Case Work,曾孆瑾,3  3/0/0,3,選修,"一B,C",社科院240,36
10,2,3102053,2,社會個案工作Social Case Work,陳芳珮,3  3/0/0,3,選修,"二E,F",社科院241,25
11,2,3102152,1,社會工作管理Social Work Management,林辰穎,3  3/0/0,3,選修,"二12,13,14",社科院360,60
12,3,3103018,1,社會研究法（二）Social Research Method (II),王德睦,3  3/0/0,3,必修,"四C,D",社科院327,50
13,3,3103031,1,社會福利資料分析Data Analysis for Social Welfare (程式設計相關/Programming related),陳昭榮,3  3/0/0,3,選修,"一E,F",社科院241,25
14,3,3103035,1,社會福利行政Social Welfare Administration,官有垣,3  3/0/0,3,必修,"二E,F",社科院360,60
15,3,3103042,1,社會不均Social Inequality,施堯啟,3  3/0/0,3,必修,"三E,F",社科院327,50
16,3,3103053,1,社區照顧Community Care,吳明儒,3  3/0/0,3,選修,"四E,F",社科院360,60
17,2,3103071,1,健康保險理論與實務Health Insurance Theory and Practices,李妙純 陳孝平,3  3/0/0,3,選修,"四C,D",社科院241,25
18,4,3103094,1,長期照護服務的需求與供給Demand and supply of long term care services,鄭清霞,3  3/0/0,3,選修,"一C,D",社科院327,50
19,4,3103098,1,社會福利空間分析Spatial analysis and social welfare (程式設計相關/Programming related),陳昭榮,3  3/0/0,3,選修,"四E,F",社科院241,25
20,3,3103103,1,社會政策與社會控制Social Policy and Social Control,阮曉眉,2  2/0/0,2,選修,"二4,5",社科院241,25
21,4,3104058,1,福利國家發展Development of Welfare State,陳昭榮,3  3/0/0,3,必修,"二E,F",社科院327,50
