,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,5101888,1,學系服務學習Service Learning：Campus Service,蔡明宏,1  1/0/0,0,必修,二3,管理學院105,60
1,1,5101888,2,學系服務學習Service Learning：Campus Service,唐孟祺,1  1/0/0,0,必修,三10,管理學院336,60
2,1,5101002,1,經濟學原理（二）Principle of Economics (II),陳芳岳,4  3/1/0,3,必修,"一10,11 三10,11",管理學院426會議室,70
3,1,5101002,2,經濟學原理（二）Principle of Economics (II),王瑜琳,4  3/1/0,3,必修,"一4,5 三4,5",管理學院107,125
4,1,5101002,3,經濟學原理（二）Principle of Economics (II),許毓珊,4  3/1/0,3,必修,"一4,5 三4,5",管理學院120,120
5,1,5101002,4,經濟學原理（二）Principle of Economics (II),翁世芳,4  3/1/0,3,選修,"一8,9 三8,9",管理學院115,75
6,1,5101002,5,經濟學原理（二）Principle of Economics (II),劉文獻,4  3/1/0,3,必修,"二4,5 四4,5",創新大樓164,60
7,1,5101002,6,經濟學原理（二）Principle of Economics (II) (全英語授課/English-taught),翁世芳,4  3/1/0,3,必修,"一4,5 三4,5",管理學院320,24
8,1,5101070,1,R語言應用與分析方法R Language Applications and Analytics (程式設計相關/Programming related),張漢呈,3  3/0/0,3,選修,"五4,5,6",管理學院107,125
9,2,5102102,1,個體經濟學（二）Microeconomics (II),唐孟祺,4  3/1/0,3,必修,"一8,9 三8,9",管理學院336,60
10,2,5102102,2,個體經濟學（二）Microeconomics (II) (全英語授課/English-taught),陳偉智,4  3/1/0,3,必修,"一4,5 三4,5",管理學院105,60
11,2,5102202,1,總體經濟學（二）Macroeconomics (II),王瑜琳,4  3/1/0,3,必修,"一2,3 三2,3",管理學院107,125
12,2,5102203,1,總體經濟學Macroeconomics,馮立功,3  3/0/0,3,必修,"二3,4,5",管理學院102,40
13,2,5102240,1,貨幣銀行學Money and Banking,馮立功,3  3/0/0,3,選修,"一8,9,10",管理學院105,60
14,2,5102302,1,統計學（二）Statistics (II),李偉銘,4  3/1/0,3,必修,"二4,5 四4,5",管理學院105,60
15,2,5102302,2,統計學（二）Statistics (II),曾富民,4  3/1/0,3,必修,"二4,5 四4,5",管理學院106,80
16,2,5102401,1,管制經濟學Regulatory Economics,陳和全,3  3/0/0,3,選修,"三10,11,12",管理學院106,80
17,3,5103020,1,經濟思想史History of Economic Thought,蔡仰虔,3  3/0/0,3,選修,二G 四G,管理學院106,80
18,3,5103105,1,生產經濟學Production Economics,孫佳宏,3  3/0/0,3,選修,"二4,5,6",管理學院336,60
19,3,5103160,1,產業經濟學Industrial Organization,崔曉倩,3  3/0/0,3,選修,"四4,5,6",管理學院426會議室,70
20,3,5103308,1,高等統計學（二）Mathematical Statistics (II),李偉銘,3  3/0/0,3,選修,二B 四B,管理學院320,24
21,3,5103312,1,計量經濟學（二）Econometrics (II),賴宏彬,3  3/0/0,3,選修,"四7,8,9",管理學院106,80
22,3,5103363,1,數理經濟學(二)Mathematical Economics(II),陳芳岳,3  3/0/0,3,選修,"三4,5,6",管理學院426會議室,70
23,3,5103404,1,外人投資Foreign Direct Investment,陳芳岳,3  3/0/0,3,選修,"四7,8,9",管理學院426會議室,70
24,3,5103501,1,國際金融理論與政策（一）International Finance：Theory and Policy (I),歐陽溥蔓,4  3/1/0,3,必修,"一8,9 三8,9",管理學院107,125
25,3,5103502,1,國際金融理論與政策（二）International Finance：Theory and Policy (II),李秀雲,3  3/0/0,3,選修,"二10,11,12",管理學院320,24
26,3,5103604,1,公共經濟學Public Economics,王釗洪,3  3/0/0,3,選修,"四8,9,10",管理學院105,60
27,3,5103630,1,市場分析與預測Market Analysis and Prediction (全英語授課/English-taught),郭芳彰,3  3/0/0,3,選修,"二7,8,9",管理學院105,60
28,3,5103817,1,投資學Investments,周登陽,3  3/0/0,3,選修,"二7,8,9",管理學院107,125
29,4,5103920,1,統計軟體應用Application of the Statistical Software,黃柏農,3  3/0/0,3,選修,"一4,5,6",管理學院322,22
30,3,5103921,1,數據科學專題Special Project of Data Science (程式設計相關/Programming related),黃文杰,3  3/0/0,3,選修,"四3,4,5",管理學院336,60
31,3,5103930,1,企業個案與經濟策略分析Business Case Study with Economic Thinking,蕭維成,3  3/0/0,3,選修,"五10,11,12",管理學院336,60
