,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3655102,1,兒童心理病理深論Advanced Child Psychopathology,陳怡群,3  3/0/0,3,選修,"四7,8,9",社科院455,0,碩博合開
1,1,3655110,1,臨床神經心理學Clinical neuropsychology,徐晏萱,3  3/0/0,3,選修,"一8,9,10",社科院472,0,碩博合開
2,1,3655114,1,神經心理治療Neuropsychological Rehabilitation,徐晏萱,3  3/0/0,3,選修,"三C,D",社科院472,0,碩博合開
3,1,3655116,1,獨立研究：神經心理學 Independent Research: Neuropsychology,徐晏萱,3  3/0/0,3,選修,"三10,11,12",社科院472,0,碩博合開
4,1,3655117,1,臨床心理學實習Internship in Clinical Psychology,徐晏萱,6  0/6/0,3,選修,"五7,8,9,10,11,12",社科院472,0,碩博合開
5,1,3655201,1,壓力與身心衡鑑Psychophysiological Stress Assessment,翁嘉英,3  3/0/0,3,選修,"四3,4,5",社科院463,0,碩博合開
6,1,3655214,1,成人心理衡鑑深論與實作Adult Advanced Psychological Assessment and Hands-on Skill Enhancement,鄧閔鴻,3  3/0/0,3,選修,"二8,9,10",社科院472,0,碩博合開
7,1,3655303,1,行為治療深論與實作Advanced Behavior Therapy and Hands on Skill Enhancement,陳怡群,3  3/0/0,3,選修,"二7,8,9",社科院459,0,碩博合開
8,1,3655416,1,臨床心理學實習：成人臨床心理學Clinical Psychology Internship: Clinical Adult Psychology,謝玲玉,6  0/6/0,3,選修,"五7,8,9,10,11,12",社科院459,0,碩博合開
9,1,3655424,1,臨床健康心理學實習Internship in Clinical Health Psychology,翁嘉英,6  0/6/0,3,選修,"五3,4,5,7,8,9",社科院463,0,碩博合開
10,1,3656104,1,獨立研究：焦慮與憂鬱Independent Study: Anxiety and Depression,鄧閔鴻,3  3/0/0,3,選修,"三11,12,13",社科院455,0,碩博合開
