,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,1900501,1,入門日語發音與字詞Japanese Pronunciation & Word Usage Foundation,張又華,2  2/0/0,2,選修,"一10,11",語言中心語言教室226,30
1,1,1900501,2,入門日語發音與字詞Japanese Pronunciation & Word Usage Foundation,張又華,2  2/0/0,2,選修,"三10,11",語言中心語言教室226,30
2,1,1900902,1,入門華語字詞（二）Chinese Characters Foundation (II),黃柏禎,2  2/0/0,2,選修,"四4,5",語言中心語言教室112,30
3,1,1900912,1,入門華語語音（二）Chinese Pronunciations Foundation (II),陳欣徽,2  2/0/0,2,選修,"五4,5",語言中心語言教室112,30
4,1,1901511,1,基礎日語實用聽說（一）Japanese Communication Skills Basic (I),張又華,2  2/0/0,2,選修,"一8,9",語言中心語言教室226,30
5,1,1901532,1,基礎日語實用句型（二）Japanese Sentence Patterns Basic (II),張又華,2  2/0/0,2,選修,"二4,5",語言中心語言教室226,30
6,1,1901532,2,基礎日語實用句型（二）Japanese Sentence Patterns Basic (II),張又華,2  2/0/0,2,選修,"二10,11",語言中心語言教室226,30
7,1,1901921,1,基礎華語語法訓練（一）Level 1 Chinese Vocabulary and Grammar (I),黃柏禎,2  2/0/0,2,選修,"四10,11",語言中心語言教室111,10
8,1,1901932,1,基礎華語情境溝通（二）Level 1 Chinese Communication in Context (II),陳欣徽,2  2/0/0,2,選修,"三4,5",語言中心語言教室112,30
9,1,1901971,1,基礎華語字彙閱讀（一）Level 1 Chinese Vocabulary and Reading (I),陳欣徽,2  2/0/0,2,選修,"二8,9",語言中心語言教室111,10
10,2,1902208,1,中階英文時事閱讀（二）English News Reading Intermediate (II),吳永倩,2  2/0/0,2,選修,"四10,11",語言中心語言教室226,30
11,2,1902535,1,初級日語字彙閱讀（一）Japanese Vocabulary & Reading Pre-intermediate (I),張又華,2  2/0/0,2,選修,"四4,5",語言中心語言教室226,30
12,2,1902922,1,初級華語語法訓練（二）Level 2 Chinese Vocabulary and Grammar (II),黃柏禎,2  2/0/0,2,選修,"三8,9",語言中心語言教室111,10
13,2,1902931,1,初級華語情境溝通（一）Level 2 Chinese Communication in Context (I),陳欣徽,2  2/0/0,2,選修,"四8,9",語言中心語言教室111,10
14,2,1902942,1,初級華語口語表達（二）Level 2 Chinese Speaking Skills (II),黃柏禎,2  2/0/0,2,選修,"五4,5",語言中心語言教室111,10
15,2,1902972,1,初級華語字彙閱讀（二）Level 2 Chinese Vocabulary and Reading (II),陳欣徽,2  2/0/0,2,選修,"三10,11",語言中心語言教室111,10
16,2,1902994,1,初級華語實用寫作（四）Level 2 Chinese Writing (IV),黃柏禎,2  2/0/0,2,選修,"一10,11",語言中心語言教室111,10
17,3,1903112,1,進階批判思考與學術發表（二）Critical Thinking and Academic Presenting Skills High-intermediate (II) (全英語授課/English-taught),楊岳龍,3  3/0/0,3,選修,"四4,5,6",語言中心語言教室227,30
18,3,1903204,1,進階英文字彙閱讀（二）English Vocabulary & Reading High-intermediate (II) (全英語授課/English-taught),林麗菊,3  3/0/0,3,選修,"三7,8,9",語言中心語言教室227,30
19,3,1903417,1,進階學術英文整合（一）Integrated Academic English Skills High-intermediate (I) (全英語授課/English-taught),楊岳龍,3  3/0/0,3,選修,"二4,5,6",語言中心語言教室227,30
20,3,1903420,1,進階職場英文技巧（一）Career English Communication High-intermediate (I) (全英語授課/English-taught),李佳家,3  3/0/0,3,選修,"四7,8,9",語言中心語言教室226,30
21,3,1903426,1,進階學術英文讀寫整合（二）Academic Integrated Reading & Writing Skills High-intermediate (II) (全英語授課/English-taught),林麗菊 李佳家,3  3/0/0,3,選修,"二7,8,9",語言中心語言教室227,30
22,3,1903962,1,中級華語聽說訓練（二）Level 3 Chinese Listening and Speaking (II),黃柏禎,2  2/0/0,2,選修,"三4,5",語言中心語言教室111,10
23,3,1903981,1,中級華語讀寫訓練（一）Level 3 Chinese Reading and Writing (I),陳欣徽,2  2/0/0,2,選修,"四4,5",語言中心語言教室111,10
