,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,6301888,1,學系服務學習Service Learning：Campus Service,曾品傑,1  1/0/0,0,必修,一6,法學院201,50
1,1,6301009,1,民法總則（二）Civil Law:General Principles (II),葉錦鴻,2  2/0/0,2,必修,"二4,5",法學院206,90
2,1,6301010,1,憲法（二）Constitutional Law (II),黃俊杰,2  2/0/0,2,必修,"一4,5",法學院206,90
3,1,6301014,1,刑法總則（二）Criminal Law:Kinds of General Principles (II),柯耀程,2  2/0/0,2,必修,"五4,5",法學院204,70
4,1,6301019,1,法學緒論（二）Introduction to Jurisprudence (II),李孟玢,2  2/0/0,2,選修,"四4,5",法學院204,70
5,1,6301024,1,初級會計學(二)Accounting(II),李孟修,4  3/1/0,3,選修,"一7,8,9 三7",法學院201,50
6,2,6302002,1,民法繼承Civil Law:Succession,曾品傑,2  2/0/0,2,必修,"一2,3",法學院206,90
7,2,6302004,1,國際公法（二）Public International Law (II),林韋仲,2  2/0/0,2,必修,"三4,5",法學院204,70
8,2,6302014,1,民法物權（二）Civil Law：Property (II),姚信安,2  2/0/0,2,必修,"三8,9",法學院203,60
9,2,6302016,1,行政法總論（二）Administrative Law : General Principles (II),盛子龍,3  3/0/0,3,必修,"二10,11,12",法學院209,90
10,2,6302020,1,民法債編總論（二）Civil Law:General Provisions of Obligations(II),曾品傑,2  2/0/0,2,必修,"二2,3",法學院209,90
11,2,6302024,1,法學英文Legal English,葉錦鴻,2  2/0/0,2,選修,"二8,9",法學院201,50
12,2,6302025,1,所得稅法Income Tax Law,辜仲明,2  2/0/0,2,選修,"三2,3",法學院101階梯教室,120
13,3,6303002,1,民法債編各論（二）Civil Law：Kinds of Obligations (II),曾品傑,2  2/0/0,2,必修,"二4,5",法學院209,90
14,3,6303015,1,金融法Financial Law,王志誠,2  2/0/0,2,必修,"一8,9",法學院209,90
15,3,6303018,1,保險法Insurance Law,羅俊瑋,2  2/0/0,2,必修,"一10,11",法學院205,70
16,3,6303019,1,海商法Maritime Law,姚信安,2  2/0/0,2,選修,"二8,9",法學院204,70
17,3,6303022,1,刑事訴訟法（二）Law of Criminal Procedure (II),柯耀程,2  2/0/0,2,必修,"五2,3",法學院204,70
18,3,6303029,1,稅法實例演習Case Studies on Tax Law,辜仲明,2  2/0/0,2,選修,"三4,5",法學院101階梯教室,120
19,3,6303034,1,法律倫理學Legal Ethics,葉錦鴻,2  2/0/0,2,必修,"三4,5",法學院201,50
20,3,6303037,1,專利法Patent Law,陳文吟,2  2/0/0,2,必修,"一4,5",法學院201,50
21,3,6304006,1,證券交易法Security and Exchange Law,王志誠,2  2/0/0,2,必修,"一2,3",法學院209,90
22,4,6304008,1,國際私法（二）Private International Law (II),林韋仲,2  2/0/0,2,選修,"四4,5",法學院201,50
