,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,5155231,1,期貨市場Futures Market,何加政,3  3/0/0,3,選修,"一3,4,5",管理學院359,0,碩博合開
1,1,5155235,1,選擇權市場Option Markets (全英語授課/English-taught),陳安行,3  3/0/0,3,選修,"一7,8,9",管理學院359,0,碩博合開
2,1,5155504,1,保險財務與精算Finance in insurance and actuarial science,林子綾,3  3/0/0,3,選修,"二3,4,5",管理學院359,0,碩士班課程
3,1,5155562,1,資本市場與基金組合管理Capital Market and Fund Portfolio Management (全英語授課/English-taught),黃介良,3  3/0/0,3,選修,"三8,9,10",管理學院103,0,碩博合開
4,1,5155653,1,財務計量與實證Financial Econometric and Empirical Research,林文昌,3  3/0/0,3,選修,"三3,4,5",管理學院359,0,碩博合開
5,1,5155908,1,財務金融專題研討（一）Seminar on Finance (I),何加政 林文昌 莊益源 林文昌 鄭揚耀 賴靖宜 郭良瑋 雲慕書,2  2/0/0,2,必修,"五8,9",管理學院359,0,碩士班課程
6,1,5156273,1,創業投資與私募股權Venture Capital and Private Equity,李佩璇,3  3/0/0,3,選修,"二8,9,10",管理學院401之3,0,碩士班課程
7,1,5156382,1,國際金融International Finance (全英語授課/English-taught),何月芳,3  3/0/0,3,選修,"三7,8,9",管理學院401之3,35,碩士班課程
8,1,5157102,1,財務理論（二）Financial Theorem (II) (全英語授課/English-taught),陳安行,3  3/0/0,3,必修,"二7,8,9",管理學院352,0,博士班課程
9,1,5157173,1,公司理財專題研討Seminar in Corporate Finance (全英語授課/English-taught),郭良瑋,3  3/0/0,3,必修,"三3,4,5",管理學院350,0,博士班課程
10,1,5158200,1,投資理論研究Seminar on Investment (全英語授課/English-taught),雲慕書,3  3/0/0,3,必修,"二3,4,5",管理學院401之3,0,碩博合開
11,1,5158300,1,金融市場與機構研討Financial Markets and Institutions Seminar,陳安行,3  3/0/0,3,必修,"三7,8,9",管理學院352,0,博士班課程
