,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,5151008,1,民法概要An Introduction to Civil Law,王文忠,2  2/0/0,2,必修,"四10,11",管理學院120,120
1,1,5151033,1,初級會計學（二）Accounting (II),顏子瑜,4  3/1/0,3,必修,"二7,8,9 四7",管理學院201,60
2,2,5152011,1,總體經濟學Macroeconomics,賴靖宜,3  3/0/0,3,必修,"二4,5,6",管理學院101,60
3,2,5152021,1,統計學（二）Statistics (II),劉清標,4  3/1/0,3,必修,"二7 四7,8,9",管理學院101,60
4,2,5152021,2,統計學（二）Statistics (II),林子綾,4  3/1/0,3,必修,"三7,8,9 五7",管理學院201,60
5,2,5152021,3,統計學（二）Statistics (II),劉清標,4  3/1/0,3,必修,"二6 四4,5,6",管理學院120,120
6,2,5152022,1,統計學Statistics,沈伯凡,3  3/0/0,3,必修,"五3,4,5",創新大樓164,60
7,2,5152101,1,財務管理（二）Financial Management (II),李佩璇,3  3/0/0,3,必修,"三4,5,6",管理學院101,60
8,2,5152101,2,財務管理（二）Financial Management (II),何加政,3  3/0/0,3,必修,"三4,5,6",管理學院401之3,35
9,2,5152101,3,財務管理（二）Financial Management (II) (全英語授課/English-taught),余曉靜,3  3/0/0,3,必修,"五4,5,6",管理學院401之3,35
10,2,5152101,4,財務管理（二）Financial Management (II),陳立文,3  3/0/0,3,選修,"四7,8,9",管理學院120,120
11,2,5152102,1,財務管理Financial Management,張宏州,3  3/0/0,3,選修,"三4,5,6",創新大樓163,60
12,2,5152200,1,投資學Investments,莊益源,3  3/0/0,3,必修,"四4,5,6",管理學院102,40
13,2,5152200,2,投資學Investments,雲慕書,3  3/0/0,3,必修,"三7,8,9",管理學院101,60
14,2,5152200,3,投資學Investments,蔡佩蓉,3  3/0/0,3,必修,"四4,5,6",管理學院101,60
15,3,5153110,1,財務報表分析Analysis of Financial Statements,鄭揚耀,3  3/0/0,3,選修,"一7,8,9",管理學院101,60
16,3,5153174,1,企業價值評估Business Valuation,顏子瑜,3  3/0/0,3,選修,"四4,5,6",管理學院401之3,35
17,3,5153350,1,行為財務學Behavioral Finance,劉清標,3  3/0/0,3,選修,"三7,8,9",管理學院350,25
18,3,5154180,1,國際財務管理International Financial Management,蔡佩蓉,3  3/0/0,3,必修,"三7,8,9",管理學院359,60
19,3,5154180,2,國際財務管理International Financial Management,郭良瑋,3  3/0/0,3,必修,"二4,5,6",管理學院201,60
20,4,5154313,1,資本市場與基金組合管理Capital Market and Fund Portfolio Management (全英語授課/English-taught),黃介良,3  3/0/0,3,選修,"四4,5,6",管理學院350,25
21,4,5154318,1,金融科技專題研究Research seminar in fintech,余曉靜,3  3/0/0,3,選修,"四10,11,12",管理學院350,25
22,4,5154353,1,金融科技導論Introduction to Financial Technology,何月芳,3  3/0/0,3,選修,"四7,8,9",管理學院401之3,35
23,4,5154354,1,外匯市場:理論與實務Foreign Exchange Markets: Theories and Practices,何加政,3  3/0/0,3,選修,"二7,8,9",管理學院350,25
24,4,5154661,1,財務預測Financial Forecasts,賴靖宜,3  3/0/0,3,選修,"五4,5,6",電算中心217教室,47
