,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,4100003,1,計算機概論Introduction to Computer Science (程式設計相關/Programming related),簡立仁,3  3/0/0,3,選修,"二G,H",創新大樓341,80
1,1,4101032,1,程式設計（二）Program Design (II) (程式設計相關/Programming related),吳昇,3  3/0/0,3,必修,二C 四C,工學院A館101,80
2,1,4101032,2,程式設計（二）Program Design (II) (程式設計相關/Programming related),高孟駿,3  3/0/0,3,必修,二C 四C,工學院A館001,80
3,1,4101034,1,程式設計實習（二）Quiz Section for Program Design(II) (程式設計相關/Programming related),吳昇,2  0/2/0,1,必修,"一13,14",創新大樓341A,40
4,1,4101034,2,程式設計實習（二）Quiz Section for Program Design(II) (程式設計相關/Programming related),高孟駿,2  0/2/0,1,必修,"二13,14",創新大樓341A,40
5,1,4101034,3,程式設計實習（二）Quiz Section for Program Design(II) (程式設計相關/Programming related),吳昇,2  0/2/0,1,必修,"三13,14",創新大樓341A,40
6,1,4101034,4,程式設計實習（二）Quiz Section for Program Design(II) (程式設計相關/Programming related),高孟駿,2  0/2/0,1,必修,"四13,14",創新大樓341A,40
7,2,4102068,1,計算方法概論Introduction to Algorithms (程式設計相關/Programming related),黃耀廷,3  3/0/0,3,必修,二G 四G,工學院A館101,63
8,2,4102068,2,計算方法概論Introduction to Algorithms (程式設計相關/Programming related),劉偉名,3  3/0/0,3,必修,二G 四G,工學院A館001,63
9,1,4102085,1,離散數學Discrete Mathematics,江振國,3  3/0/0,3,必修,二E 四E,創新大樓322,65
10,1,4102085,2,離散數學Discrete Mathematics,何建忠,3  3/0/0,3,必修,二B 四B,工學院A館205,65
11,2,4102100,1,數位系統導論Introduction to Digital Systems,林泰吉,3  3/0/0,3,必修,一G 三G,工學院A館001,120
12,2,4102130,1,數位系統導論實驗Digital Systems Lab.,林泰吉,2  0/2/0,1,必修,"一13,14",工學院A館206,48
13,2,4102130,2,數位系統導論實驗Digital Systems Lab.,林泰吉,2  0/2/0,1,必修,"三13,14",工學院A館206,48
14,2,4102150,1,系統程式Systems Programming (程式設計相關/Programming related),熊博安,3  3/0/0,3,必修,"三E,F",創新大樓341,63
15,2,4102150,2,系統程式Systems Programming (程式設計相關/Programming related),羅習五,3  3/0/0,3,必修,二F 四F,創新大樓341,63
16,2,4102160,1,物件導向程式設計Object-Oriented Programming (程式設計相關/Programming related),劉興民,3  3/0/0,3,必修,二E 四E,工學院A館101,63
17,2,4102160,2,物件導向程式設計Object-Oriented Programming (程式設計相關/Programming related),郭建志,3  3/0/0,3,必修,二E 四E,工學院A館001,63
18,3,4103039,1,電腦網路概論Introduction to Computer Networks,林柏青,3  3/0/0,3,選修,二B 四B,工學院A館101,100
19,3,4103061,1,數值分析Numerical Analysis,林維暘,3  3/0/0,3,選修,二C 四C,工學院A館205,50
20,3,4103095,1,Java程式設計：企業與嵌入式系統Java Programming: Enterprise and Embedded Systems (程式設計相關/Programming related),柯仁松,3  3/0/0,3,選修,一B 三B,工學院A館101,90
21,3,4103901,1,工程倫理Engineering Ethics,林迺衛,2  2/0/0,2,選修,"一8,9",工學院A館104,30
22,3,4104005,1,編譯器設計Compiler Design (程式設計相關/Programming related),陳鵬升,3  3/0/0,3,必修,一C 三C,創新大樓324,63
23,3,4104005,2,編譯器設計Compiler Design (程式設計相關/Programming related),林迺衛,3  3/0/0,3,必修,一C 三C,工學院A館205,63
24,4,4104011,1,影像處理概論Introductoin To Image Processing,柳金章,3  3/0/0,3,選修,一G 三G,工學院A館101,90
25,4,4104048,1,網路安全概論Introduction to Network Security,江為國,3  3/0/0,3,選修,三C 五C,工學院A館101,90
26,4,4104052,1,嵌入式系統軟體設計與實作Embedded System Software Design and Implementation,陳鵬升,3  3/0/0,3,選修,"二C,D",工學院A館206,15
27,4,4104061,1,資料庫系統Database Systems,劉興民,3  3/0/0,3,選修,二F 四F,工學院A館001,120
28,3,4104800,1,專題實驗（一）Computer Project (I) (程式設計相關/Programming related),劉興民,4  0/4/0,2,必修,"五12,13,14,15",工學院A館101,90
29,3,4104800,2,專題實驗（一）Computer Project (I) (程式設計相關/Programming related),江為國,4  0/4/0,2,必修,"五12,13,14,15",工學院A館001,120
30,3,4104800,3,專題實驗（一）Computer Project (I) (程式設計相關/Programming related),李新林,4  0/4/0,2,必修,"五12,13,14,15",工學院A館104,65
31,3,4104800,4,專題實驗（一）Computer Project (I) (程式設計相關/Programming related),游寶達,4  0/4/0,2,必修,"五12,13,14,15",工學院A館205,65
32,3,4104800,5,專題實驗（一）Computer Project (I) (程式設計相關/Programming related),柳金章,4  0/4/0,2,必修,"五12,13,14,15",工學院A館103,20
