,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,5301213,1,離散數學Discrete Mathematics,任俊擧,3  3/0/0,3,選修,"五7,8,9",管理學院415,86
1,1,5301216,1,程式設計Program Design,吳帆,4  3/1/0,3,必修,"二10,11 四10,11",管理學院221,79
2,1,5301217,1,資訊管理導論Introduction to Information Management (全英語授課/English-taught),林勝為,3  3/0/0,3,必修,二C 四C,管理學院415,86
3,2,5302115,1,醫療資訊系統Medical Information System,佘明玲,3  3/0/0,3,選修,"一7,8,9",管理學院608,15
4,2,5302202,1,資料庫管理Database Management,黃士銘,4  3/1/0,3,必修,"二8,9 四8,9",管理學院349,40
5,2,5302205,1,企業資料通訊與網路Business Data Communication (全英語授課/English-taught),吳帆,3  3/0/0,3,必修,一H 三H,管理學院221,79
6,3,5303111,1,網路行銷Internet Marketing,廖則竣,3  3/0/0,3,選修,"一9 三8,9",管理學院119,20
7,3,5303213,1,會計資訊系統Accounting Information System,阮金聲,3  3/0/0,3,選修,"一7,8 三7",管理學院221,79
8,3,5303216,1,人工智慧與專家系統Artificial Intelligence and Expert Systems,任俊擧,3  3/0/0,3,選修,"五4,5,6",管理學院415,86
9,3,5303221,1,醫療行銷管理Medical Marketing Research,張怡秋,3  3/0/0,3,選修,二G 四G,管理學院119,20
10,3,5303222,1,多媒體系統Multimedia Systems (全英語授課/English-taught),李珮如,3  3/0/0,3,選修,二C 四C,管理學院119,20
11,3,5303225,1,健康保險Health Insurance,黃維民,3  3/0/0,3,選修,一G 五G,管理學院119,20
12,3,5303229,1,專案開發（一）Project Development I,阮金聲,2  2/0/0,2,必修,一1 三1,管理學院221,79
13,3,5303233,1,專案開發(二)Project Development (II),廖則竣,2  2/0/0,2,必修,二1 四1,管理學院221,79
14,3,5303234,1,長期照護管理資訊系統Long term care Management Information Systems,廖學志,3  3/0/0,3,選修,"二7,8,9",管理學院415,86
15,3,5303240,1,資訊系統專案管理MIS Project Management,阮金聲,3  3/0/0,3,選修,"一6 三5,6",管理學院221,79
16,3,5303241,1,金融科技Finance Technology (全英語授課/English-taught),羅美玲,3  3/0/0,3,選修,一F 三F,管理學院415,86
17,4,5304222,1,資料探勘與應用Datamining and Application,教師未定,3  3/0/0,3,選修,"四7,8,9",管理學院221,79
18,4,5304223,1,協同商務Collaborative Commerce,洪新原,3  3/0/0,3,選修,"一7,8,9",管理學院616A,50
