,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,4305019,1,錯誤更正碼Error Correcting Codes,李昌明,3  3/0/0,3,選修,"五3,4,5",創新大樓505,0,碩博合開
1,1,4305070,1,無線區域網路Wireless local area network,侯廷昭,3  3/0/0,3,選修,"三B,C",創新大樓103,0,碩博合開
2,1,4305079,1,正交分頻多重進接技術Orthogonal Frequency Division Multiplexing Techniques,劉宗憲,3  3/0/0,3,選修,二B 四B,創新大樓101,0,碩博合開
3,1,4305127,1,資料網路規劃與設計Design and Planning of Data Networks,李詩偉,3  3/0/0,3,選修,二C 四C,創新大樓435,0,碩博合開
4,1,4305129,1,高等電腦網路Advanced Computer Networks,吳承崧,3  3/0/0,3,選修,"三8,9,10",創新大樓103,0,碩博合開
5,1,4305132,1,專題演講（二）Seminar ( II ),施淵耀 鄭伯炤 余國瑞 陳自強,2  0/0/2,1,必修,"五8,9",創新大樓110大型會議室(銘珠講堂),0,碩士班課程
6,1,4305136,1,網路模擬技術與應用Network Simulation and Simulator Internals,潘仁義,3  3/0/0,3,選修,二F 四F,創新大樓505,0,碩博合開
7,1,4305144,1,網路安全專論Special Topics on Advanced Network Security,鄭伯炤,3  3/0/0,3,選修,"五B,C",創新大樓435,0,碩博合開
8,1,4305160,1,智慧型天線專論Special Topic on Smart Antennas,劉宗憲,3  3/0/0,3,選修,"五3,4,5",創新大樓432,0,碩博合開
9,1,4305165,1,合作式通訊Cooperative Communications,劉維正,3  3/0/0,3,選修,一G 三G,創新大樓101,0,碩博合開
10,1,4305167,1,多天線多重輸入輸出技術Multiple Input Multiple Output Techniques for Wireless Communications,劉維正,3  3/0/0,3,選修,二G 四G,創新大樓101,0,碩博合開
11,1,4305168,1,網路最佳化專論Special Topics on Network Optimization,李詩偉,3  3/0/0,3,選修,"一3,4,5",創新大樓507,0,碩博合開
12,1,4305172,1,合作式通訊專論Special Topics on Cooperative Communications,劉維正,3  3/0/0,3,選修,"五3,4,5",創新大樓507,0,碩博合開
13,1,4305174,1,網路路由與傳輸控制專論Special Topic On Network Routing and Control,吳承崧,3  3/0/0,3,選修,"五3,4,5",創新大樓430,0,碩博合開
14,1,4305177,1,JAVA在網路的應用Network Applications in Java (全英語授課/English-taught),鄭伯炤,3  3/0/0,3,選修,"一E,F",創新大樓435,0,碩博合開
15,1,4305180,1,聯網嵌入式系統Networked Embedded System,李皇辰,3  3/0/0,3,選修,"四3,4,5",創新大樓103,0,碩博合開
16,1,4305186,1,次時代物聯網與智慧邊緣霧端Next-Generation IoT & Intelligent Edge,施淵耀,3  3/0/0,3,選修,二G 四G,創新大樓435,0,碩博合開
