,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,3901002,1,體育測驗與評量Measurement and Evaluation in Physical Education,陳依靈,2  2/0/0,2,必修,"五4,5",運技系103室,40
1,1,3901004,1,運動休閒概論Foundations of Sports Leisure,吳燕妮,2  2/0/0,2,必修,"二4,5",運技系110室,30
2,1,3901017,1,專長術科（二）-田徑Specialized Sport Training II - Athletics,蔡登龍,4  4/0/0,4,必修,"一10,11 三10,11",田徑場1,60
3,1,3901018,1,專長術科（二）-游泳Specialized Sport Training II - Swimming,江姿穎,4  4/0/0,4,必修,"一10,11 三10,11",游泳池1,60
4,1,3901019,1,專長術科（二）-網球Specialized Sport Training II - Tennis,李元宏,4  4/0/0,4,必修,"一10,11 三10,11",網球場1,60
5,1,3901020,1,專長術科（二）-羽球Specialized Sport Training II - Badminton,程嘉彥,4  4/0/0,4,必修,"一10,11 三10,11",羽球館1,60
6,1,3901022,1,專長術科（二）-跆拳道Specialized Sport Training II - Taekwondo,吳燕妮,4  4/0/0,4,必修,"一10,11 三10,11",技擊室1,60
7,1,3901023,1,專長術科（二）-射箭Specialized Sport Training II - Archery,廖健男,4  4/0/0,4,必修,"一10,11 三10,11",射箭場,40
8,1,3901024,1,專長術科（二）-定向越野Specialized Sport Training II - Orienteering,陳俊民,4  4/0/0,4,必修,"一10,11 三10,11",田徑場2,60
9,1,3901026,1,專長術科（二）-綜合Specialized Sport Training ⅠI- Comprehensiveness,林明輝 張嘉芳,4  4/0/0,4,必修,"一10,11 三10,11",田徑場3,60
10,1,3901103,1,體育學原理Physical Principles,李元宏,2  2/0/0,2,選修,"四2,3",運技系104室,40
11,2,3902002,1,運動傷害與急救Sport Injury and First Aid,蔡明倫,2  2/0/0,2,必修,"一4,5",韻律教室1,60
12,2,3902010,1,運動專業實習（一）Internship: Sport Professional Management I,陳永洲,2  0/2/0,1,必修,三7 五7,運技系104室,40
13,2,3902018,1,專長術科（四）-田徑Specialized Sport Training IV - Athletics,蔡登龍,4  4/0/0,4,必修,"一10,11 三10,11",田徑場1,60
14,2,3902019,1,專長術科（四）-游泳Specialized Sport Training IV - Swimming,江姿穎,4  4/0/0,4,必修,"一10,11 三10,11",游泳池1,60
15,2,3902020,1,專長術科（四）-網球Specialized Sport Training IV - Tennis,李元宏,4  4/0/0,4,必修,"一10,11 三10,11",網球場1,60
16,2,3902021,1,專長術科（四）-羽球Specialized Sport Training IV - Badminton,程嘉彥,4  4/0/0,4,必修,"一10,11 三10,11",羽球館1,60
17,2,3902023,1,專長術科（四）-跆拳道Specialized Sport Training IV - Taekwondo,吳燕妮,4  4/0/0,4,必修,"一10,11 三10,11",技擊室1,60
18,2,3902024,1,專長術科（四）-射箭Specialized Sport Training IV - Archery,廖健男,4  4/0/0,4,必修,"一10,11 三10,11",射箭場,40
19,2,3902025,1,專長術科（四）-定向越野Specialized Sport Training IV - Orienteering,陳俊民,4  4/0/0,4,必修,"一10,11 三10,11",田徑場2,60
20,2,3902026,1,專長術科（四）-綜合Specialized Sport Training IV- Comprehensiveness,林明輝 張嘉芳,4  4/0/0,4,必修,"一10,11 三10,11",田徑場3,60
21,2,3902101,1,應用教練心理學Applied Coaching Psychology,劉淑燕,2  2/0/0,2,選修,"三2,3",運技系103室,40
22,2,3902104,1,應用運動生理學Applied Exercise Physiology,何承訓,2  2/0/0,2,選修,"五2,3",運技系104室,40
23,2,3902106,1,運動管理學Sport Management,陳永洲,2  2/0/0,2,選修,"二4,5",運技系103室,40
24,2,3903005,1,體育英文English for Physical Education (全英語授課/English-taught),劉淑燕,2  2/0/0,2,必修,"三4,5",運技系103室,40
25,3,3903016,1,專長術科（六）-田徑Specialized Sport Training VI - Athletics,蔡登龍,4  4/0/0,4,必修,"一10,11 三10,11",田徑場1,60
26,3,3903017,1,專長術科（六）-游泳Specialized Sport Training VI - Swimming,江姿穎,4  4/0/0,4,必修,"一10,11 三10,11",游泳池1,60
27,3,3903018,1,專長術科（六）-網球Specialized Sport Training VI - Tennis,李元宏,4  4/0/0,4,必修,"一10,11 三10,11",網球場1,60
28,3,3903019,1,專長術科（六）-羽球Specialized Sport Training VI - Badminton,程嘉彥,4  4/0/0,4,必修,"一10,11 三10,11",羽球館1,60
29,3,3903021,1,專長術科（六）-跆拳道Specialized Sport Training VI - Taekwondo,吳燕妮,4  4/0/0,4,必修,"一10,11 三10,11",技擊室1,60
30,3,3903022,1,專長術科（六）-射箭Specialized Sport Training VI - Archery,廖健男,4  4/0/0,4,必修,"一10,11 三10,11",射箭場,40
31,3,3903023,1,專長術科（六）-定向越野Specialized Sport Training VI - Orienteering,陳俊民,4  4/0/0,4,必修,"一10,11 三10,11",田徑場2,60
32,3,3903025,1,專長術科（六）-綜合Specialized Sport Training VI - Comprehensiveness,林明輝 張嘉芳,4  4/0/0,4,必修,"一10,11 三10,11",田徑場3,60
33,3,3903102,1,運動技術分析Sports Skill Analysis,廖健男,2  2/0/0,2,選修,"四4,5",運技系104室,40
34,3,3903103,1,運動選材學Science of Athletic Talent Scouting,林晉榮,2  2/0/0,2,選修,"四2,3",運技系103室,40
35,3,3903104,1,運動營養學Exercise and Sport Nutrition,王秀華,2  2/0/0,2,選修,"三2,3",運技系104室,40
36,1,3903112,1,游泳Swimming,江姿穎,2  2/0/0,2,選修,"四4,5",運技系110室,30
37,3,3903114,1,網球Tennis,陳進祥,2  2/0/0,2,選修,"一4,5",運技系103室,40
38,3,3903116,1,高爾夫Golf,王順正,2  2/0/0,2,選修,"二4,5",高爾夫球場1,60
39,3,3903119,1,運動專業實習（三）Internship: Sport Professional Management III,吳燕妮,2  0/2/0,1,必修,一6 三6,運技系103室,40
40,3,3903122,1,游泳(二)Swimming II,江姿穎,2  2/0/0,2,選修,"四2,3",運技系110室,30
41,3,3904008,1,運動資訊處理（二）Sports Information Processing Ⅱ,林晉榮,2  2/0/0,2,必修,"二2,3",電算中心216教室,40
42,4,3904017,1,專長術科（八）-田徑Specialized Sport Training VIII - Athletics,蔡登龍,4  4/0/0,4,必修,"一10,11 三10,11",田徑場1,60
43,4,3904018,1,專長術科（八）-游泳Specialized Sport Training VIII - Swimming,江姿穎,4  4/0/0,4,必修,"一10,11 三10,11",游泳池1,60
44,4,3904019,1,專長術科（八）-網球Specialized Sport Training VIII - Tennis,李元宏,4  4/0/0,4,必修,"一10,11 三10,11",網球場1,60
45,4,3904020,1,專長術科（八）-羽球Specialized Sport Training VIII - Badminton,程嘉彥,4  4/0/0,4,必修,"一10,11 三10,11",羽球館1,60
46,4,3904022,1,專長術科（八）-跆拳道Specialized Sport Training VIII - Taekwondo,吳燕妮,4  4/0/0,4,必修,"一10,11 三10,11",技擊室1,60
