,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,5555010,1,電子病歷Electronic Patient Record,吳帆,3  3/0/0,3,必修,"四12,13,14",管理學院616B,0,碩士班課程
1,1,5555013,1,多變量資料分析Multivariate Data Analysis,洪新原,3  3/0/0,3,必修,"三7,8,9",管理學院616A,0,碩士班課程
2,1,5555017,1,電子商務與應用Electronic Commerce and Applications (全英語授課/English-taught),林勝為,3  3/0/0,3,選修,"五3,4,5",管理學院616A,0,碩士班課程
3,1,5555029,1,醫療行銷管理Medical Marketing Research (全英語授課/English-taught),林育秀,3  3/0/0,3,選修,"一8,9,10",管理學院616B,0,碩士班課程
4,1,5555031,1,顧客關係管理Customer Relationship Management,吳英隆,3  3/0/0,3,選修,"四8,9,10",管理學院616B,0,碩士班課程
5,1,5555033,1,人工智慧與專家系統Artificial Inteligence and Expert Systems,許巍嚴,3  3/0/0,3,選修,"三3,4,5",管理學院616A,0,博士班課程
6,1,5555039,1,機器學習Machine Learning,許巍嚴,3  3/0/0,3,選修,"四3,4,5",管理學院616A,0,碩士班課程
7,1,5555041,1,網路消費者行為Online Consumer Behavior (全英語授課/English-taught),羅美玲,3  3/0/0,3,選修,"二7,8,9",管理學院616B,0,碩士班課程
8,1,5555043,1,資訊安全管理Information Security Management,李珮如,3  3/0/0,3,選修,"二8,9,10",管理學院616A,0,碩士班課程
9,1,5555049,1,醫務管理Health Care Management,黃維民,3  3/0/0,3,選修,"二8,9,10",管理學院608,0,碩士班課程
10,1,5555050,1,健康保險Health Insurance,黃維民,3  3/0/0,3,選修,"五7,8,9",管理學院608,0,碩士班課程
11,1,5555070,1,長期照護管理資訊系統Long term care Management Information Systems,張怡秋,3  3/0/0,3,選修,"四12,13,14",管理學院608,0,碩士班課程
12,1,5555071,1,資訊管理個案研究Case Studies in MIS,廖則竣,3  3/0/0,3,選修,"一3,4,5",管理學院608,0,碩博合開
13,1,5555075,1,醫療資料探勘實作Data Mining Applications in Healthcare (全英語授課/English-taught),林育秀,3  3/0/0,3,選修,"三3,4,5",管理學院349,0,碩士班課程
14,1,5555081,1,高等軟體工程Advanced Software Engineeing,吳英隆,3  3/0/0,3,必修,"三8,9,10",管理學院608,0,博士班課程
15,1,5555082,1,資訊管理實習(二)Practice of Information Management(II),阮金聲,3  3/0/0,3,選修,"五3,4,5",管理學院608,0,碩士班課程
