,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,4151008,1,程式設計Introduction to Programming (全英語授課/English-taught) (程式設計相關/Programming related),許宏銘,3  3/0/0,3,必修,一G 三G,工學院A館127,55
1,1,4151008,2,程式設計Introduction to Programming (程式設計相關/Programming related),潘仁義,3  3/0/0,3,必修,一G 三G,創新大樓102,55
2,1,4151010,1,程式設計實習Programming Lab (全英語授課/English-taught) (程式設計相關/Programming related),許宏銘,3  0/3/0,1,必修,"一I,J",創新大樓504,30
3,1,4151010,2,程式設計實習Programming Lab (程式設計相關/Programming related),潘仁義,3  0/3/0,1,必修,"二I,J",創新大樓504,30
4,1,4151011,1,線性代數Linear Algebra,賴文能,3  3/0/0,3,必修,二E 四E,工學院A館127,85
5,1,4151012,1,基礎電路實作專題Fundamental Circuit Projects,陳昱仁,3  0/3/0,1,選修,"四I,J",工學院A館034,14
6,2,4152005,1,電路學（二）Electric Circuits (II),張淵智,3  3/0/0,3,選修,二E 四E,工學院A館227,60
7,2,4152007,1,電子學（二）Electronics (II),吳建華,3  3/0/0,3,必修,一C 三C,創新大樓102,50
8,2,4152007,2,電子學（二）Electronics (II),蔡宗亨,3  3/0/0,3,必修,一C 三C,工學院A館227,50
9,2,4152008,1,電磁學（一） Electromagnetics (I),林士程,3  3/0/0,3,必修,二C 四C,工學院A館127,70
10,2,4152008,2,電磁學（一）Electromagnetics (I),湯敬文,3  3/0/0,3,必修,二C 四C,創新大樓101,30
11,2,4152010,1,電工實驗（二）Electronic Engineering Laboratory (II),吳建華 蔡宗亨,3  0/3/0,1,必修,"二G,H",創新大樓504,50
12,2,4152010,2,電工實驗（二）Electronic Engineering Laboratory (II),吳建華 蔡宗亨,3  0/3/0,1,必修,"三G,H",創新大樓504,50
13,2,4152019,1,電機工程導論Introduction to Electrical Engineering,陳自強,1  1/0/0,1,必修,五10,創新大樓110大型會議室(銘珠講堂),100
14,2,4152801,1,再生能源導論Introduction to Renewable Energy,吳元康,3  3/0/0,3,選修,二B 四B,工學院A館127,100
15,2,4153011,1,機率Probability,陳喬恩,3  3/0/0,3,必修,二F 四F,工學院A館127,85
16,3,4153013,1,數位訊號處理實驗Digital Signal Processing Laboratory,余松年,3  0/3/0,1,選修,"四I,J",創新大樓504,50
17,3,4153014,1,IC設計實驗IC Design Laboratory,葉經緯,3  0/3/0,1,選修,"二I,J",工學院A館447,55
18,3,4153015,1,微處理機實驗Microprocessor Laboratory (程式設計相關/Programming related),陳昱仁,3  0/3/0,1,選修,"四G,H",工學院A館034,30
19,3,4153016,1,通訊系統實驗Communication Systems Laboratory,邱茂清,3  0/3/0,1,選修,"三I,J",創新大樓501,7
20,3,4153017,1,電磁工程實驗Electromagnetic Engineering Laboratory,張盛富,3  0/3/0,1,選修,"四E,F",創新大樓503,10
21,3,4153018,1,電腦網路實驗Computer Network Laoratory (程式設計相關/Programming related),李詩偉,3  0/3/0,1,選修,"一G,H",創新大樓502,10
22,2,4153201,1,訊號與系統Signals and Systems,陳喬恩,3  3/0/0,3,必修,一F 三F,創新大樓102,55
23,2,4153201,2,訊號與系統Signals and Systems,江瑞秋,3  3/0/0,3,必修,一F 三F,工學院A館227,55
24,3,4153207,1,電磁波Electromagnetic Waves,張嘉展,3  3/0/0,3,選修,一C 三C,工學院A館225,35
